Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina woodi,Globigerina spp.,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globigerina quinqueloba,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Globigerina cf. G. bulloides,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  1,H,CC,  23.00,      3.1900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                ,2                                    ,                         ,                       ,99                   ,12                                     ,                            ,3                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  3,H,CC,   8.00,     22.1800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                ,                                     ,                         ,1                      ,15                   ,7                                      ,19                          ,                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  4,H,CC,  35.00,     32.4700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                ,11                                   ,                         ,                       ,15                   ,35                                     ,                            ,                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  8,H,CC,  16.00,     58.8400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                ,35                                   ,2                        ,3                      ,4                    ,                                       ,                            ,                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 21,X,CC,  37.00,    183.9300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,1               ,                                     ,                         ,                       ,                     ,                                       ,                            ,                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 27,X,CC,  36.00,    234.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,1                ,1               ,                                     ,                         ,                       ,                     ,                                       ,                            ,                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,
