Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira spp.,Thalassiosira oestrupii s. ampl.,Thalassiosira leptopus s. ampl.,Thalassiosira latimarginata,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis spp.,Stellarima spp.,Rhizosolenia spp.,Nitzschia jouseae,Nitzschia cylindrica,Neodenticula koizumii,Neodenticula kamtschatica,Coscinodiscus marginatus,Chaetoceros spores,Azpeitia nodulifera,Actinoptychus spp.,Actinocyclus curvatulus,Simonseniella barboi,Nitzschia spp.,Astl. and Astp. spp,Thalassiosira nidulus,Thalassiosira jacksonii,Benthic diatoms,Azpeitia tabularis,Paralia sulcata,Nitzschia fossilis,Thalassiosira convexa,Actinocyclus ellipticus,Hemidiscus cuneiformis,Actinocyclus octonarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 6,  90.00,    130.3000,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,2.6%              ,.7%                             ,                               ,7.0%                       ,.3%                     ,1.0%                       ,.7%               ,               ,.3%              ,                 ,                    ,.3%                  ,80.1%                    ,4.0%                    ,                  ,                   ,                  ,1.3%                   ,                    ,.3%           ,                   ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 6, 136.00,    130.7600,Barron   ,Diatoms                                      ,               ,                  ,1.0%                     ,1.0%              ,.7%                             ,.3%                            ,3.0%                       ,.3%                     ,2.7%                       ,                  ,               ,1.0%             ,.3%              ,                    ,.7%                  ,72.3%                    ,13.3%                   ,1.3%              ,                   ,                  ,1.0%                   ,                    ,              ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 300; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 7,  25.00,    131.1500,Barron   ,Diatoms                                      ,               ,                  ,2.6%                     ,1.0%              ,.7%                             ,.3%                            ,3.0%                       ,.3%                     ,5.3%                       ,1.0%              ,               ,1.3%             ,                 ,                    ,                     ,69.2%                    ,10.3%                   ,1.7%              ,                   ,                  ,.3%                    ,                    ,              ,                   ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,1.0%                  ,                       ,Others = 2%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 7,  65.00,    131.5500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,.7%               ,1.3%                            ,.7%                            ,3.6%                       ,                        ,16.0%                      ,.7%               ,               ,.7%              ,                 ,                    ,2.3%                 ,61.1%                    ,6.5%                    ,1.3%              ,                   ,                  ,1.0%                   ,                    ,              ,.7%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,1.0%                  ,                       ,Others = 0.7%; Total count = 306; From Leg 145 SR; Ch 3; Table 3; p. 47
