Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acarinina nitida,Morozovella quetra,Subbotina velascoensis,Acarinina mckannai-subsphaerica,Morozovella subbotinae,Acarinina soldadoensis,Acarinina primitiva,Morozovella aragonensis,Acarinina triplex,Muricoglobigerina senni,Acarinina pentacamerata,Acarinina wilcoxensis,Morozovella lensiformis,Morozovella formosa gracilis,Morozovella caucasica,Acarinina matthewsae,Subbotina linaperta,Subbotina eocaenica,Globigerina lozanoi,Globorotaloides sp. aff. carcosellensis,Catapsydrax martini,Acarinina rugosoaculeata,Truncorotaloides rohri,Globorotaloides suteri,Acarinina bullbrooki,Subbotina hagni,Catapsydrax unicavus,Turborotalia cerroazulensis frontosa,Subbotina angiporoides minima,Turborotalia griffinae,Subbotina eocaena,Pseudohastigerina micra,Globigerinatheka index,Globigerina praebulloides,Tenuitella gemma,Globorotaloides testarugosa,Globigerina angustiumbilicata,Dentoglobigerina galavisi,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina umbilicata,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Globigerina incisa,Orbulina spp.,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 1,   5.00,    121.9500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,6                                    ,20                                    ,28                                  ,1                   ,18                     ,135                   ,86                   ,10                                     ,                  ,             ,20                     ,Not identified =  4; Total count = 328; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 1,  45.00,    122.3500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,42                                   ,84                                    ,70                                  ,1                   ,7                      ,10                    ,45                   ,1                                      ,3                 ,             ,                       ,Not identified =  0; Total count = 263; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 1,  85.00,    122.7500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,83                                   ,57                                    ,96                                  ,2                   ,5                      ,8                     ,24                   ,1                                      ,                  ,             ,                       ,Not identified =  2; Total count = 278; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 1, 121.00,    123.1100,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,35                                   ,117                                   ,117                                 ,2                   ,3                      ,15                    ,24                   ,5                                      ,5                 ,             ,3                      ,Not identified =  1; Total count = 327; from Leg 145 SR; ch 8; Table 1; p. 142
