Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Ammodiscus cretaceus,Alabamina spp.,Tube-shaped species,Textularia spp.,Spiroplectammina spectabilis,Reophax spp.,Hormosina spp.,Ammobaculites subcretaceus,Ammobaculites spp.,Trochammina spp.,Rzehakina epigona,Pyrulina spp.,Gyroidinoides spp.,Hyperammina spp.,Haplophragmoides spp.,miolinids unknown,Recurvoides sp.,Paratrochamminoides spp.,Glomospira spp.,Ammodiscus tenuissima,Uvigerinammina spp.,Trochammina globigeriniformis,Praebulimina sp.,Karrerulina conversa,Haplophragmoides walteri,Glomospira charoides,Gavelinella spp.,Ammovertellina sp.,Nodosaria spp.,Eponides spp.,Buliminella spp.,Bolivina spp.,Bifarina sp.,Astacolus sp.,Astacolus jarvisi,Gyroidina sp.,polymorhinids xxx,Uvigerina spp.,Gavelinella beccariiformis,Cibicidoides spp.,Cibicides spp.,Aragonia velascoensis,Pullenia spp.,Pullenia cretacea,Lenticulina spp.,Heterolepa sp.,Globorotalites spp.,Epistomina sp.,Conorbina spp.,Saccammina spp.,Eggerella spp.,Spiroplectammina spp.,Silicosigmoilina spp.,Haplophragmoides porrectus,Ammodiscus spp.,Rosalina spp.,Rhizammina sp.,Astrononion spp.,Trifarina spp.,Astrononion novozealandicum,Globocassidulina subglobosa,Hyperammina kenmilleri,Cyclammina amplectans,Cribrostomoides spp.,Lituotuba spp.,Lagenammina spp.,Glomospira gordialis,Cyclammina spp.,Oridorsalis umbonatus,Globobulimina affinis,Cibicidoides praemundulus,Bulimina tuxpamensis,Astrononion sp.A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A,  2,R,CC,  18.00,    803.6900,benthics ,Benthic Foraminifers                         ,F              ,M                 ,                           ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,2               ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,1                    ,1                    ,1                        ,2                   ,30              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A,  4,R,CC,   0.00,    825.9000,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,1              ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A,  6,R,CC,   0.00,    847.4000,benthics ,Benthic Foraminifers                         ,A              ,P                 ,13                         ,                    ,              ,78                 ,               ,1                           ,            ,10            ,                          ,1                 ,1               ,                 ,             ,                  ,                ,4                    ,                 ,1              ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,22                   ,                    ,4             ,1               ,1                   ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A,  7,R,CC,  19.00,    857.8700,benthics ,Benthic Foraminifers                         ,A              ,P                 ,21                         ,1                   ,              ,39                 ,               ,1                           ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,1               ,                     ,                 ,               ,10                      ,1              ,                     ,                   ,2                            ,                ,                    ,                        ,3                   ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,4                     ,8                    ,3                   ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
