Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus.1,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data,eodp_id
320-U1336A-2H-2-W 105/107,320,U1336,A,2,2-2,H,2,W,105/107,105,107,11.6,11.62,RN5,A,G,,,,,,,,vR,R,F,,,,,,,,,,R,,,,F,R,R,,,R,,,,R,,,,,F,R,,,,,,,,,,,,,,,,be0da65edc26183ecdd36a25de34e380
320-U1336A-2H-CC,320,U1336,A,2,2-CC,H,CC,,,0,0,17.53,17.53,,,G,1,,,,,vR,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062f148ab9ac67e462e4700895811091
320-U1336A-3H-2-W,320,U1336,A,3,3-2,H,2,W,,105,107,20.05,20.07,RN5,A,M,,,,,R,R,,,R,R,vR,,,,vR,,,,,R,,,,R,R,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,d67dc59374a3470b9dbab046d777f5bb
320-U1336A-3H-4-W,320,U1336,A,3,3-4,H,4,W,,105,107,23.05,23.07,RN5,A,M,,,,,R,R,R,,R,R,,,,,vR,,,,,R,,,,R,R,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,a1b68cd6e92e881ef931bc3fa120146c
320-U1336A-3H-CC,320,U1336,A,3,3-CC,H,CC,,,0,0,27.23,27.23,RN5,A,M,1,,,,,,F,,F,R,,,F,F,R,,,,,R,,,,F,,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,0c5a930e00e8c2e1863b9f64822b60d4
320-U1336A-4H-2-W,320,U1336,A,4,4-2,H,2,W,,105,107,29.55,29.57,RN5,A,M,,,,,R,R,R,R,F,R,,,F,F,R,,,,,R,,,,R,R,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,6fdd01cbbaf690ea1bba5b7a8e5ed810
320-U1336A-4H-4-W,320,U1336,A,4,4-4,H,4,W,,105,107,32.55,32.57,RN4,A,G,,,,,R,R,R,R,,R,,,F,F,R,R,R,R,R,R,,,,R,R,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,af8d7dd4118ae57b8a3ea7614406b42a
320-U1336A-4H-CC,320,U1336,A,4,4-CC,H,CC,,,0,0,36.03,36.03,RN4,A,G,,,,,,R,R,R,,R,R,R,F,C,,R,F,,R,R,,,,R,R,R,,,F,,,,F,,,,,R,R,,,R,,,,,,,,,,,,,39ac748057c84e5d129e52678c12a15e
320-U1336A-5H-2-W,320,U1336,A,5,5-2,H,2,W,,105,107,39.05,39.07,RN4,A,G,,,,,R,R,R,R,,R,R,R,R,F,R,R,R,R,R,,,,,R,R,,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,b4d01a38422de73a53b7f1e588a28698
320-U1336A-5H-4-W,320,U1336,A,5,5-4,H,4,W,,105,107,42.05,42.07,RN4,A,G,,,,,,R,R,R,,R,R,R,F,F,R,R,R,R,R,,,,,R,R,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,8af1355ca9c2c3fca2bb980e77d3bf0f
