Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1518F-2R-CC-PAL-NANNO,0,10,199.8,199.9,M/P,C,,,,F,*,,R,R,,*,*,,*,C,F,,,*,,,?,*,,,,,,,F,,,*,R,F,C,,F,R,*,,,*,,R,,,,R,F,R,,,C,C,,*,C,F,,R,R,,*,,,*,,R,,,,*,,*,*,,,,*,,,,R,,,,375,U1518,F,2,R,CC,PAL,50b976612f00a47093379104a386022f
375-U1518F-3R-CC-PAL-NANNO,0,10,212.49,212.59,M/P,C,,,,F,*,*,,,,*,*,,,C,F,,,*,,,?,,,,,,,,,,,*,,F,C,,F,R,,,R,,,R,,,,,R,R,,,C,F,,*,F,C,C,,R,*,*,,,,*,R,,,,,,,*,,,,,,,R,R,,,,375,U1518,F,3,R,CC,PAL,93b4c9172ff797e175c1902a2d6e7797
375-U1518F-4R-CC-PAL-NANNO,0,10,219.21,219.31,M/P,C,,,,F,,,R,,,,*,,*,C,F,,,*,,,,*,,,,,,,F,,,*,R,F,C,,,,,,,,,,,,,,,R,,,C,C,,*,C,,,R,,*,,,,*,,,,,,,,,*,,R,,,,*,R,,,,,375,U1518,F,4,R,CC,PAL,780f84cc1f3234f7938daa75bfc040ed
375-U1518F-5R-CC-PAL-NANNO,0,10,229.91,230.01,M/P,C,,,,F,,,R,,,,,,*,C,C,,*,*,,,*,*,,,,,,,,,,*,,,C,,F,,,,,,,,,,,,,,,,R,F,,*,C,C,C,,R,*,,,,,,R,,,,,,,,,,,,,,,,,,,375,U1518,F,5,R,CC,PAL,ee25f45f4eebd8801dd08f4235a13c7f
375-U1518F-6R-CC-PAL-NANNO,0,13,239.08,239.21,M/P,C,,,,R,,,R,,,,,*,*,C,C,,*,*,,,,*,,,,,,,,,,*,,F,C,,,R,*,,R,,,,*,,,F,R,R,,,F,F,*,*,F,C,,R,C,*,*,,,,,,,,,*,,*,*,,,,,,,,,,,,375,U1518,F,6,R,CC,PAL,36c30e273a78488faad7dd7780c8a41a
375-U1518F-7R-3-PAL(81-91)-NANNO,0,10,248.77,248.87,M/P,C,,,,,,,,,,*,,,,C,C,,,*,,,,*,,,,,,,F,,,,,,C,,F,,,,,,,,,,,,,,,,F,,,*,C,C,C,R,,,*,,,*,,,,,,,,,*,,,,,,,R,,,,,375,U1518,F,7,R,3,PAL,ad7695b18d201e3c8a54182c5ef3adb8
375-U1518F-8R-CC-PAL-NANNO,0,5,258.89,258.94,M/P,C,,,,F,*,,R,,,*,,,,C,F,,,*,,,,*,,,,,,,,,,*,,,C,,F,R,*,,,,,,,,,,,R,,,F,C,,*,C,C,C,R,,*,*,,,*,,R,,,,,,,*,,,,,,,R,,,,,375,U1518,F,8,R,CC,PAL,a7b0816836e7018b5d0bf2cee90c0daa
375-U1518F-9R-5-PAL-NANNO,0,10,270.17,270.27,M/P,C,,,F,R,,,R,,R,,,,,C,,,,*,,,,*,,,,,,,,,,*,R,R,C,,R,R,,,,,,,,,,,R,R,,,F,,*,*,C,C,C,,,*,,,,*,*,R,,,,*,*,,*,,R,,,,*,R,R,,,,375,U1518,F,9,R,5,PAL,7d23223e944c83b88dd54221345214c1
375-U1518F-10R-CC-PAL-NANNO,0,15,277.53,277.68,M,C,,,,R,*,,R,,,,,,,C,F,,,*,,,,*,,,,,,,,,,*,,,C,,C,R,,,,,,,,,,,,,,,,,*,*,C,C,C,F,,,*,,,*,,,,,,,,,*,,R,,,,,R,,,,,375,U1518,F,10,R,CC,PAL,5fe2dcbf95198f2c018826ee0e9f5c6d
375-U1518F-11R-CC-PAL-NANNO,0,10,286.63,286.73,M/P,C,,,,,,,R,,,,,,*,C,,,,*,,,,*,,,,,,,F,,,,,,C,,C,R,,,,,,R,,,,,,R,,,,F,*,*,C,,,,,*,,,,,,,,,,,,,*,,,,,,,,,,,,375,U1518,F,11,R,CC,PAL,4cc654bce62f08a2b65c5c6e56bfd4e6
