Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1486B-1H-CC,0,23,5.76,5.99,E,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,9,4,,1,,,,4,,,5,1,,,,3,,,,,,,,,,,,2,,,,,,,,,,,7,,,,,,,,,,4,,,,,,,,2,,,9,,9,,12,,,,,,,,,363,U1486,B,1,H,CC,,b797f0fcc419edb8108ce5279a113682
363-U1486B-2H-CC,0,28,15.78,16.06,E,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,6,,,2,,,3,,,,1,,,,,,,,,,1,3,,4,,,,,,,,,,,363,U1486,B,2,H,CC,,c37b272cdf9d8ef7f114779eb5feb28e
363-U1486B-3H-CC,0,21,25.21,25.42,E,,1,,,,,,,,1,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,1,,1,,,,,,,,2,,,3,,1,,4,,,1,,,,,,363,U1486,B,3,H,CC,,1376cdf2e4c657c25870e9bb762431ec
363-U1486B-4H-CC,0,36,34.74,35.1,E,,1,1,,,,,,,,,,,,2,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,,,,8,,,1,,,,,,363,U1486,B,4,H,CC,,d7581ad328489901fb8fa0e8e98dcacb
363-U1486B-5H-CC,0,22,44.23,44.45,E,,1,1,,,,,,,3,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,4,,,,,,1,,,,4,,,,,1,3,,,,,1,,5,,5,,,,,,,,,363,U1486,B,5,H,CC,,2548feb2b514b834513d592543c6782c
363-U1486B-6H-CC,0,24,53.69,53.93,E,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,5,,,,,2,,,,,,,1,,,,,2,,,,,5,,,1,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,2,,,,,,,,,,2,,1,,,3,3,,,,,22,,1,,3,,,,,,,,,363,U1486,B,6,H,CC,,2c1a737c681b8dabae594bb145b45fb8
363-U1486B-7H-CC,0,56,62.3,62.86,E,,1,,,,,,,,1,,,,,4,,,2,,,,,,2,,,,7,,,,,2,,,,,,2,,,,,6,1,,4,,,6,,2,,1,,,,1,,,,,,,2,,,,,3,,,3,,,,,,,,8,,,,,,,,,,,,2,,,,,,,,,8,,4,,2,,,,,,,,,363,U1486,B,7,H,CC,,611a5aeef67191fdb8df4ee673241e29
363-U1486B-8H-CC,0,24,72.55,72.79,E,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,6,,,1,,,,,1,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,3,,3,,3,,,,,,,,,363,U1486,B,8,H,CC,,ec439979c0f2f46a0d47948db7ca8559
363-U1486B-9H-CC,0,31,82.21,82.52,E,,1,,,,,,,,2,,,,,1,,,,,,,2,,,,,,4,,,,,1,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,1,,4,,,,,2,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,1,,11,,4,,,,,,,,,363,U1486,B,9,H,CC,,eb06c1332f507717d758ede69af4666e
363-U1486B-10H-CC,0,27,91.63,91.9,E,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,7,,,,,,,,,,,1,,,,4,3,,,,,,3,,,,,,,,2,,,,,,,2,,,,,1,,,4,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,7,,7,,5,,,,,,,,,363,U1486,B,10,H,CC,,df46163b2f8dcb9c64c45c56d0b6203f
363-U1486B-11H-CC,0,29,101.15,101.44,E,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,1,,,,,4,,1,,1,,,,,,,,,363,U1486,B,11,H,CC,,5c94aec55c2bf9feffe7d027cb17680d
363-U1486B-12H-CC,0,27,110.72,110.99,E,,1,,,,,,,,,,,,,2,,,,,,,2,,2,,,,11,,,,,,,,,,,,2,,,2,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,2,,,2,,,,,,,,9,,,,,,1,,,,,,5,1,,,1,,,,,,,3,,4,,,,,,,,,363,U1486,B,12,H,CC,,16d85b74f8ac76769e25e31d0461c772
363-U1486B-13H-CC,0,12,120.04,120.16,E,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,2,,,,,,,,1,,,1,,,,,,,,,4,1,,,2,,,,,,,1,,,,,,,,,,,363,U1486,B,13,H,CC,,352d3356ef7349e0737779935b7688ed
363-U1486B-14H-CC,0,30,129.68,129.98,E,,1,1,,,,,,,,,,,,2,,,,,,,1,,,,,,16,,,1,,3,,,,4,,1,,,,5,,,8,,,,,,,5,1,,,,,,,,,,,4,1,,,,6,,,12,,,,1,,,,7,,,6,,,,,,,,,2,,,,,,,,,5,,21,,11,,,,,,,,,363,U1486,B,14,H,CC,,399c837025130c8c83e0207c000ef4de
363-U1486B-15H-CC,0,23,138.99,139.22,E,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,7,,,,,1,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,2,,,,,1,,,4,,,,2,,,,2,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,363,U1486,B,15,H,CC,,573a642d7fb0f17e9bdec6cb8a93b7bd
363-U1486B-16H-CC,0,17,148.77,148.94,E,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,3,,,,,,,,,5,,,,1,,,,,,,,,363,U1486,B,16,H,CC,,43ba6db082b8a17fc007125779f2aea0
363-U1486B-17H-CC,0,20,158.22,158.42,E,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,,,,,,,,,,,,,,5,,,2,,,,1,,,1,,,,,3,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,3,,1,,2,,,,,,,,,363,U1486,B,17,H,CC,,70cb83508dc5b853acddbdaa7e7f9e81
