Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus.1,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data,eodp_id
320-U1335B-12H-CC-PAL-RADS,320,U1335,B,12,12-CC,H,CC,PAL,RADS,0,0,108.08,108.08,,,,,,,,vR,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,da78c54dd02546e1b08a5e7bed6887aa
320-U1335B-13H-CC-PAL-RADS,320,U1335,B,13,13-CC,H,CC,PAL,RADS,0,0,117.65,117.65,RN5,A,G,,,,,,R,R,,R,R,R,,,R,R,,,,,R,,,,F,,R,,,R,,,,F,,,R,,F,R,,,R,,,,,,,,,,,,,66af2fd3a0267de036852b09e488a38b
320-U1335B-14H-CC-PAL-RADS,320,U1335,B,14,14-CC,H,CC,PAL,RADS,0,0,127.01,127.01,RN5,A,G,,,,,R,R,R,R,R,,vR,,,,R,,,,,,,,,R,,R,,,R,,,,F,,,,,F,R,,,,,,,,,,,,,,,,6427adcb1cc462fd5450eebbd8361b0c
320-U1335B-15H-CC-PAL-RADS,320,U1335,B,15,15-CC,H,CC,PAL,RADS,0,0,136.78,136.78,RN5,A,G,,,,,R,R,R,R,R,,,R,R,R,R,R,,,,R,,,,F,,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,44895fe9596d6ac194c8c9080d1f0c3b
320-U1335B-16H-CC-PAL-RADS,320,U1335,B,16,16-CC,H,CC,PAL,RADS,0,0,146.17,146.17,RN5,A,G,,,,,R,R,R,R,R,,,R,R,R,R,R,,,,R,,,,F,,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,d94ae3adc31743880694cbe03b3d6404
320-U1335B-17H-CC-PAL-RADS,320,U1335,B,17,17-CC,H,CC,PAL,RADS,0,0,155.64,155.64,RN4,A,G,,,,,R,R,R,R,,,,R,R,R,R,R,R,R,R,,,,,F,,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,ac96eda1342fd8d329f61dac9fbb0b6f
320-U1335B-18H-CC-PAL-RADS,320,U1335,B,18,18-CC,H,CC,PAL,RADS,0,0,164.78,164.78,RN4,A,G,,,,,R,R,R,R,,,,R,R,R,R,R,R,R,R,,R,R,R,R,,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,7ac04e8f21c5b2e7bdf7721bcf687771
320-U1335B-19H-CC-PAL-RADS,320,U1335,B,19,19-CC,H,CC,PAL,RADS,0,0,174.81,174.81,RN4,A,G,,,,,R,R,,R,,,R,R,R,R,R,R,R,R,R,,R,R,R,,,,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,cd1423366846b19fb6f46b280a2d31cb
320-U1335B-20H-CC-PAL-RADS,320,U1335,B,20,20-CC,H,CC,PAL,RADS,0,0,184.35,184.35,RN3,A,G,,,,,R,R,,R,,,R,R,,F,R,R,R,R,R,,R,R,R,,,,,,R,,,,R,,,,,C,F,,,,,,,,,,,,,,,,d03ca7943d274a1122131fc387d45d27
320-U1335B-21H-CC-PAL-RADS,320,U1335,B,21,21-CC,H,CC,PAL,RADS,0,0,193.42,193.42,RN3,A,G,,,,,R,R,,R,,,R,R,,F,R,R,,R,,,R,R,R,,,,,,R,,,,R,,,,,F,R,,,,,,,,,,,,,,,,744cf130b883250a4e95ac4b0b97db66
320-U1335B-22H-CC-PAL-RADS,320,U1335,B,22,22-CC,H,CC,PAL,RADS,0,0,202.81,202.81,RN3,A,G,,,,,R,R,,R,,,R,R,,R,R,R,,R,vR,,R,R,R,,,,,,R,,,,R,,,,,F,R,,,,,,,,,,,,,,,,009460c7b05a86427eb86603b6227d03
320-U1335B-23H-CC-PAL-RADS,320,U1335,B,23,23-CC,H,CC,PAL,RADS,0,0,211.78,211.78,RN3,A,G,,,,,R,R,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,,R,,vR,,F,,,,,F,R,,,,,,,,,,,,,,,,c2d3d70952e603dde117d1072707dcd0
320-U1335B-24H-CC-PAL-RADS,320,U1335,B,24,24-CC,H,CC,PAL,RADS,0,0,222.11,222.11,RN2,A,G,,,,,F,R,,,,,R,R,,R,R,R,,R,,,R,R,R,,,,R,,,,,,F,,,,,F,R,,,R,,,,,,,,,,,,,810f26277c663d13259d8038c64872d9
320-U1335B-25H-CC-PAL-RADS,320,U1335,B,25,25-CC,H,CC,PAL,RADS,0,0,231.42,231.42,RN2,A,G,,,,,R,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,R,,R,,,,,,R,,F,R,,,R,,,,,,,,,,,,,238c9915fab78698e58d85cc15295a5b
320-U1335B-26H-CC-PAL-RADS,320,U1335,B,26,26-CC,H,CC,PAL,RADS,0,0,241.4,241.4,RN2,A,G,,,,,R,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,,,,R,,,,,R,,F,R,,,R,,,,,,,,,,,,,b653a83d60cf70e1af35f3451bee3732
320-U1335B-27H-CC-PAL-RADS,320,U1335,B,27,27-CC,H,CC,PAL,RADS,0,0,250.9,250.9,RN2,A,G,,,,,F,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,R,,R,R,,F,,,F,,F,R,,,R,,,,,,,,,,,,,872693318ca9634b220b53c6da08f6d9
320-U1335B-28H-CC-PAL-RADS,320,U1335,B,28,28-CC,H,CC,PAL,RADS,0,0,260.4,260.4,RN2,A,G,,,,,F,,,,,,R,R,,R,R,,,vR,,,R,R,R,,,,R,,,,R,R,F,,,R,,F,R,,,R,,,,,,,,,,,,,11215c6caf3ac8068591c405d5ca737d
320-U1335B-29H-CC-PAL-RADS,320,U1335,B,29,29-CC,H,CC,PAL,RADS,0,0,269.69,269.69,RN2,A,G,,,,,R,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,,,,,R,R,,,R,,F,R,,,R,,,,,,,,,,,,,6e8bbd9cba96bf761055afd687c3dfeb
320-U1335B-30H-CC-PAL-RADS,320,U1335,B,30,30-CC,H,CC,PAL,RADS,0,0,279.09,279.09,RN2,A,G,,,,,R,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,,,,,R,,,,R,,F,R,,,R,,,,,,,,,,,,,d215484ed47809c31b57af8ab9e55c68
