Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores,eodp_id
318-U1360A-1R-CC-PAL-PALY-PALYA,318,U1360,A,1,1-CC,R,CC,PAL,PALY-PALYA,0,0,0.49,0.49,F,F,B,X,B,77f6062f3041e9318396eb886fbe2957
318-U1360A-3R-1-W 7/9-PALY-PALYA,318,U1360,A,3,3-1,R,1,W,7/9-PALY-PALYA,0,0,23.37,23.37,F,X,B,B,B,bb967491f145c75c25ab0727a27e1b69
318-U1360A-3R-CC-PAL-PALY-PALYA,318,U1360,A,3,3-CC,R,CC,PAL,PALY-PALYA,0,0,23.735,23.735,F,X,B,B,B,30367b84413eb9fe4228bb68d9ee9236
318-U1360A-4R-CC-PAL-PALY-PALYA,318,U1360,A,4,4-CC,R,CC,PAL,PALY-PALYA,0,0,35.32,35.32,F,F,B,B,B,256f1879b1357feb883594f1d107e34a
318-U1360A-6R-1-PAL81     -PALY-PALYA,318,U1360,A,6,6-1,R,1,PAL81,PALY-PALYA,0,0,51.51,51.51,X,X,B,X,B,c55e68f775e2ce7f8db9df4c8a9b4d64
318-U1360A-6R-CC-PAL-PALY-PALYA,318,U1360,A,6,6-CC,R,CC,PAL,PALY-PALYA,0,0,53.75,53.75,X,X,X,B,B,e62280ab066db135fcd04325de1e0420
