Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data,eodp_id
320-U1334A-2H-CC-PAL-RADS,320,U1334,A,2,2-CC,H,CC,PAL,RADS,0,0,18.11,18.11,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,cbee5e038eaf7f2740f95edb2e45d663
320-U1334A-3H-2-W 105/107,320,U1334,A,3,3-2,H,2,W,105/107,105,107,21.3,21.32,RN5,C,P,2,,,,,,,,,R,,R,R,R,,,,,,R,,,,R,,,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,73c37bb6352235df5a2e0384af9a1008
320-U1334A-3H-4-W 105/107,320,U1334,A,3,3-4,H,4,W,105/107,105,107,24.3,24.32,RN5,C,P,2,,,,,R,R,,,R,,,R,R,,,,,,R,,,,R,,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,291c3a81ef46e0bcab67aa3a93fef9ab
320-U1334A-3H-CC-PAL-RADS,320,U1334,A,3,3-CC,H,CC,PAL,RADS,0,0,27.65,27.65,RN5,C,P,,,,,,,R,,R,,,,C,C,R,,VR,,,F,,,,R,,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,488b91090964e41a597a2aef462d7400
320-U1334A-4H-2-W,320,U1334,A,4,4-2,H,2,W,,105,107,29.75,29.77,RN4,C,M,,,,,,R,R,,R,R,R,R,F,F,R,R,R,R,R,,,,,R,,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,c9881d23bfe856984fb13f6eb64cc29f
320-U1334A-4H-4-W 105/107,320,U1334,A,4,4-4,H,4,W,105/107,105,107,33.8,33.82,RN4,C,G,,,,,,R,R,R,,,R,R,F,R,R,R,F,R,R,,R,,,,,R,,,R,,,,F,,,R,,R,R,,,,,,,,,,,,,,,57e4041ca3a58af2056428a67079c9c6
320-U1334A-4H-CC-PAL-RADS,320,U1334,A,4,4-CC,H,CC,PAL,RADS,0,0,37.18,37.18,RN4,C,M,,,,,R,R,,R,,,R,,F,F,R,R,R,R,R,,R,R,,,,R,,,R,,,,C,,,R,,R,R,,,,,,,,,,,,,C. ELONGATA,,23c5011ab3b922a46c939f2f762940b3
320-U1334A-5H-2-W 104/106,320,U1334,A,5,5-2,H,2,W,104/106,104,106,40.28,40.3,RN4,C,M,,,,,F,,R,R,,,R,,R,F,R,R,R,R,R,,R,R,,,,,,,F,,,,F,,,,,R,R,,,,,,,,,,,,,C. ELONGATA,,331d4588c80c44ad44253a5f7db12c66
320-U1334A-5H-4-W 104/106,320,U1334,A,5,5-4,H,4,W,104/106,104,106,43.28,43.3,RN3,C,M,,,,,F,R,,R,,,R,,,R,R,R,,R,R,,R,R,R,,,,,,R,,,,F,,,R,,R,R,,,,,,,,,,,,,,,d0b083dbcaf8c7b7c5d85af86262b666
320-U1334A-5H-CC-PAL-RADS,320,U1334,A,5,5-CC,H,CC,PAL,RADS,0,0,46.78,46.78,RN2,C,P,,,,,F,R,,,,,R,,,R,R,R,,,,,R,R,R,,,,VR,VR,,R,VR,R,F,,,R,,R,R,,,R,,,,,,,,,,,,b415443d1d3b3f1daa8229c71c7acf0f
