Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores,eodp_id
318-U1361A-1H-CC-PAL-PALY-PALYA,318,U1361,A,1,1-CC,H,CC,PAL,PALY-PALYA,0,7,8.96,9.03,F,B,T,A,B,f862e59dddabfde694cb42fce0fb65f8
318-U1361A-6H-CC-PAL-PALY-PALYA,318,U1361,A,6,6-CC,H,CC,PAL,PALY-PALYA,0,5,56.675,56.725,F,B,T,A,B,61ebf9cc945cd75755ce1c1e0c7e3f2d
318-U1361A-10H-CC-PAL-PALY-PALYA,318,U1361,A,10,10-CC,H,CC,PAL,PALY-PALYA,0,5,94.94,94.99,B,B,B,T,B,aa4e644ee8b955530c4a328446a6aeac
318-U1361A-14H-CC-PAL-PALY-PALYA,318,U1361,A,14,14-CC,H,CC,PAL,PALY-PALYA,0,4,132.53,132.57,B,B,B,T,B,93087d63ff90d426499f2f23a30b066c
318-U1361A-17X-CC-PAL-PALY-PALYA,318,U1361,A,17,17-CC,X,CC,PAL,PALY-PALYA,0,5,160.29,160.34,F,T,B,A,B,f7bb63523ddf30d0b188e1496f815dfb
318-U1361A-22X-CC-PAL-PALY-PALYA,318,U1361,A,22,22-CC,X,CC,PAL,PALY-PALYA,0,5,205.16,205.21,B,B,B,T,B,6ef9db1713f8da7875a29aba66a1452a
318-U1361A-25X-CC-PAL-PALY-PALYA,318,U1361,A,25,25-CC,X,CC,PAL,PALY-PALYA,0,5,234.77,234.82,C,B,B,A,B,f70bfd5ad35c4988793f9387efccd6d1
318-U1361A-29X-CC-PAL-PALY-PALYA,318,U1361,A,29,29-CC,X,CC,PAL,PALY-PALYA,0,5,273.37,273.42,B,B,B,T,B,c3ba5d244589adc5a85f145cb0f3d81e
318-U1361A-33X-CC-PAL-PALY-PALYA,318,U1361,A,33,33-CC,X,CC,PAL,PALY-PALYA,0,5,311.625,311.675,T,B,B,T,B,ae8f46456cd8f955f169b139b0bb7b39
318-U1361A-39X-CC-PAL-PALY-PALYA,318,U1361,A,39,39-CC,X,CC,PAL,PALY-PALYA,0,5,369.21,369.26,T,B,B,F,B,d5feea1020ee6fb6e451bfc7c2777adf
