Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data
320-U1335A-31H-4-W 105/107,320,U1335,A,31,31-4,H,4,W,105/107,105,107,291,291.02,RN2,C,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,,,,R,,,,R,R,,,R,,,,,,,,,,,,
320-U1335A-31H-CC-PAL-RADS,320,U1335,A,31,31-CC,H,CC,PAL,RADS,0,0,294.5,294.5,RN1,A,G,,,,,F,,,,,,R,,,-,-,,,,,,R,R,R,,,,R,R,,,R,R,,R,R,,,R,R,,,R,,,,,,,,,,,,
320-U1335A-32H-2-W 104/106,320,U1335,A,32,32-2,H,2,W,104/106,104,106,297.48,297.5,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,F,R,R,,R,,,,,vR,,,,,,,
320-U1335A-32H-3-W,320,U1335,A,32,32-3,H,3,W,,149,150,298.39,298.4,RN1,A,G,,,,,F,,,,,,R,,,-,,,,,,,R,R,R,,,,R,R,,,R,R,,R,R,,,F,R,,,R,,,,,,,,,,,,
320-U1335A-32H-4-W 104/106,320,U1335,A,32,32-4,H,4,W,104/106,104,106,300.48,300.5,RN1,A,G,,,,,R,,vR,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,vR,F,R,,,,,,,,,,,,,,,
320-U1335A-32H-CC-PAL-RADS,320,U1335,A,32,32-CC,H,CC,PAL,RADS,0,0,303.7,303.7,RN1,A,G,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,R,,R,R,,,F,R,,,R,,,,,,,,,,,,
320-U1335A-33H-2-W 105/107,320,U1335,A,33,33-2,H,2,W,105/107,105,107,307,307.02,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,,,F,R,,,R,,,,,,,,,,,,
320-U1335A-33H-3-W,320,U1335,A,33,33-3,H,3,W,,149,150,307.89,307.9,RN1,A,G,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,vR,,R,R,,-,F,R,,,R,,,,,,,,,,,,
320-U1335A-33H-4-W 105/107,320,U1335,A,33,33-4,H,4,W,105/107,105,107,310,310.02,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,,R,R,,,R,,,,,,,,,,,,
320-U1335A-33H-CC-PAL-RADS,320,U1335,A,33,33-CC,H,CC,PAL,RADS,0,0,313.48,313.48,RN1,A,G,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,F,R,,,R,,,,,,,,,,,,
320-U1335A-34H-3-W,320,U1335,A,34,34-3,H,3,W,,149,150,315.99,316,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-34H-3-W 105/107,320,U1335,A,34,34-3,H,3,W,105/107,105,107,316.6,316.62,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,R,,R,R,,,R,R,,,R,,,,,,,,,,,,
320-U1335A-34H-5-W 105/107,320,U1335,A,34,34-5,H,5,W,105/107,105,107,319.6,319.62,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-34H-CC-PAL-RADS,320,U1335,A,34,34-CC,H,CC,PAL,RADS,0,0,323,323,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-35H-2-W,320,U1335,A,35,35-2,H,2,W,,105,107,324.95,324.97,RN1,A,G,,,,,R,,,,,,R,,,,,vR,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-35H-3-W,320,U1335,A,35,35-3,H,3,W,,149,150,326.89,326.9,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-35H-4-W,320,U1335,A,35,35-4,H,4,W,,105,107,327.95,327.97,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-35H-CC-PAL-RADS,320,U1335,A,35,35-CC,H,CC,PAL,RADS,0,0,332.59,332.59,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-36H-2-W 104/106,320,U1335,A,36,36-2,H,2,W,104/106,104,106,335.48,335.5,RN1,A,G,,,,,R,,,,,,R,,,,,vR,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-36H-3-W,320,U1335,A,36,36-3,H,3,W,,149,150,336.39,336.4,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-36H-4-W 104/106,320,U1335,A,36,36-4,H,4,W,104/106,104,106,338.48,338.5,RN1,A,G,,,,,R,,,,,,R,,,,,vR,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,vR,,,R,,,,,,,,,,,COMM DIATOMS,
320-U1335A-36H-CC-PAL-RADS,320,U1335,A,36,36-CC,H,CC,PAL,RADS,0,0,341.8,341.8,RN1,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,R,R,,,R,,,,,,,,,,,,
320-U1335A-37X-2-W,320,U1335,A,37,37-2,X,2,W,,104,106,343.94,343.96,RP22,C,M,,,,,R,,,,,,R,,,,,,,,,,,R,R,,,,R,-,,,R,,,R,R,,R,-,-,,,R,,,,,,,,,,,COMM DIATOMS,
320-U1335A-37X-3-W,320,U1335,A,37,37-3,X,3,W,,149,150,345.89,345.9,RP22,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,-,,,R,,,R,R,,R,-,-,,R,R,,,,,,,,,,,COMM DIATOMS,
320-U1335A-37X-4-W,320,U1335,A,37,37-4,X,4,W,,93,94,346.83,346.84,RP22,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,-,,,R,,,R,R,,R,-,-,,R,R,,,,,,,,,,,COMM DIATOMS,
320-U1335A-37X-CC-PAL-RADS,320,U1335,A,37,37-CC,X,CC,PAL,RADS,0,0,350.01,350.01,RP22,C,M,,,,,R,,,,,,R,,,,,R,,,,,R,R,R,,,,-,R,,,R,,,R,R,,R,-,-,,,vR?,,,,,,,,,,,COMM DIATOMS,
320-U1335A-38X-2-W,320,U1335,A,38,38-2,X,2,W,,104,106,353.64,353.66,RP22,A,G,,,,,R,,,,,,-,,,,,-,,,,,-,R,R,,,,R,-,,,R,,,R,R,,R,,,,,,,,,,,,,,,,,
320-U1335A-38X-3-W,320,U1335,A,38,38-3,X,3,W,,149,150,355.59,355.6,RP22,A,M,,,,,R,,,,,,R,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,-,,,vR,,,,,,,,,,,
320-U1335A-38X-4-W,320,U1335,A,38,38-4,X,4,W,,104,106,356.64,356.66,RP22,C,M,,,,,R,,,,,,R,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,,R,,R,,,R,,,R,,,,R,,,,,,,
320-U1335A-38X-CC-PAL-RADS,320,U1335,A,38,38-CC,X,CC,PAL,RADS,0,0,359.11,359.11,RP22,A,M,,,,,R,,,,,,vR,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,vR,,,-,,,,,,,,,,,
320-U1335A-39X-2-W,320,U1335,A,39,39-2,X,2,W,,115,117,363.35,363.37,RP22,A,G,,,,,R,,,,,,vR,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,,,,,,,,COMM DIATOMS,
320-U1335A-39X-3-W,320,U1335,A,39,39-3,X,3,W,,149,150,365.19,365.2,RP22,A,M,,,,,R,,,,,,R,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,R,,,,,,,,,,,
320-U1335A-39X-4-W,320,U1335,A,39,39-4,X,4,W,,105,107,366.25,366.27,RP22,A,G,,,,,R,,,,,,R,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,R,vR,,,,,,,,,,
320-U1335A-39X-CC-PAL-RADS,320,U1335,A,39,39-CC,X,CC,PAL,RADS,0,0,369.36,369.36,RP22,A,M,,,,,R,,,,,,-,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,R,,,,,,,,,,,
320-U1335A-40X-2-W 110/112,320,U1335,A,40,40-2,X,2,W,110/112,110,112,373.9,373.92,RP22,C,M,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,,,,,,,,,
320-U1335A-40X-4-W 96/98,320,U1335,A,40,40-4,X,4,W,96/98,96,98,376.62,376.64,RP22,C,M,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,,,,R,R,,R,,,R,,,,,,,R,,,,,,,
320-U1335A-40X-CC-PAL-RADS,320,U1335,A,40,40-CC,X,CC,PAL,RADS,0,0,376.6,376.6,RP22,A,M,,,,,R,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,-,,,-,-,,,,,,,
320-U1335A-41X-2-W,320,U1335,A,41,41-2,X,2,W,,104,106,382.24,382.26,RP22,C,M,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,R,,,R,,,R,R,,R,,,R,,,,,,R,R,,,,,,,
320-U1335A-41X-4-W,320,U1335,A,41,41-4,X,4,W,,104,106,385.24,385.26,RP22,C,M,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,R,,,R,,,R,R,,R,,,R,,,,,,R,,,,,,,,
320-U1335A-41X-CC-PAL-RADS,320,U1335,A,41,41-CC,X,CC,PAL,RADS,0,0,387.61,387.61,RP22,A,M,,,,,F,,,,,,,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,R,,,,,,,
320-U1335A-42X-2-W,320,U1335,A,42,42-2,X,2,W,,105,107,391.75,391.77,RP22,F,M,,,,,R,,,,,,,,,,,,,,,,,vR,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,vR,,R,vR,,,,,R,,
320-U1335A-42X-4-W,320,U1335,A,42,42-4,X,4,W,,105,107,394.75,394.77,RP22,C,M,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,,R,,,,,,,
320-U1335A-42X-CC-PAL-RADS,320,U1335,A,42,42-CC,X,CC,PAL,RADS,0,0,396.28,396.28,RP22,A,M,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,R,,R,R,,,,,R,,
320-U1335A-43X-2-W 112/114,320,U1335,A,43,43-2,X,2,W,112/114,112,114,402.54,402.56,RP22,F,M,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,R,,R,,,R,,,,,,,R,,,,,,,
320-U1335A-43X-4-W 116/118,320,U1335,A,43,43-4,X,4,W,116/118,116,118,405.62,405.64,RP22,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,,R,,,,,R,,
320-U1335A-43X-CC-PAL-RADS,320,U1335,A,43,43-CC,X,CC,PAL,RADS,0,0,408.18,408.18,RP22,C,M,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,,R,,,R,,R,,
320-U1335A-44X-2-W 105/107,320,U1335,A,44,44-2,X,2,W,105/107,105,107,412,412.02,RP21,F,M,,,,,R,,,,,,,,,,,,,,,,,,R,,,,R,R,,,R,,,R,R,,,,,R,,,,,,,R,,vR,,,R,,
320-U1335A-44X-4-W,320,U1335,A,44,44-4,X,4,W,,105,107,413.95,413.97,RP21,F,M,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,,,R,,,,,,,-,,,,,-,,
320-U1335A-44X-CC-PAL-RADS,320,U1335,A,44,44-CC,X,CC,PAL,RADS,0,0,417.78,417.78,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-45X-CC-W,320,U1335,A,45,45-CC,X,CC,W,,0,0,419.93,419.93,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
