Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data
320-U1335A-15H-3-W,320,U1335,A,15,15-3,H,3,W,,105,107,135.95,135.97,RN5,C,M,,,,,R,R,R,R,R,R,,,-,R,R,,,,,R,,,,R,R,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,
320-U1335A-15H-3-W,320,U1335,A,15,15-3,H,3,W,,149,150,136.39,136.4,RN5,A,G,1,,,,R,R,R,R,R,R,vR,,vR,R,R,,,,,R,,,,F,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-15H-5-W,320,U1335,A,15,15-5,H,5,W,,105,107,138.95,138.97,RN5,A,G,,,,,R,R,R,R,R,R,,,-,F,R,,,,,R,,,,R,R,R,,,R,,,,F,,,,,F,F,,,R,,,,,,,,,,,,
320-U1335A-15H-CC-PAL-RADS,320,U1335,A,15,15-CC,H,CC,PAL,RADS,0,0,142.08,142.08,RN5,A,G,,,,,R,R,R,R,R,R,,,F,R,R,,,,,R,,,,F,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-16H-2-W,320,U1335,A,16,16-2,H,2,W,,115,117,144.55,144.57,RN5,A,G,,,,,R,R,R,R,R,R,,,F,F,R,R,,,,R,,,,F,R,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-16H-3-W,320,U1335,A,16,16-3,H,3,W,,149,150,146.39,146.4,RN5,A,G,,,,,F,R,R,R,R,R,,,F,F,R,,,,,R,,,,F,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-16H-4-W,320,U1335,A,16,16-4,H,4,W,,115,117,147.55,147.57,RN5,A,G,,,,,F,R,R,R,R,R,,R,F,F,R,,R,,R,R,,,,R,R,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-16H-CC-PAL-RADS,320,U1335,A,16,16-CC,H,CC,PAL,RADS,0,0,151.48,151.48,RN5,A,G,,,,,F,R,R,R,R,R,,,F,F,R,,R,,R,R,,,,F,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-17H-2-W 105/107,320,U1335,A,17,17-2,H,2,W,105/107,105,107,155,155.02,RN4,A,G,,,,,F,R,R,F,R,R,vR,,R,F,R,R,,,R,R,,,,R,R,R,,,R,,,,F,,,,,F,F,,,R,,,,,,,,,,,,
320-U1335A-17H-3-W,320,U1335,A,17,17-3,H,3,W,,149,150,155.89,155.9,RN4,A,G,,,,,F,R,R,R,,R,,,F,F,R,,R,,R,-,,,,F,,R,,,R,,,,F,,,,,F,R,,,,,,,,,,,,,,,
320-U1335A-17H-4-W 105/107,320,U1335,A,17,17-4,H,4,W,105/107,105,107,158,158.02,RN4,C,M,,,,,F,R,R,R,,R,R,R,F,F,R,R,R,,R,,,,,R,R,R,,,R,,,,F,,,,,F,R,,,,,,,,,,,,,,,
320-U1335A-17H-CC-PAL-RADS,320,U1335,A,17,17-CC,H,CC,PAL,RADS,0,0,161.19,161.19,RN4,A,G,,,,,F,R,R,R,,,R,R,F,F,R,R,R,R,R,-,,,,F,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
