Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. A. actinochilus early form,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Bacteriostriata spp.,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Brightwellia sp.,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis crassa (closed copula),Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis katayamae,Denticulopsis lauta,Denticulopsos lauta s.l.,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis aff. Seminae = Neodenticula seminae,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Dispinodiscus sp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii/kerguelensis transtitional form,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2
318-U1359A-3H-4-W 16/18-PMAG,318,U1359,A,3,3-4,H,4,W,16/18-PMAG,0,2,14.76,14.78,R-F,P[318_Si],M[318_Si],,,,,,X[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,,
318-U1359A-3H-7-W 57/59-PMAG,318,U1359,A,3,3-7,H,7,W,57/59-PMAG,0,2,19.07,19.09,R[318_Si],P[318_Si],M[318_Si],,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-3H-CC-PAL-DIAT,318,U1359,A,3,3-CC,H,CC,PAL,DIAT,0,0,19.27,19.27,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-3H-CC-PAL-DIAT12    ,318,U1359,A,3,3-CC,H,CC,PAL,DIAT12    ,0,0,19.27,19.27,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,X[318_Si],,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-4H-2-W 16/16-DIAT1,318,U1359,A,4,4-2,H,2,W,16/16-DIAT1,0,0,21.26,21.26,,P[318_Si],M[318_Si],,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-4H-2-W 18/20-PMAG,318,U1359,A,4,4-2,H,2,W,18/20-PMAG,0,2,21.28,21.3,R[318_Si],P[318_Si],M-G,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,X[318_Si],,,,,,,,,X[318_Si],,X[318_Si],,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-4H-2-W 72/72-DIAT4,318,U1359,A,4,4-2,H,2,W,72/72-DIAT4,0,0,21.82,21.82,C[318_Si],M[318_Si],M[318_Si],,,,,,,,,,C[318_Si],X[318_Si],,R[318_Si],,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,F[318_Si],X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-4H-3-W 64/64-DIAT-DIAT 1,318,U1359,A,4,4-3,H,3,W,64/64-DIAT-DIAT 1,0,0,23.88,23.88,,P[318_Si],M[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-4H-3-W 77/79-PMAG,318,U1359,A,4,4-3,H,3,W,77/79-PMAG,0,2,23.37,23.39,F[318_Si],P-M,M[318_Si],,,,,,,,,,X[318_Si],,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,,
318-U1359A-4H-4-W 66/66-DIAT-DIAT,318,U1359,A,4,4-4,H,4,W,66/66-DIAT-DIAT,0,0,24.76,24.76,R[318_Si],P[318_Si],M[318_Si],,,,,,,,,,X[318_Si],,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,X?,,,,,,,,,,,,,,
318-U1359A-4H-5-W 139/141-PMAG,318,U1359,A,4,4-5,H,5,W,139/141-PMAG,0,2,26.99,27.01,F[318_Si],P-M,M[318_Si],,,,,,,,,,R[318_Si],,,F[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,R-F,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],
318-U1359A-4H-6-W 60/60-DIAT-DIAT,318,U1359,A,4,4-6,H,6,W,60/60-DIAT-DIAT,0,0,27.7,27.7,X[318_Si],P[318_Si],M[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-4H-CC-PAL-DIAT1,318,U1359,A,4,4-CC,H,CC,PAL,DIAT1,0,0 ,28.51,28.51,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,?,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,
318-U1359A-5H-CC-PAL-DIAT1,318,U1359,A,5,5-CC,H,CC,PAL,DIAT1,0,0 ,29.28,29.28,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,
318-U1359A-5H-CC-PAL-DIAT2,318,U1359,A,5,5-CC,H,CC,PAL,DIAT2,0,0 ,29.28,29.28,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F[318_Si],,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],F[318_Si],,,,,,,R[318_Si],,,,,,,,,,,,F[318_Si],X[318_Si],,,X[318_Si],,,,,,,F[318_Si],,,,,,,X[318_Si],,X[318_Si],,,,X[318_Si],F[318_Si],,,,,,,,,,,,,,
318-U1359A-5H-CC-PAL-DIAT3,318,U1359,A,5,5-CC,H,CC,PAL,DIAT3,0,0 ,29.28,29.28,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-6H-2-W 133/133-DIAT1,318,U1359,A,6,6-2,H,2,W,133/133-DIAT1,0,0,41.425,41.425,,G[318_Si],G[318_Si],,,,,,,,,,R[318_Si],,,,,,,,,R[318_Si],,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,A[318_Si],,,,,,,,,,
318-U1359A-6H-CC-PAL-DIAT3,318,U1359,A,6,6-CC,H,CC,PAL,DIAT3,0,5,47.68,47.73,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,
