Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1518F-2R-CC-PAL-FORAM,0,10,199.8,199.9,VG,D,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,2,R,CC,PAL,ccdf213f975caa9904cf2144bd757b5b
375-U1518F-3R-CC-PAL-FORAM,0,10,212.49,212.59,VG,D,,,,,,,,,,,,,,,R,,,,,,,,375,U1518,F,3,R,CC,PAL,5fa5105e1d079f3debf775a66cf64c71
375-U1518F-4R-CC-PAL-FORAM,0,10,219.21,219.31,VG (M),A,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,4,R,CC,PAL,e14e84057cadc5ff050ff6d43b617c33
375-U1518F-5R-CC-PAL-FORAM,0,10,229.91,230.01,VG,A,,,,,,,,,,,,,,,R,,,,,,,,375,U1518,F,5,R,CC,PAL,42cbea86adfd400d91b6a93f2f3346b6
375-U1518F-6R-CC-PAL-FORAM,0,13,239.08,239.21,VG,D,,,,,,,X,,,,,,,,F,,,,,,,,375,U1518,F,6,R,CC,PAL,1929584a543755d8659e3347092ea1d2
375-U1518F-7R-3-PAL(81-91)-FORAM,0,10,248.77,248.87,VG,C,,,,,,,,,,,,,F,,F,,,,,,,,375,U1518,F,7,R,3,PAL,db6d02db79d0715e1f058e614c3db6fb
375-U1518F-8R-CC-PAL-FORAM,0,5,258.89,258.94,VG,D,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,8,R,CC,PAL,1b3f1793baf9fa4ad2b2d48ab5d5fed1
375-U1518F-9R-5-PAL-FORAM,0,10,270.17,270.27,VG,D,,,,,,,,,,,,,,,R,,,,,,,,375,U1518,F,9,R,5,PAL,7c560c507943396da101509149bdbcda
375-U1518F-10R-CC-PAL-FORAM,0,15,277.53,277.68,VG,D,,,,,,X,,,,,,,,,,,,,,,,,375,U1518,F,10,R,CC,PAL,e62ecfb543f0a2113a68a2cbe03a5e68
375-U1518F-11R-CC-PAL-FORAM,0,10,286.63,286.73,VG,F,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,11,R,CC,PAL,694127faeb9bb9d226b487e5f358a623
