Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Nannofossil abundance,Fasciculithus involutus,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (> 14 μm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (> 10 μm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,calcispheres,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (> 13 μm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus cachaoi,Coccolithus eopelagicus (> 14 μm),Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus latipons,Cyclicargolithus abisectus (11 μm),Cyclicargolithus floridanus (5-11 μm),Cyclicargolithus floridanus small (< 5 μm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (< 10 μm),Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Ericsonia robusta (small),Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternithus minutus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus rosenkrantzii,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus grandiculus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14 μm),Reticulofenestra dictyoda  (3-10 μm),Reticulofenestra lockeri,Reticulofenestra minuta (< 3 μm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,eodp_id
320-U1333B-2H-CC-PAL-NANNO,320,U1333,B,2,2-CC,H,CC,PAL,NANNO,0,0,17.6,17.6,"PB - carinatus, no Calcidiscus",P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,F,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,5ff38260161df49ac73a73de3d5218d1
320-U1333B-3H-CC-PAL-NANNO,320,U1333,B,3,3-CC,H,CC,PAL,NANNO,0,0,27.18,27.18,PB - carinatus,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23308742790e023b317c6b3f5de575e9
320-U1333B-4H-CC-PAL-NANNO,320,U1333,B,4,4-CC,H,CC,PAL,NANNO,0,0,36.61,36.61,"PB - ciperoensis, longus, carinatus",P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,C,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,663aaf300407e5e972fcba4d4b1ca70e
320-U1333B-5H-CC-PAL-NANNO,320,U1333,B,5,5-CC,H,CC,PAL,NANNO,0,0,45.85,45.85,"PB - longus, ciperoensis",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,F,,,,C,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,f53057f74fcaf31d3de346043745af91
320-U1333B-6H-CC-PAL-NANNO,320,U1333,B,6,6-CC,H,CC,PAL,NANNO,0,0,55.55,55.55,"PB - distentus, ciperoensis, predistentus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,R,R,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,F,,,,C,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,f744d8ff43977cea98dfa77652ca6952
320-U1333B-7H-CC-PAL-NANNO,320,U1333,B,7,7-CC,H,CC,PAL,NANNO,0,0,65.11,65.11,"PB - distentus, ciperoensis, predistentus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,R,R,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,R,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,247cd136c23dae1f3ed6ae73e50e5538
320-U1333B-8H-CC-PAL-NANNO,320,U1333,B,8,8-CC,H,CC,PAL,NANNO,0,0,74.5,74.5,"PB - distentus, predistentus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,307a0b15a18f0644d0a9056219683d55
320-U1333B-9H-CC-PAL-NANNO,320,U1333,B,9,9-CC,H,CC,PAL,NANNO,0,0,83.13,83.13,"TDJ - predistentus, no distentus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,A,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,C,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,e49689a42b9097486b7a4272e09abe4b
320-U1333B-10H-CC-PAL-NANNO,320,U1333,B,10,10-CC,H,CC,PAL,NANNO,0,0,93.43,93.43,TDJ - no umbilicus,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,A,C,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,6a12f7f7587df8f98a0cced497815a1b
320-U1333B-11H-CC-PAL-NANNO,320,U1333,B,11,11-CC,H,CC,PAL,NANNO,0,0,103.25,103.25,TDJ - umbilicus; no formosus,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,A,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,922d80294aae7e9a013f5e57479537a2
