Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1482A-1H-CC,0,14,2.84,2.98,E [P46],R,1,,,,,,,,,,,1,,9,,,1,,1,,3,,4,,,,,1,,,,,1,,,,,1,,,,,,,,9,,,1,,2,,,,,,1,,,,,,,,,,,,15,,,,,,,,,20,,,,,,,,,,,,,,,,,,4,,,,,5,,,,,,,,,,,,363,U1482,A,1,H,CC,,ec548545f580fd8394585428eec88ad6
363-U1482A-2H-CC,0,14,12.53,12.67,E [P46],R,1,,,,,,,,,,,,,,,,14,,3,,7,,13,2,,,,2,,,,,,,,,,,,,,,,,3,15,,,2,,2,,,,,,,2,,,3,,,,,,,,13,,2,,,,,,,5,,,,,2,,,,,,,2,,,,,,2,,,,,4,,,,,,,,,,,,363,U1482,A,2,H,CC,,3f4a05429dd4dff0cf98485e487f78b2
363-U1482A-3H-CC,0,14,21.9,22.04,E [P46],R,1,,,,,,,,,,,,,,8,,5,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,3,,,,,3,2,,,,,1,,,,,,,,,,,,5,,,,,,,,,6,,,,,2,,,,,,,2,,,,,,,,,,,25,,,,,,,,,,,,363,U1482,A,3,H,CC,,f1699ff6e7353f55d92f41d1a39458d6
363-U1482A-4H-CC,0,23,30.46,30.69,E [P46],R,1,,,,,,,,,,,,,,,,,,1,,4,,6,,,,,4,,,,,1,,,,,,,2,,,,,,9,,,1,,2,,,,,,,,,,,,,,,,,,16,,,,,,,,,13,,,,,3,,,,,,,9,,,,,,,,,,,4,,,,,,,,,,,,363,U1482,A,4,H,CC,,818173d566a0e920c3c1e354c954af03
363-U1482A-5H-CC,0,23,40.79,41.02,E [P46],R,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,3,,,,,2,,7,,,,1,,,1,,,1,,3,1,,,,,,3,,2,,,12,,,5,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,16,,,,,,,,,,,,363,U1482,A,5,H,CC,,d8119ae357cd70aafa4ae3e046ece93e
363-U1482A-6H-CC,0,17,50.67,50.84,E [P46],R,1,,,,1,,,,,,,,,,,,,,1,,1,,8,,,,,8,,,,1,,,,,,1,,,,,8,,,8,,,,,,,,,1,,,3,,,,,,1,,1,,,8,,1,5,,,,,,6,,,,,1,,,,,,,3,,,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,6,H,CC,,542721cde9c3266e78a0ebd765cab7be
363-U1482A-7H-CC,0,32,59.89,60.21,E [P46],R,1,,,,1,,,,,,,2,,,,2,,,,,,,3,,,,,4,,,,,,,,,,5,,1,,,1,,4,,,,,,,,,,,,1,3,,,,,,1,,,,,3,,,4,,,,,,5,,,,,,,,,,,,2,,,,,3,,,,,,30,,,,,,,,,,,,363,U1482,A,7,H,CC,,a911a433a5b7bad0b04c2a49d51a968e
363-U1482A-8H-CC,0,15,69.64,69.79,E [P46],R,1,,,,,,,,,,,,,1,,,,,,,,,2,,,,,7,,,,6,,,,,,1,,1,,,2,,10,8,,,,,2,2,,,,,2,7,,,,,,,,,,,2,,,2,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,363,U1482,A,8,H,CC,,a12c4f3b49bb0d2d405972cdb1f088d2
363-U1482A-9H-CC,0,18,79.12,79.3,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,,,,,1,,,,,3,,3,,,1,,2,,,,,,,,,,,,1,5,,,,,,,,2,,,2,,,2,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,363,U1482,A,9,H,CC,,102c7af2669ae995a0398cd71c4bec49
363-U1482A-10H-CC,0,33,88.63,88.96,E [P46],R,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,1,,,,,,,,3,,,,,,12,,,,,4,,,,6,,,4,,,,,,,,,,,1,,,4,,,,,,36,,,,,2,,,,,,,2,,,,,,,,,,,24,,,,,,,,,,,,363,U1482,A,10,H,CC,,53378aae21e74faec0159b94fd0e4224
