Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,Unnamed: 76,eodp_id
320-U1334B-18H-CC-PAL-RADS,320,U1334,B,18,18-CC,H,CC,PAL,RADS,0,0,173.23,173.23,RP21,A,G,1,R,R,R,R,R,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,73a3c9f81f7e203688088606d403c604
320-U1334B-19H-CC-PAL-RADS,320,U1334,B,19,19-CC,H,CC,PAL,RADS,0,0,182.52,182.52,RP20,A,G,1,R,R,,-,,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,9b36a12ca8068f9cdf22848aec75e4ca
320-U1334B-20H-CC-PAL-RADS,320,U1334,B,20,20-CC,H,CC,PAL,RADS,0,0,191.55,191.55,,,,,,R,,,R,R,R,R,R,R,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,41f49882242d750e485212a8924d1f6e
320-U1334B-21H-CC-PAL-RADS,320,U1334,B,21,21-CC,H,CC,PAL,RADS,0,0,201.26,201.26,RP20,A,G,,,R,,R,,R,R,R,R,F,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,45fec8df61b8ddbd1d150c642579bec3
320-U1334B-22H-CC-PAL-RADS,320,U1334,B,22,22-CC,H,CC,PAL,RADS,0,0,211.1,211.1,RP20,A,G,,,R,,,,R,R,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,"""EYED"" DIATOMS, SPINES",,,f43f0d16e241560691a10d6d8826b233
320-U1334B-23X-CC-PAL-RADS,320,U1334,B,23,23-CC,X,CC,PAL,RADS,0,0,220.45,220.45,RP20,A,G,,,R,,,,R,R,,,,C,R,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"""EYED"" DIATOMS, SPINES",,,f13bce10df27abd94837b2b6c1496bb8
320-U1334B-24X-CC-PAL-RADS,320,U1334,B,24,24-CC,X,CC,PAL,RADS,0,0,228.7,228.7,RP20,A,G,,,R,,,,R,R,,,,C,R,,R,,,,R,R,,,R,,,,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,,,,675c32eb46b25575e00f5ab69cd303e0
320-U1334B-25X-CC-PAL-RADS,320,U1334,B,25,25-CC,X,CC,PAL,RADS,0,0,238.39,238.39,RP20,A,G,,,R,,,,,R,,,,R,R,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,"ABUND ""EYED"" DIATOMS",,,989b2aa01124e62ca44a26f496565b2e
320-U1334B-26X-CC-PAL-RADS,320,U1334,B,26,26-CC,X,CC,PAL,RADS,0,0,247.87,247.87,RP19,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,C,,C,R,R,R,R,R,,R,,R,R,,,,,,,,,,,,,,R,,,,,,0ae79c82a17dca0ec33da7c712027756
320-U1334B-27X-CC-PAL-RADS,320,U1334,B,27,27-CC,X,CC,PAL,RADS,0,0,257.58,257.58,RP18,F,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,R,R,R,R,R,,,R,R,,,F,,F,,,R,,R,,,,,,,,,,,,9402f091d0479a4b5dbc5d028a23f3cf
