Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1519E-1H-1-PAL_MUDLINE-FORAM,0,0,0,0,VG-M,A,,,,,C,,,F,,,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,(R),,,,,,,,,,R,,,,,,R,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,15,7,,,,,,,,,,,,,,375,U1519,E,1,H,1,PAL_MUDLINE
375-U1519E-1H-CC-PAL-FORAM,0,10,4.4,4.5,G,R,,,,,C,,,F,,,R,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,18,12,,,,,,,,,,,,,,375,U1519,E,1,H,CC,PAL
375-U1519E-2H-CC-PAL-FORAM,0,10,14.42,14.52,VG-G,A,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,0,17,,F,,,,,,,,,,,,375,U1519,E,2,H,CC,PAL
375-U1519E-3H-CC-PAL-FORAM,0,10,21.92,22.02,VG,A,,,,,C,,,,,,R,,R,,,,,,,F,,R,,,X,,,A,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,R,C,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,F,0,8,,,,,,,,,,,,,,375,U1519,E,3,H,CC,PAL
375-U1519E-5H-CC-PAL-FORAM,0,10,39.98,40.08,VG,A,,,,,C,,,X,,,R,,R,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,1,6,,,,,,,,,,(R),,,,375,U1519,E,5,H,CC,PAL
375-U1519E-7H-CC-PAL-FORAM,0,10,56.85,56.95,VG,C,,,,,F,,,,,,,,,,R,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,F,1,34,,F,,,,,,,,(R),,,,375,U1519,E,7,H,CC,PAL
375-U1519E-9F-CC-PAL-FORAM,0,10,67.45,67.55,VG,A,,,,,F,,,,,,R,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,2,35,,F,,,,,,,,,,,,375,U1519,E,9,F,CC,PAL
375-U1519E-11F-CC-PAL-FORAM,0,10,76.71,76.81,G,A,,,,,A,,,,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,C,1,24,,,,,,,,,,,,,,375,U1519,E,11,F,CC,PAL
375-U1519E-13F-CC-PAL-FORAM,0,10,86.11,86.21,G,A,,,,,A,,,F,,,R,,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,0,4,,F,,,,,,,,,,,,375,U1519,E,13,F,CC,PAL
