Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Lychnocanoma turgidum,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Lophocyrtis jacchia,Podocyrtis papalis,Cryptocarpium azyx,Thyrsocyrtis lochites,Dorcadospyris copelata n. sp.,Spongatractus pachystylus,Anthocyrtoma spp.,Calocycloma ampulla,Thyrsocyrtis bromia,Thyrsocyrtis tetracantha,Zygocircus cimelium,Rhopalocanium ornatum,Theocyrtis careotuberosa n. sp.,Dorcadospyris ombros n. sp.,Tristylospyris triceros,Theocotyllissa ficus,Dorcadospyris anastasis n. sp.,Dictyophimus craticula,Calocyclas turris,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. gr.,Podocyrtis apeza,Thyrsocyrtis krooni,Dictyoprora pirum,Lithochytris vespertilio,Dictyoprora armadillo,Sethochytris triconiscus,Lithocyclia aristotelis gr.,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Artophormis barbadensis,Podocyrtis ampla,Zealithapium mitra,Zealithapium anoectum,Cryptocarpium ornatum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Dictyoprora mongolfieri,Podocyrtis diamesa,Podocyrtis phyxis,Spongatractus balbis,Eusyringium fistuligerum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Thyrsocyrtis triacantha,Dicty mongolferi,Comments,File data,Unnamed: 84,eodp_id
320-U1332A-11H-CC-PAL-RADS,320,U1332,A,11,11-CC,H,CC,PAL,RADS,0,0,98.52,98.52,,,,,,R,R,,R,,,,R,,,,,,R,,,,R,R,,,F,R,,,,,,R,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,C,R,,,,aafa021be647b9021d36799eb40e5be8
320-U1332A-12H-2,320,U1332,A,12,12-2,H,2,,,105,107,101.45,101.47,RP16,A,G,1,R,R,,,,,,,R,,,,,R,R,R,,,R,R,,,F,R,,R,,,,R,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,R,C,R,COMMON D. MONGOLFERI,,,e0cbf47d98030f109f997f79c4452b45
320-U1332A-12H-4,320,U1332,A,12,12-4,H,4,,,105,107,104.45,104.47,RP16,A,G,,R,R,,,,,,,R,,,,,R,R,,,,R,R,,,R,R,,R,,,,,,,,,,,vR,,,,,,,,,,,,R,,,,,,,,,,,,,,F,R,,,,1f84310a263e7aca77601ce0a8446149
320-U1332A-12H-CC-PAL-RADS,320,U1332,A,12,12-CC,H,CC,PAL,RADS,0,0,108.45,108.45,RP16,A,G,2,R,R,,,R,,,,R,R,,,,,R,,R,,,,R,,,R,,R,,,R,,R,,R,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,R,R,R,,,,29a176efdca81fac71d79ea0429ebffc
320-U1332A-13H-2,320,U1332,A,13,13-2,H,2,,,105,107,110.95,110.97,RP15,A,G,1,R,R,,,,,,,R,R,,,,,R,,,,,,R,,,F,,R,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,R,R,,,,624452700f9cd943b206368863ff50a1
320-U1332A-13H-5,320,U1332,A,13,13-5,H,5,,,105,107,115.45,115.47,RP15,A,G,1,R,R,,,R,,,,R,R,,,,,R,,vR,,,,vR,,,F,,R,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,R,R,,,,c7d90961398da4257701472bcc3c9341
320-U1332A-13H-CC-PAL-RADS,320,U1332,A,13,13-CC,H,CC,PAL,RADS,0,0,118.38,118.38,RP15,A,G,1,R,R,,,,,,,R,R,,,,,R,,,,,,R,,,R,,R,,,R,,R,,R,,,,,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,R,R,,,,2cc573e2d1a681af143ac8424597117e
320-U1332A-14H-2,320,U1332,A,14,14-2,H,2,,,104,106,120.44,120.46,RP14,A,G,,R,R,,,R,,,,R,,,,,,R,,,,,,,,,,,,,,R,,R,,R,,R,,,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,F,R,,,,e668af9841a64bdbd762188f93458edc
320-U1332A-14H-4,320,U1332,A,14,14-4,H,4,,,104,106,123.44,123.46,RP14,A,G,,R,R,,,R,,,,R,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,,R,R,,,R,R,,,R,,,,R,,,,,,,,,,,,,,F,R,,,,94ac6a8b078373fadfcb29fa7a75e359
320-U1332A-14H-CC-PAL-RADS,320,U1332,A,14,14-CC,H,CC,PAL,RADS,0,0,126.28,126.28,RP14,A,G,,,R,,,,,,,R,R,,,,R,R,,,,,,R,,,,,R,,,R,,,,R,,R,,R,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,R,R,,,,6e56f0589b662f157aae3d5dce3f2c13
320-U1332A-15X-CC-PAL-RADS,320,U1332,A,15,15-CC,X,CC,PAL,RADS,0,0,132.93,132.93,RP14,A,G,,,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,,R,,,,R,,R,,R,R,,,R,R,R,R,,,,,vR,,,,,,,,,,,,,R,R,R,,,,c5b133cbc5c2b036858da640c7b4d0ff
320-U1332A-16X-1,320,U1332,A,16,16-1,X,1,,,41,49,135.91,135.99,RP14,C,M,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,R,,vR,,R,,,,R,,R,R,,,,,vR,,,,,,,,,,,,,,R,R,,,,9c9178eaee95c25182653d51cce31221
