dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Zone name [short],PF Preservation,% Planktic Foraminifera within whole sample,Catapsydrax dissimilis,Catapsydrax cf. howei,Catapsydrax unicavus,Catapsydrax sp.,Dentoglobigerina galavasi,Dentoglobigerina pseudovenezuelana,Dentoglobigerina tripartita,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina euapertura,Globigerina officinalis,Globigerina ouachitensis,Globigerina prasepis,Globigerina venezulana,Globorotalia praehumerosa,Globorotalia semivera,Globorotaloides suteri,Globoquadrina tapurensis,Globorotaloides quadrocameratus,Globoquadrina sp.,Paragloborotalia griffinoides,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia opima-mayeri transition,Paragloborotalia pseudocontinuosa,Parasubbotina griffinae,Parasubbotina inaquespira,Paragloborotalia sp.,Subbotina corpulenta,Subbotina angiporoides,Subbotina patagonica,Subbotina utilsindex,Subbotina yeguaensis,Subbotina sp.,Turborotalia ampliapertura,Turborotalia frontosa,Turbotalia,Globorotalia sp.
,320-U1332B-1H-CC-PAL-FORAMP,320,U1332,B,1,1-CC,H,CC,PAL,FORAMP,0,0,2.05,2.05,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-2H-CC-PAL-FORAMP,320,U1332,B,2,2-CC,H,CC,PAL,FORAMP,0,0,12.09,12.09,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-3H-CC-PAL-FORAMP,320,U1332,B,3,3-CC,H,CC,PAL,FORAMP,0,0,19.97,19.97,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-4H-CC-PAL-FORAMP,320,U1332,B,4,4-CC,H,CC,PAL,FORAMP,0,0,29.61,29.61,KME,E2-N6,P [320_PF],,,,P [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-5H-CC-PAL-FORAMP,320,U1332,B,5,5-CC,H,CC,PAL,FORAMP,0,2,37.63,37.65,KME,O6,M [320_PF],5,F [202_Ds],,A [320_PFs],R [320_PFs],F [320_PFs],R [320_PFs],R [320_PFs],,,,,,,F [320_PFs],,,A [320_PFs],,,,,P [320_PFs],A [320_PFs],,,,,,,,,,,,,,,
,320-U1332B-6H-CC-PAL-FORAMP,320,U1332,B,6,6-CC,H,CC,PAL,FORAMP,0,0,48.5,48.5,LLR,O3-O5,M [320_PF],,,,,,,,,,,D [320_PFs],P [320_PFs],P [320_PFs],,P [320_PFs],,,,,,,,F [320_PFs],P [320_PFs],,,,,,,,,,,,,,,
,320-U1332B-7H-CC-PAL-FORAMP,320,U1332,B,7,7-CC,H,CC,PAL,FORAMP,0,0,58.07,58.07,LLR,E11-O3,M [320_PF],,,,,P [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-8H-CC-PAL-FORAMP,320,U1332,B,8,8-CC,H,CC,PAL,FORAMP,0,0,67.27,67.27,LLR,O1-O2,M [320_PF],,,,,,,,F [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-9H-CC-PAL-FORAMP,320,U1332,B,9,9-CC,H,CC,PAL,FORAMP,0,0,77.09,77.09,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-10H-CC-PAL-FORAMP,320,U1332,B,10,10-CC,H,CC,PAL,FORAMP,0,0,86.66,86.66,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-11H-CC-PAL-FORAMP,320,U1332,B,11,11-CC,H,CC,PAL,FORAMP,0,0,93.84,93.84,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-12H-CC-PAL-FORAMP,320,U1332,B,12,12-CC,H,CC,PAL,FORAMP,0,0,101.03,101.03,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-13H-CC-PAL-FORAMP,320,U1332,B,13,13-CC,H,CC,PAL,FORAMP,0,0,110.76,110.76,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-14X-CC-PAL-FORAMP,320,U1332,B,14,14-CC,X,CC,PAL,FORAMP,0,0,119.78,119.78,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-15X-CC-PAL-FORAMP,320,U1332,B,15,15-CC,X,CC,PAL,FORAMP,0,0,125.77,125.77,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-16X-CC-PAL-FORAMP,320,U1332,B,16,16-CC,X,CC,PAL,FORAMP,0,0,125.34,125.34,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-17X-CC-PAL-FORAMP,320,U1332,B,17,17-CC,X,CC,PAL,FORAMP,0,2,134.96,134.98,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-18X-1-W 90/91-FORAMP,320,U1332,B,18,18-1,X,1,W,90/91-FORAMP,0,1,144.8,144.81,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320-U1332B-18X-CC-PAL-FORAMP,320,U1332,B,18,18-CC,X,CC,PAL,FORAMP,0,2,146.21,146.23,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
