Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,
320-U1333C-7H-CC-PAL-RADS,320,U1333,C,7,7-CC,H,CC,PAL,RADS,0,0,57.29,57.29,RP21,C,M,,,,R,R,R,vR,,,R,R,,,,,R,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1333C-8H-CC-PAL-RADS,320,U1333,C,8,8-CC,H,CC,PAL,RADS,0,0,68.58,68.58,RP20,C,M,,R,R,-,R,vR,R,,,R,R,,,,,R,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1333C-9H-CC-PAL-RADS,320,U1333,C,9,9-CC,H,CC,PAL,RADS,0,0,77.79,77.79,RP20,C,M,,R,R,,-,-,R,,,R,R,-,-,,,R,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1333C-10H-CC-PAL-RADS,320,U1333,C,10,10-CC,H,CC,PAL,RADS,0,0,87.67,87.67,RP20,C,M,,-,R,,,,-,,,-,-,vR,R,,,R,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1333C-11H-CC-PAL-RADS,320,U1333,C,11,11-CC,H,CC,PAL,RADS,0,0,96.21,96.21,RP20,A,G,,,R,,,,,R,,,,C,R,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common BIG diatoms,,
320-U1333C-12H-CC-PAL-RADS,320,U1333,C,12,12-CC,H,CC,PAL,RADS,0,0,99.72,99.72,RP20,A,G,,,R,,,,,R,,,,C,R,R,R,,,,R,,,,F,,,,vR,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,
320-U1333C-13H-CC-PAL-RADS,320,U1333,C,13,13-CC,H,CC,PAL,RADS,0,0,108.01,108.01,RP20,A,G,,R,R,,,,R,R,,,,F,R,,R,,,,R,R,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,,
320-U1333C-14H-1-W,320,U1333,C,14,14-1,H,1,W,,50,58,108.1,108.18,RP20,A,G,1,,,,,,,R,,,,R,R,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,"common diatoms; EARLY L. CRUX, D. PSEUDOPAPILIO FORMS",,
320-U1333C-14H-1-W,320,U1333,C,14,14-1,H,1,W,,70,78,108.3,108.38,RP20,A,G,1,,R,,,,,R,,,,R,R,,,,,,,,,,F,,,,,,,,vR,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,ABUND eyed & centric diatoms,,
320-U1333C-14H-2-W,320,U1333,C,14,14-2,H,2,W,,0,8,109.1,109.18,RP20,C,M,,,R,,,,,R,,,,R,R,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,COMMON eyed & centric diatoms,,
320-U1333C-14H-3-W,320,U1333,C,14,14-3,H,3,W,,100,108,111.6,111.68,RP20,F,P,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,COMMON eyed & centric diatoms,,
320-U1333C-14H-4-W,320,U1333,C,14,14-4,H,4,W,,70,78,112.8,112.88,RP20,F,P,,,R,,,,,vR,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,"COMMON ""EYED"" DIATOMS; a few simple centrics",,
320-U1333C-14H-4-W,320,U1333,C,14,14-4,H,4,W,,140,148,113.5,113.58,RP20,C,M,1,,R,,,,,vR,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,vR,,,,,,,R,,,,vR,,,,,,,,R,,,ABUND centric diatoms,,
