Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Silicoflagellates group abundance,Silicoflagellate preservation dissolution,Silicoflagellate preservation fragmentation,Corbisema apiculata,Corbisema flexuosa,Corbisema hastata,Corbisema regina,Corbisema sp.,Corbisema triacantha,Dictyocha deflandrei,Dictyocha fibula,Dictyocha frenguellii,Dictyocha hexacantha,Dictyocha pentagona,Distephanus boliviensis (binoculoid),Distephanus crux group,Distephanus pseudofibulua,Distephanus speculum,Mesocena diadon diadon,Naviculopsis constricta,Naviculopsis foliacea,Paradictyocha sp.,Septamesocena apiculata,Septamesocena pappii,Silicoflagellate species,eodp_id
318-U1357A-1H-3-W 50/50-DIAT1 light,318,U1357,A,1,1-3,H,3,W,50/50-DIAT1 light,0,0,3.5,3.5,R,,,,,,,,,,,,,,,,,R,,,,,,,,73032420d5ffb82e00271c7b15c4e455
318-U1357A-1H-3-W 51/51-DIAT4 dark,318,U1357,A,1,1-3,H,3,W,51/51-DIAT4 dark,0,0,3.51,3.51,R,,,,,,,,,,,,,,,,,R,,,,,,,,937170f7764409038ed02f02d968443b
318-U1357A-1H-5-W 51/51-DIAT4 light,318,U1357,A,1,1-5,H,5,W,51/51-DIAT4 light,0,0,6.51,6.51,R,,,,,,,,,,,,,,,,,R,,,,,,,,0e463d906a5ecd38fb9988fb6eff97f5
318-U1357A-1H-5-W 57/57-DIAT1 dark,318,U1357,A,1,1-5,H,5,W,57/57-DIAT1 dark,0,0,6.57,6.57,X,,,,,,,,,,,,,,,,,,,,,,,,,3684eda9289cec02b1b4ea6bde0af81b
318-U1357A-19H-2-W 19/19-DIAT,318,U1357,A,19,19-2,H,2,W,19/19-DIAT,0,0,170.78,170.78,F,,,,,,,,,,,,,,,,,,,,,,,,,fffaeb4065188f84481561fb47e7c8ee
