Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores,eodp_id
318-U1355A-1R-1-PAL-PALYA,318,U1355,A,1,1-1,R,1,PAL,PALYA,0,1,0,0.01,2,,,1,1,af8fb6ae00647bc0885c525a89c00ad7
318-U1355A-1R-1-W 72/74-PALY-PALYA,318,U1355,A,1,1-1,R,1,W,72/74-PALY-PALYA,0,2,0.715,0.735,1,,,2,2,05d43a8946d5ece48293cbd7bb5809b4
318-U1355A-1R-1-W 72/74-PALY-PALYB,318,U1355,A,1,1-1,R,1,W,72/74-PALY-PALYB,0,2,0.715,0.735,1,1,2,2,2,db36a5b69e1ee8cbf6eba400bddc8dee
318-U1355A-1R-4-W 34/35-PALY-PALYA,318,U1355,A,1,1-4,R,4,W,34/35-PALY-PALYA,0,1,4.84,4.85,1,,,1,1,7d34197429f8e593d2fa571f49c34799
318-U1355A-1R-4-W 34/35-PALY-PALYB,318,U1355,A,1,1-4,R,4,W,34/35-PALY-PALYB,0,1,4.84,4.85,,,,1,1,b89fd1e6a0491f7733b1de0b1a0e7789
