Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,,eodp_id
320-U1333A-5H-CC-PAL-RADS,320,U1333,A,5,5-CC,H,CC,PAL,RADS,0,0,47.65,47.65,,,,,R,VR,,,,R,,R,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337f3b4c794f780e65ab25888e11f55f
320-U1333A-6H-3-W 95/97,320,U1333,A,6,6-3,H,3,W,95/97,95,97,52.4,52.42,RP21,A,G,1,R,,R,R,R,,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,RARE D. PRAEORCIPATA,,,656946b28b461afcb35e2a4d5508a3e1
320-U1333A-6H-5-W 95/97,320,U1333,A,6,6-5,H,5,W,95/97,95,97,55.4,55.42,RP21,A,G,,R,,R,R,R,,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,96f85821f00b6faa6a2e75d6a757b001
320-U1333A-6H-CC-PAL-RADS,320,U1333,A,6,6-CC,H,CC,PAL,RADS,0,0,57.27,57.27,RP21,C,M,,,,R,,R,R,,R,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,61547a7c5e44db7e89a57fffacb888df
320-U1333A-7H-2-W 95/97,320,U1333,A,7,7-2,H,2,W,95/97,95,97,60.4,60.42,RP21,A,G,,R,,R,R,R,R,,R,R,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,TICEROS-ANGUSTA TRANS FORMS; RARE D. PRAEORCIPATA,,,02cc0ec7069e7620de98bd8b42b8b8fa
320-U1333A-7H-4-W 95/97,320,U1333,A,7,7-4,H,4,W,95/97,95,97,63.4,63.42,RP21,A,M,,R,,R,R,R,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,PSEUDO ELONGATA; TICEROS-ANGUSTA TRANS FORMS,,,4cab930a6f9e8132a450e6d7479dab63
320-U1333A-7H-CC-PAL-RADS,320,U1333,A,7,7-CC,H,CC,PAL,RADS,0,0,66.55,66.55,RP20,C,M,,R,R,-,R,-,R,,,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03dcdb06a35b70db14556434336c3705
320-U1333A-8H-2-W 108/110,320,U1333,A,8,8-2,H,2,W,108/110,108,110,69.96,69.98,RP20,C,M,1,R,R,,R,,R,,R,R,R,,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,RARE D. PRAEORCIPATA,,,caf7b9781e44044497ef1c587d1659b2
320-U1333A-8H-4-W 108/110,320,U1333,A,8,8-4,H,4,W,108/110,108,110,72.96,72.98,RP20,A,M,,R,R,,,,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,a918f4d82cd8226588d22d38732904b1
320-U1333A-8H-CC-PAL-RADS,320,U1333,A,8,8-CC,H,CC,PAL,RADS,0,0,76.14,76.14,RP20,C,M,,R,R,-,-,-,R,,,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50bc579aba619f51404c1e980e9d4cf9
320-U1333A-9H-2-W 105/107,320,U1333,A,9,9-2,H,2,W,105/107,105,107,79.6,79.62,RP20,C,P,,,R,,,,R,R,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,3cfbed4ae727eb36d997ffccd4316572
320-U1333A-9H-4-W 105/107,320,U1333,A,9,9-4,H,4,W,105/107,105,107,82.6,82.62,RP20,C,P,,R,R,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,98416a8919bdaa2e8aba94554a450147
320-U1333A-9H-CC-PAL-RADS,320,U1333,A,9,9-CC,H,CC,PAL,RADS,0,0,85.87,85.87,RP20,C,M,1,R,R,-,R,VR,,,,R,,-,-,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,D. CIRCULUS W/ A FEW SPINES,,,a6ac1e666e315e6f520deddf07b8224a
320-U1333A-10H-2-W 105/107,320,U1333,A,10,10-2,H,2,W,105/107,105,107,89.1,89.12,RP20,C,M,,,R,,,,,R,,,,F,R,R,R,,,,,,,,R,,,,VR,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,DIATOMS,,,f3f0371d5b616c886da132d139d0564a
320-U1333A-10H-4-W 105/107,320,U1333,A,10,10-4,H,4,W,105/107,105,107,92.1,92.12,RP20,A,G,,VR,R,,,,,R,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,,,ae4ca46649bf2a9e8fad4faea53cf7d4
320-U1333A-10H-CC-PAL-RADS,320,U1333,A,10,10-CC,H,CC,PAL,RADS,0,0,95.33,95.33,RP20,C,M,,-,R,,,,,,,-,-,R,R,R,R,-,,-,,-,R,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,af235e0ae5dcb72e36cde6b38eb5338b
320-U1333A-11X-2-W,320,U1333,A,11,11-2,X,2,W,,95,97,97.45,97.47,RP20,C,M,,,R,,,,,R,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,113bab6864ce937e4e3cb99a55d95900
320-U1333A-11X-4-W,320,U1333,A,11,11-4,X,4,W,,95,97,100.45,100.47,RP20,A,G,,,R,,,,,R,,,,B,R,VR,R,,,,R,,,,R,,,,VR,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,,,45396be5e0dff6f6e609c6a589142b71
320-U1333A-11X-CC-PAL-RADS,320,U1333,A,11,11-CC,X,CC,PAL,RADS,0,0,101.17,101.17,RP20,C,M,,VR,R,,,,,,,,,R,R,,,,,-,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f91158d3689c7ea2040ebdda17a076da
320-U1333A-12X-2-W,320,U1333,A,12,12-2,X,2,W,,105,107,103.25,103.27,RP20,A,G,,,R,,,,,R,,,,F,R,,R,,,,R,R,,,R,,,,VR,,,,,,,,,,,,,,,,R,,VR,,,,,,,,,,R,,,common diatoms,,,ac74e0d7869b727ac3f9a8d3a6f603b2
320-U1333A-12X-4-W,320,U1333,A,12,12-4,X,4,W,,105,107,106.25,106.27,RP20,C,M,,,R,,,,,R,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,,,661a52fc89e75b69b5c5069383b184e7
320-U1333A-12X-CC-PAL-RADS,320,U1333,A,12,12-CC,X,CC,PAL,RADS,0,0,107.94,107.94,RP20,C,M,,-,R,,,,,,,,,-,-,,,,,,-,-,-,,R,-,-,-,,-,-,-,,,,-,-,,,,-,,,-,,,,,,,,,,,,,R,,-,,,,2d80cdfb92d825f9ce69cbabfb0bb0e3
320-U1333A-13X-1-W,320,U1333,A,13,13-1,X,1,W,,127,134,111.57,111.64,RP20,A,G,,,R,,,,,VR,,,,,,,,,,,,,,,F,,,,VR,,,,VR,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,common diatoms; ASH,,,049370391064d5f191c9f5c627ad77c8
320-U1333A-13X-2-W,320,U1333,A,13,13-2,X,2,W,,37,44,112.17,112.24,RP20,A,M,1,,R,,,,,VR,,,,,,,,,,,,,,,F,VR,,VR,VR,,VR,,VR,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,ec3e8a67ff62b882921347d65e5d1e10
320-U1333A-13X-2-W,320,U1333,A,13,13-2,X,2,W,,88,95,112.68,112.75,RP20,C,M,1,,R,,,,,VR,,,,,,,,,,,,,,,F,VR,VR,,,R,F,VR,R,,,,,R,,R,,,,,R,,,,,VR,,,,,,VR,R,,,"common diatoms W/O""EYES""; ASH",,,418d65408b98966b67669d5b27cdcdeb
320-U1333A-13X-2-W,320,U1333,A,13,13-2,X,2,W,,105,107,112.85,112.87,RP19,C,M,2,,R,,,,,,,,,,,,,,,,,,,,F,,,R,,R,F,,R,,,,,R,,R,,,,,R,,,,,,,R,,,,,R,,,,,,2f9277ca362bd27b9622988080f2bd5b
