Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Lychnocanoma apodora,Theocorys puriri,Comments,File data,Unnamed: 68,eodp_id
320-U1332A-2H-CC-PAL-RADS,320,U1332,A,2,2-CC,H,CC,PAL,RADS,0,0,13.62,13.62,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516bba5b02882029b8761c29aa098bb4
320-U1332A-3H-2,320,U1332,A,3,3-2,H,2,,,93,95,15.83,15.85,RN1,R,P,3,,,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,R,,vR,,,,,R,,,,R,,,,,,,,,,,40f1ef80bdb8542dbab36dccc357dc7f
320-U1332A-3H-4,320,U1332,A,3,3-4,H,4,,,93,95,18.83,18.85,RN1,C,P,3,,,,R,,,,,,,,,,,,,,,,,R,R,,,,R,,,,,,,R,R,,,R,,,,R,,,,,,,,,,,bf4badb957a15d5ba20155e8ee120a6e
320-U1332A-3H-CC-PAL-RADS,320,U1332,A,3,3-CC,H,CC,PAL,RADS,0,0,23.51,23.51,RP22,C,P,2,,,,R,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,,,,R,R,,,,,,,,,,,,,,,,,,930217516c9978e89e901748c710a0eb
320-U1332A-4H-2,320,U1332,A,4,4-2,H,2,,,105,107,25.45,25.47,RP21,C,P,2,,,,R,,,,,,,,,,,,,,,,,,R,,,,R,R,,,,,,R,R,,R,,,,,,,,R,R,,,,,,,dc902ee1689cede69bdb1039b3e67c46
320-U1332A-4H-4,320,U1332,A,4,4-4,H,4,,,105,107,28.45,28.47,RP21,C,P,3,,,,R,,,,,,,,,,,,,,,,,,R,,,,R,R,,,,,,R,R,,,,,R,,,,,R,,R,,,,,,68686abd41cd946ee1558c512a7e1e78
320-U1332A-4H-CC-PAL-RADS,320,U1332,A,4,4-CC,H,CC,PAL,RADS,0,0,32.95,32.95,RP21,C,P,3,,,,,,,,,,,,,,,,,,,,R,,R,,,,,R,,,,,,R,R,,,,,,,,,,R,,,,,"C. PARVA,  T. PURIRI",,,a4599c2151e0b93f4fc3c5b6803a978a
