Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores,eodp_id
318-U1359A-1H-CC-PAL-PALY-PALYA,318,U1359,A,1,1-CC,H,CC,PAL,PALY-PALYA,0,0,0.62,0.62,F,B,B,B,B,15db820d0488a34206e4202adc2d3189
318-U1359A-2H-CC-PAL-PALY-PALYA,318,U1359,A,2,2-CC,H,CC,PAL,PALY-PALYA,0,0,9.49,9.49,F,B,B,A,B,d7f1eac3601794cb6347d6affe534dae
318-U1359A-3H-CC-PAL-PALY-PALYA,318,U1359,A,3,3-CC,H,CC,PAL,PALY-PALYA,0,0,19.27,19.27,F,B,B,A,B,dd77e712521aebdc0262fdb9dc7ae7b2
318-U1359A-4H-CC-PAL-PALY-PALYA,318,U1359,A,4,4-CC,H,CC,PAL,PALY-PALYA,0,0,28.51,28.51,B,B,B,B,B,8a35ff1898ff6b8835d96e0fc6237acd
318-U1359A-5H-CC-PAL-PALY-PALYA,318,U1359,A,5,5-CC,H,CC,PAL,PALY-PALYA,0,0,29.28,29.28,B,B,B,T,B,f5d443d739cc9bfb48ae78d351ed2450
318-U1359A-6H-CC-PAL-PALY-PALYA,318,U1359,A,6,6-CC,H,CC,PAL,PALY-PALYA,0,0,47.68,47.68,B,T,B,F,B,7a4d7f4601803426924f0d07362a5758
318-U1359A-7H-CC-PAL-PALY-PALYA,318,U1359,A,7,7-CC,H,CC,PAL,PALY-PALYA,0,0,55.32,55.32,T,B,T,F,B,179435071b33e604de5cb7de8aa89c6e
318-U1359A-8H-CC-PAL-PALY-PALYA,318,U1359,A,8,8-CC,H,CC,PAL,PALY-PALYA,0,0,66.55,66.55,T,B,T,F,B,8a18bab479d74c2d2d1b3a1a2050bebe
318-U1359A-9H-CC-PAL-PALY-PALYA,318,U1359,A,9,9-CC,H,CC,PAL,PALY-PALYA,0,0,75.75,75.75,T,B,T,B,B,7e50c0d355951997842aff68c4f52358
318-U1359A-12H-CC-PAL-PALY-PALYA,318,U1359,A,12,12-CC,H,CC,PAL,PALY-PALYA,0,0,104.84,104.84,T,B,T,F,B,1566aef0557f6caac916429eacc4cf29
318-U1359A-15H-CC-PAL-PALY-PALYA,318,U1359,A,15,15-CC,H,CC,PAL,PALY-PALYA,0,0,133.645,133.645,T,B,T,F,B,edccdc595c01f37999a7bb98287968ab
318-U1359A-18X-CC-PAL-PALY-PALYA,318,U1359,A,18,18-CC,X,CC,PAL,PALY-PALYA,0,0,153.915,153.915,F,B,T,C,T,7d2e7063693297ef25c1e130180e785b
318-U1359A-21X-CC-PAL-PALY-PALYA,318,U1359,A,21,21-CC,X,CC,PAL,PALY-PALYA,0,0,182.02,182.02,B,B,B,T,B,c75f13454b5bfa610481e274b540fc1b
