Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Ebridian group abundance,Ebridian preservation dissolution,Ebridian preservation fragmentation,Ammodochium rectangulare,Ebridulina paradoxa,Micromarsupium anceps,Micromarsupium curticannum,Pseudammodochium dictyoides,Pseudammodochium lingii,Pseudammodochium sphericum,eodp_id
318-U1356A-1R-2-W 2/4-PAL-DIAT2,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT2,0,2.0,1.52,1.54,X,,,,,,,,,X,fa7643ed2de624bf9343c01d2883a0df
318-U1356A-3R-CC-PAL-DIAT1,318,U1356,A,3,3-CC,R,CC,PAL,DIAT1,0,5.0,19.75,19.8,X,,,,,,,,,,940f29bd4aa9bb1a80578945b119cd87
318-U1356A-15R-5-W 48/48-DIAT,318,U1356,A,15,15-5,R,5,W,48/48-DIAT,0,0.0,140.275,140.275,X,,,,,,,,,,7fe8943280556b7d616de2f65ae12970
318-U1356A-19R-CC-PAL-DIAT3,318,U1356,A,19,19-CC,R,CC,PAL,DIAT3,0,0.0,179.68,179.68,X,,,,,,,,,,b7fe7afd310cac4a78af0f2768a84499
318-U1356A-26R-CC-PAL-DIAT2,318,U1356,A,26,26-CC,R,CC,PAL,DIAT2,0,5.0,239.955,240.005,F,,,,,,,,,,a9a3f50a191954b4df09429ab89cb82b
318-U1356A-27R-CC-PAL-DIAT4,318,U1356,A,27,27-CC,R,CC,PAL,DIAT4,0,3.0,248.9,248.93,F,,,,,,,,X,,69f30eab6130c9cf21df83ab71d6692e
318-U1356A-29R-CC-PAL-DIAT1,318,U1356,A,29,29-CC,R,CC,PAL,DIAT1,0,2.0,268.18,268.2,X,,,,,,,,X,,1c5f9de31cee76cf6d6037be4ebf0286
318-U1356A-30R-CC-PAL-DIAT1,318,U1356,A,30,30-CC,R,CC,PAL,DIAT1,0,3.0,285.245,285.275,X,,,,,,,,,X,ffd103793f623d103936e3550eea51d6
318-U1356A-31R-CC-PAL-DIAT2,318,U1356,A,31,31-CC,R,CC,PAL,DIAT2,0,2.0,287.06,287.08,X,,,,,,,,,X,72cd6af2808d2b450aad692285398d42
318-U1356A-34R-2-W 55/55-DIAT1,318,U1356,A,34,34-2,R,2,W,55/55-DIAT1,0,0.0,317.95,317.95,F,,,,,,,,X,F,7a243ee1622cbbab251e26b3be38e678
318-U1356A-35R-2-W 119/119-DIAT2,318,U1356,A,35,35-2,R,2,W,119/119-DIAT2,0,0.5,328.185,328.19,X,,,,,,,,,X,06c95281c920e64f2de3834e6ef74f08
318-U1356A-35R-CC-PAL-DIAT1,318,U1356,A,35,35-CC,R,CC,PAL,DIAT1,0,0.0,331.44,331.44,X,,,,,,,,,,c1d805abadfc859f2f60f28a837b22ee
318-U1356A-37R-CC-PAL-DIAT3,318,U1356,A,37,37-CC,R,CC,PAL,DIAT3,0,0.0,344.8,344.8,X,,,,,,,,,,eeb10ed478602e138feb1458de9f2ea6
318-U1356A-39R-1-W 85/85-DIAT4,318,U1356,A,39,39-1,R,1,W,85/85-DIAT4,0,0.0,364.445,364.445,F,,,,,,,,,,3fa47f0d7deda30170aec7106c9420d3
318-U1356A-41R-CC-PAL-DIAT4,318,U1356,A,41,41-CC,R,CC,PAL,DIAT4,0,0.0,386.95,386.95,X,,,,,,,,X,,c09b3c1166112b3775885c73dc601170
318-U1356A-76R-5-W 87/88-DIAT1 paly res,318,U1356,A,76,76-5,R,5,W,87/88-DIAT1 paly res,0,1.0,724.44,724.45,X,,,X,,,,,,,eb8dd1893d1fb65925892a5efb5889e4
318-U1356A-76R-CC-PAL-DIAT1 paly res,318,U1356,A,76,76-CC,R,CC,PAL,DIAT1 paly res,0,5.0,725.6,725.65,X,,,,X,,,,,,e389ae5faf4d90f38a6b214b8808b233
318-U1356A-88R-CC-PAL-DIAT1,318,U1356,A,88,88-CC,R,CC,PAL,DIAT1,0,2.0,836.06,836.08,X,,,,X,,,,,,d026418dc91cd022a3004b8202be8e89
318-U1356A-89R-CC-PAL-DIAT 1,318,U1356,A,89,89-CC,R,CC,PAL,DIAT 1,0,1.0,849.41,849.42,,,,X,,,,,,,3697f01395aa7cbba476fb0cebaee431
