Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Lychnocanoma apodora,Theocorys puriri,Comments,File data,,eodp_id
320-U1332C-1H-CC-PAL-RADS,320,U1332,C,1,1-CC,H,CC,PAL,RADS,0,0,7.46,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed Eoc, Olg. Youngest preserved =u. Mioc.",,,db29c363c6ee2702e07a4c07b5435270
320-U1332C-2H-CC-PAL-RADS,320,U1332,C,2,2-CC,H,CC,PAL,RADS,0,0,17.45,17.45,RN1,C,M,1,,,,F,,,,,,R,,,,,,,,,,,R,R,,,,R,R,,,R,R,,R,,,,F,F,,,R,,,,,,,,,,,fd2677afd8c4691ee99fb7008116781b
320-U1332C-3H-CC-PAL-RADS,320,U1332,C,3,3-CC,H,CC,PAL,RADS,0,0,26.93,26.93,RP22,C,M,1,,,,F,,,,,,R,,,,,,,,,,,F,R,,,,F,R,,,R,,,R,R,,R,,,R,,,,,,R,,,,,,,dfa4804bc2ebf63bd311b58dd60a37f3
320-U1332C-4H-CC-PAL-RADS,320,U1332,C,4,4-CC,H,CC,PAL,RADS,0,0,36.52,36.52,RP21,C,M,3,,,,R,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,,,R,,,,,R,,,,,,,,a9fc4210b23ff8510142d8240da7211e
320-U1332C-5H-CC-PAL-RADS,320,U1332,C,5,5-CC,H,CC,PAL,RADS,0,0,45.76,45.76,RP21,C,M,3,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,,,R,,,,,R,,,,,,,,fd714912a73aca260bba77a85e596429
320-U1332C-6H-CC-PAL-RADS,320,U1332,C,6,6-CC,H,CC,PAL,RADS,0,0,53.04,53.04,RP20,A,G,2,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,,,,,,R,,,,,,,,,,E PLESIODIAPHENES,,,73eafedf627f818c1ec1d8f3a65df8e2
