Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1488A-1H-CC,0,23,5.66,5.89,E,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,363,U1488,A,1,H,CC,,48041503b360c988735656989b8e973e
363-U1488A-2H-CC,0,23,15.6,15.83,E,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,,,,,,,363,U1488,A,2,H,CC,,4f2d602efa2f2e3326774ed5d92ff57b
363-U1488A-3H-CC,0,25,25.05,25.3,E,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,363,U1488,A,3,H,CC,,05f6730898a13c8321ee67b232869be3
363-U1488A-4H-CC,0,30,34.54,34.84,E,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,,,363,U1488,A,4,H,CC,,5a306e9c688578602e7b00797da9b854
363-U1488A-5H-CC,0,30,44.09,44.39,E,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,2,,,,,,,,,,363,U1488,A,5,H,CC,,4975231a0e289be456f0b0d08c8de547
363-U1488A-6H-CC,0,23,53.6,53.83,E,,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,3,,,2,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,363,U1488,A,6,H,CC,,f953d9ffefdc42fd2c7f15fe03092d55
363-U1488A-7H-CC,0,27,63.05,63.32,E,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,363,U1488,A,7,H,CC,,a46bb68363f4a7549760e34c5fcad420
363-U1488A-8H-CC,0,45,71.7,72.15,E,,1,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,363,U1488,A,8,H,CC,,a207fc9bf3f74056c1bfcb3b3538f388
363-U1488A-9H-CC,0,21,82.06,82.27,E,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,363,U1488,A,9,H,CC,,6e9ceabcdfd4338f98d193ae061b29a4
363-U1488A-10H-CC,0,47,91.14,91.61,E,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,1,,,,,,,1,,,,,1,,,,,,,,1,2,,,,,,,,,,363,U1488,A,10,H,CC,,fb931f48d7c6cb7231c401b3f8e8be28
363-U1488A-11H-CC,0,25,101.05,101.3,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,363,U1488,A,11,H,CC,,355e5088df2a289c2ee9084eee304424
363-U1488A-12H-CC,0,16,110.36,110.52,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,363,U1488,A,12,H,CC,,2ace53d8a29d3ae9952ab1008486c8fb
363-U1488A-13H-CC,0,31,120.05,120.36,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,363,U1488,A,13,H,CC,,f91d2b741f0d9a0a61529d20c335229e
363-U1488A-14H-CC,0,20,129.6,129.8,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,363,U1488,A,14,H,CC,,919471fbede30f1e29d0b37be1c18fa2
363-U1488A-15H-CC,0,20,139.1,139.3,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,15,H,CC,,ec532e1e7d286a5f0abff76fe4b77f84
363-U1488A-16H-CC,0,31,148.58,148.89,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,363,U1488,A,16,H,CC,,d24894c3f55502b0880adb876c3136d1
363-U1488A-17H-CC,0,21,158.14,158.35,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,363,U1488,A,17,H,CC,,9d830dbdc498f3b59a423e1ec15903f2
363-U1488A-18H-CC,0,26,167.58,167.84,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,2,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,363,U1488,A,18,H,CC,,e7be51b80a561a9c7a67953f3213f956
363-U1488A-19H-CC,0,9,177.09,177.18,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,363,U1488,A,19,H,CC,,048bc09d71503efa706a47ffc0556139
363-U1488A-20H-CC,0,16,186.61,186.77,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,1,,,,,1,,,,,,2,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,363,U1488,A,20,H,CC,,35185ae670eeab6665359dd3adba9c43
