Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Stylatractus universus,Collosphaera tuberosa,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium vetulum,Lamprocyrtis heteroporos,Theocorythium trachelium,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Anthocyrtidium jenghisi,Theocalyptra davisiana,Stichocorys peregrina,Anthocyrtidium pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Spongaster pentas,Phormostichoartus doliolum,Amphirhopalum ypsilon,Didymocyrtis penultima,Spongaster tetras,Nephrospyris renilla,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antepenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetrathalamus,Stichocorys delmontensis,Acrobotrys tritubus,Stylosphaera sp. C,Acrobotris tritubus,Diartus hughesi,Didymocyrtis laticonus,Botryostrobus miralestensis,Diartus petterssoni,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos communis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Comments,File data,,eodp_id
320-U1335A-1H-2-W,320,U1335,A,1,1-2,H,2,W,,103,105,2.53,2.55,RN14,A,G,2,,,,,,,vR,F,R,,,,R,,,,,,,R,,R,R,,,,,,R,vR,,,,,,,,,,,,,,,,,,COMMON DIATOMS,,,2a8611c1b453a3b0c1f95863069c9fae
320-U1335A-1H-4-W,320,U1335,A,1,1-4,H,4,W,,103,105,5.53,5.55,RN14,A,G,2,,,,,R,,,,,,,,R,,,,,,,R,,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,COMMON DIATOMS,,,0e9ed13bf97ab7027de8eb5676d7e49c
320-U1335A-1H-CC-PAL-RADS,320,U1335,A,1,1-CC,H,CC,PAL,RADS,0,0,8.81,8.81,RN13,A,G,3,,,R,R,,,R,R,,,,,R,vR,,vR,,,,R,,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,eae32f6fd3415df679c6fcc14f1d14cf
320-U1335A-2H-2-W 38/40,320,U1335,A,2,2-2,H,2,W,38/40,38,40,11.16,11.18,RN12,C,M,2,,,,,,R,,,,F,,,R,,R,,,,,R,,R,R,,,,,,R,,,,,,,,,,,R,,vR,,,,,,,,,87c32d0d779512da85cb3d6feb8ca411
320-U1335A-2H-4-W 38/40,320,U1335,A,2,2-4,H,4,W,38/40,38,40,14.16,14.18,RN12,C,M,2,,,vR,,,R,,,,F,,R,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,8788b7d4dfbad5e5ce15419be333ba0b
320-U1335A-2H-CC-PAL-RADS,320,U1335,A,2,2-CC,H,CC,PAL,RADS,0,0,18.85,18.85,RN11,A,G,3,,,,,,R,,,,R,R,R,,C,,vR,,,,,vR,R,R,,,,,,R,,,,,,,vR,,,,,,,,,,,,,,,414d5a422d3b8c931fd698a0bea58116
320-U1335A-3H-2-W 105/107,320,U1335,A,3,3-2,H,2,W,105/107,105,107,22,22.02,RN10,C,M,3,,,,,,,,,,R,R,,,C,,,,R,R,,R,,R,,,,vR,R,R,R,,,,R,,R,,,R,,,,,,,,,,,,b33c6402b4a52ba62790b85be6af909b
320-U1335A-3H-CC-PAL-RADS,320,U1335,A,3,3-CC,H,CC,PAL,RADS,0,0,28.13,28.13,RN9,A,G,2,,,,,,R,,,,,R,R,,C,,vR,,R,R,,R,,R,R,,,,,R,,,,,,,,,,R,,,,,,,,,DIATOMS,,,1fffcc66a2aa74a643f922e8ef04e32a
320-U1335A-4H-2-W 100/102,320,U1335,A,4,4-2,H,2,W,100/102,100,102,31.4,31.42,RN9,C,M,2,,,,,,R,,,,,R,,,F,,R,R,R,R,,F,,,F,R,,vR,,,F,,,,,,,,,,,vR,,vR,,,,,DIATOMS,,,e5c4b8f3dcbca2acf67f8f16977967bf
320-U1335A-4H-4-W,320,U1335,A,4,4-4,H,4,W,,100,102,33.4,33.42,RN9,A,G,1,,,,,,R,,,,,R,,,F,,vR,R,R,vR,,F,,,F,,,vR,,,F,,,,,,,,,R,,vR,,vR,,,,,DIATOMS,,,131e021e8692f10397a43ed81dbc22c9
320-U1335A-4H-CC-PAL-RADS,320,U1335,A,4,4-CC,H,CC,PAL,RADS,0,0,37.8,37.8,RN9,A,G,,,,,,,R,,,,,R,,,F,,,R,,vR,,R,,,R,R,,R,R,,F,R,,R,,,,,,,,,,,,,,,COMMON DIATOMS,,,be173278581b776dab305561903ae97a
320-U1335A-5H-2-W 100/102,320,U1335,A,5,5-2,H,2,W,100/102,100,102,40.9,40.92,RN8,A,G,,,,,,,,,,,,,,,R,,,R,,R,,F,,,R,R,,R,F,,F,R,,R,,,,,,,,,,,,,,,,,,f174f36e8100a3efadf6540e3cae58e3
320-U1335A-5H-4-W 100/102,320,U1335,A,5,5-4,H,4,W,100/102,100,102,43.9,43.92,RN8,A,G,1,,,,,,,,,,,,,,,,,R,,,,R,,,R,R,R,R,F,,F,R,,R,,,,,,R,,,,,,,,,,,,18c9ef897a7bb7405cf3eeedf94a5390
320-U1335A-5H-CC-PAL-RADS,320,U1335,A,5,5-CC,H,CC,PAL,RADS,0,0,46.45,46.45,RN7,A,G,,,,,,,,,,,,,,,,,,R,R,,,R,,,,R,R,R,F,,C,R,,R,F,,,,,R,,,,,,,,,COMMON DIATOMS,,,a36ed1b2f4cf6d207d77d1e8d69b54e9
320-U1335A-6H-2-W 105/107,320,U1335,A,6,6-2,H,2,W,105/107,105,107,50.5,50.52,RN7,A,G,,,,,,,,,,,,,,,,,,R,,R,,vR,,,,R,F,R,F,,C,R,,R,F,,,,,R,,,,,,,,,,,,a30a784dbf0f33b323e9d231290acb69
