Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Hemiaulus altus,Hemiaulus caracteristicus,Hemiaulus danicus,Hemiaulus dissimilis,Hemiaulus grassus,Hemiaulus incisus,Hemiaulus inequilaterus,Hemiaulus peripterus,Hemiaulus polycystinorum,Hemiaulus polymorphus var. morsianus,Hemiaulus rectus var. twista,Hemiaulus sp.,Hemiaulus stilwelli,Hemiaulus subacutus,Hemiaulus taurus,Hemidiscus cuneiformis,Hemidiscus karstenii,Hemidiscus karstenii f.1,Ikebea tenuis,Kannoa sp.,Kisseleviella carina,Kisseleviella cicatricata,Kisseleviella ezoensis,Kisseleviella faballiforma,Kisseleviella gaster,Kisseleviella tricoronata,Kisselviella magnaareolata,Lisitzinia ornata,Lithodesmium minusculum,Navicula directa,Navicula spp.,Navicula wisei,Naviculata udintsevii,Neobrunia mirabilis,Nitzschia denticuloides,Nitzschia efferans,Nitzschia grossepunctata,Nitzschia miocenica,Nitzschia sp. 17,Nitzschia spp.,Odontella spp.,Paralia sulcata,Paralia sulcata var. crenulata,Porosira glacialis,Porosira pseudodenticulata,Porotheca danica,Proboscia barboi,Proboscia ?cretacea,Proboscia curvirostris,Proboscia sp,Pseudopyxilla spp.,Pseudotriceratium radiosoreticulatum,Pterotheca aculeifera,Pyrgupyxis eocena,Pyxilla prolongata,Pyxilla sp.,Pyxilla reticulata,Raphidodiscus marylandicus,Rhabdonema spp.,Rhaphoneis amphiceros,Rhaphoneis spp.,Rhizosolenia antarctica,Rhizosolenia antennata var. semispina,Rhizosolenia costata,Rhizosolenia fidicularis,Rhizosolenia harwoodii,Rhizosolenia hebetata,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia sp. B,Rhizosolenia oligocaenica,Rhizosolenia spp.,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella semigelida,Rocella vigilans var. A,Rocella vigilans var. B,Roperia tesselata,Rossiella fennerae,Rossiella symmetrica,Rouxia antarctica,Rouxia californica,Rouxia constricta,Rouxia diploneides,Rouxia heteropolara,Rouxia isopolica,Rouxia leventerae,Rouxia naviculoides,Rouxia peragalli,Rouxia spp.,Rylandsia biradiata,Sceptroneis lingulatus,Sceptroneis pesplanus,Shionodiscus gracilis var. gracilis,Shionodiscus oestrupii,Shionodiscus tetraoestrupii var. reimeri,Skeletonema penicillus,Skeletonema utriculosa,"""Skeletonema"" utriculosa",Skeletonemopsis barbabadensis,Skeletonemopsis mahoodii,Skeletonemopsis and Skeletonema grp,Sphynctolethus pacificus,Stellarima microtrias,Stellarima stellaris,Stephanonycites coronis,Stephanonycites tabularis,Stephanonycites variegatus,Stephanopyxis grunowii,Stephanopyxis spp.,Stictodiscus hardmanianus,Stictodiscus kittonianus,Syndendrium rugosum,Synedropsis cheethamii,Synedropsis sp. C,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassiosira antarctica,Thalassiosira complicata,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica,Thalassiosira elliptipora,Thalassiosira fasciculata,Thalassiosira gravida,Thalassiosira insigna,Thalassiosira insigna/inura trans,Thalassiosira inura,Thalassiosira aff. Inura,Thalassiosira jacksonii,Thalassiosira kolbei,Thalassiosira lentiginosa,Thalassiosira lentiginosa var. obovatus,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira nansenii,Thalassiosira nativa,Thalassiosira oliverana,Thalassiosira oliverana var. sparsa,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira spp.,Thalassiosira striata,Thalassiosira teres,Thalassiosira torokina,Thalassiosira trifulta,Thalassiosira tumida,Thalassiosira vulnifica,Thalassiosira webbii,Thalassiothrix antarctica,Thalassiothrix longissima,Thalassiothrix miocenica,Triceratium inconspicuum var. trilobata,Triceratium kanayae,Triceratium kanayae var. quadriloba,Triceratium pileus,Triceratium pulvinar,Triceratium unguiculatum,Trichotoxon reinboldii,Trinacria cornuta,Trinacria excavata,Trinacria simulacrum,Trinacria spp.,Trochosira coronata,Trochosira spinosa,Tubaformis unicornis,Xanthiopyxis sp.,Nitzschia denticuloides var. M,Trochosira spp.,eodp_id
318-U1356A-1R-1-W 3/5-PAL-DIAT1,318,U1356,A,1,1-1,R,1,W,3/5-PAL-DIAT1,0,2.0,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,R-F,,,,,X,,,,,,,,,,,X,,,,,,,,,0ba9479b2eb1ab64576b7de8314ac809
318-U1356A-1R-1-W 3/5-PAL-DIAT3,318,U1356,A,1,1-1,R,1,W,3/5-PAL-DIAT3,0,2.0,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,R,,,,,,,,,,,X,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,X,,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,R,,,,,X,,,,,,,,,X?,,X,,,,,,,,,c8cd65eb02c822a8b84dd5c70b35f012
318-U1356A-1R-2-W 2/4-PAL-DIAT,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT,0,1.0,2.88,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,F,,,,F-C,,,R-F,,,,,,,,,,,,,,,,X,,,,,,,,,badcb9503ee848f765b519e444bce9ca
318-U1356A-1R-2-W 2/4-PAL-DIAT2,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT2,0,2.0,1.52,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,F,,X,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,X,,,,,F,,,,,X,,F,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,F,,,,,F,X,,,,,,,,,,X,,,,,,,,,68e10d317e1e75f83c07396184c2dd0d
318-U1356A-1R-2-W 2/4-PAL-DIAT3,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT3,0,2.0,1.52,1.54,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,F,,,,R,,,R,,,,,X,,,,,,,,,,,R,,,,,,,,,c53383ae3ca668fff8117217c302d413
318-U1356A-1R-CC-PAL-DIAT1,318,U1356,A,1,1-CC,R,CC,PAL,DIAT1,0,5.0,4.55,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,b0cd960d67008288ff674d968553e589
318-U1356A-1R-CC-PAL-DIAT2,318,U1356,A,1,1-CC,R,CC,PAL,DIAT2,0,5.0,4.55,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,5867395a7f7747116bc8a4aeb94b3788
318-U1356A-2R-CC-PAL-DIAT1,318,U1356,A,2,2-CC,R,CC,PAL,DIAT1,0,5.0,19.05,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,2def5d1ae34ac757ede8d15e59e4031e
318-U1356A-2R-CC-PAL-DIAT2,318,U1356,A,2,2-CC,R,CC,PAL,DIAT2,0,5.0,19.05,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,a0d890a80cc7f80d45acc6545138863e
318-U1356A-3R-CC-PAL-DIAT1,318,U1356,A,3,3-CC,R,CC,PAL,DIAT1,0,5.0,19.75,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,F,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,R,,,,,,,,,1f7c8540a64d9133fb758851c722015b
