Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Ammonia beccarii,Anomalina spherica,Anomalinoides vitrinodus,Bigenerina pliocenica,Bolivina affliata,Bolivina albatrossi,Bolivina barnwelli,Bolivina fyfei,Bolivina parri,Bolivina punctatostriata,Bolivina wanganuiensis,Bolivina watti,Bolivina zedirecta,Bolivinella australis,Bolivinella lilliei,Bolivinella profolium,Bolivinita compressa,Bolivinita elegantissima,Bolivinita finlayi,Bolivinita pliozea,Bolivinita pohana,Bolivinita pseudocompressa,Bolivinita quadrilatera,Bulimina aculeata,Bulimina mapiria,Bulimina marginata,Ceratocancris clifdenensis,Cibcides sp.,Cibicides amoenus,Cibicides deliquatus,Cibicides finlayi,Cibicides neoperforatus,Cibicides thiaracuata,Cibicides victoriensis,Cycloclypeus sp.,Discorbis dimidiatus,Dorothia scabra,Ehrenbergina marwicki,Ehrenbergina mestayeri,Elphidium charlottensis,Elphidium charlottensis.1,Elphidium novozealandicum,Euuvigerina cf. peregrina,Euuvigerina mioschwageri,Euuvigerina pliozea,Globocassidulina arata,Haeuslerella finlayi,Haeuslerella morgani,Haeuslerella parri,Haeuslerella pukeuriensis,Haynesina depressula,Hopkinsina mioindex,Hyalinea cf. balthica,Karreriella cushmani,Karreriella cylindrica,Lenticulina calcar,Lepidocyclina ephippoides,Lingulina avellanoides,Loxostomum karrerianum,Loxostomum pakaurangiense,Loxostomum truncatum,Mucronina multicostales,Mucronina subtetragona,Mucronina tosta,Nodosaria acuminata,Nonionella flemingi,Notorotalia briggsi,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia kingmai,Notorotalia taranakia,Notorotalia wilsoni,Notorotalia zelandica,Patellinella inconspicua,Planorbulinella zelandica,Planulina wuellerstorfi,Plectofrondiculana fyfei,Plectofrondicularia parri,Plectofrondicularia pellucida,Plectofrondicularia pohana,Plectofrondicularia turgida,Rectobolivina maoria,Rectobolivina parvula,Rectobolivina striatula,Rectuvigerina pohana,Rectuvigerina ruatoria,Rectuvigerina vesca,Rotalia wanganuiensis,Saracenaria italica,Semivulvulina ihungia,Sherbornina cuneimarginata zealandica,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Sigmoilopsis zeaserus,Siphotextularia wairoana,Siphouvigerina notohispida,Spiroloculina novozealandica,Textularia awazea,Textularia gladizea,Textularia kapitea,Textularia miozea,Uvigerina peregrina,Uvigerina rodleyi,Vaginulinopsis zeacarinata,Valvulineria sp.,Virgulopsis turris,Zeaflorilus parri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1518F-2R-CC-PAL-FORAM,0,10,199.8,199.9,VG,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,2,R,CC,PAL,9f8c962cfe9e3586eb22ba8f08ccd0ce
375-U1518F-3R-CC-PAL-FORAM,0,10,212.49,212.59,VG,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,3,R,CC,PAL,2d9367d8a0ebfdeed1154903937d7a43
375-U1518F-4R-CC-PAL-FORAM,0,10,219.21,219.31,VG (M),A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,375,U1518,F,4,R,CC,PAL,60542558a17ca14009b39ac1536263fc
375-U1518F-5R-CC-PAL-FORAM,0,10,229.91,230.01,VG,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,375,U1518,F,5,R,CC,PAL,b4a893bfc8c355ffde05c0b9e5604b89
375-U1518F-6R-CC-PAL-FORAM,0,13,239.08,239.21,VG,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1518,F,6,R,CC,PAL,98d41c9694afd32ce8e2e30b3bcb4c7f
375-U1518F-7R-3-PAL(81-91)-FORAM,0,10,248.77,248.87,VG,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,375,U1518,F,7,R,3,PAL,4b21c3f6da65ddad208ec027acbfc08b
375-U1518F-8R-CC-PAL-FORAM,0,5,258.89,258.94,VG,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,375,U1518,F,8,R,CC,PAL,f098e0f434c9082552beb27999c11ece
375-U1518F-9R-5-PAL-FORAM,0,10,270.17,270.27,VG,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1518,F,9,R,5,PAL,a1bfa62dff2530b0a18af6be3632ccf9
375-U1518F-10R-CC-PAL-FORAM,0,15,277.53,277.68,VG,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,375,U1518,F,10,R,CC,PAL,8a8cb28ec825f7f07d1e697d00e80355
375-U1518F-11R-CC-PAL-FORAM,0,10,286.63,286.73,VG,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,11,R,CC,PAL,817117704d9b32f041f79de329dee6f9
