Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,,eodp_id
320-U1334C-17H-CC-PAL-RADS,320,U1334,C,17,17-CC,H,CC,PAL,RADS,0,0,161.47,161.47,RP21,A,M,,-,,R,R,R,-,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,62db02ee6c9bf19fe098d438fd692481
320-U1334C-18H-CC-PAL-RADS,320,U1334,C,18,18-CC,H,CC,PAL,RADS,0,0,171.11,171.11,RP21,A,M,,R,,,R,R,R,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,47219aec3b4cf942c86d0a9233141862
320-U1334C-19H-CC-PAL-RADS,320,U1334,C,19,19-CC,H,CC,PAL,RADS,0,0,180.68,180.68,RP21,A,M,,R,,,R,R,R,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,f54bb54fc740e8527f8c199763b7c946
320-U1334C-20H-CC-PAL-RADS,320,U1334,C,20,20-CC,H,CC,PAL,RADS,0,0,189.97,189.97,RP20,A,M,,R,R,-,-,-,R,,,R,F,,,,,F,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,f1fcaabd0f988f980e25a94c3a6c23d6
320-U1334C-21H-CC-PAL-RADS,320,U1334,C,21,21-CC,H,CC,PAL,RADS,0,0,199.92,199.92,RP20,A,M,,R,R,-,-,-,R,,,R,F,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,15f6ad31402d59c30cbeebb2fd943bb0
320-U1334C-22H-CC-PAL-RADS,320,U1334,C,22,22-CC,H,CC,PAL,RADS,0,0,209.36,209.36,RP20,C,M,,-,R,,,,-,,,-,-,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,39b29889c11e2ccc2f36d301e0617503
320-U1334C-23X-CC-PAL-RADS,320,U1334,C,23,23-CC,X,CC,PAL,RADS,0,0,213.56,213.56,RP20,C,M,,,R,,,,,,,,,C,R,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,05910479f05fc2e33ab4dc6402ee2abc
320-U1334C-24X-CC-PAL-RADS,320,U1334,C,24,24-CC,X,CC,PAL,RADS,0,0,223.86,223.86,RP20,C,M,,,R,,,,,R,,,,C,R,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,3f6b7baacb29cb8edc667df7ea8359c0
320-U1334C-25X-CC-PAL-RADS,320,U1334,C,25,25-CC,X,CC,PAL,RADS,0,0,233.32,233.32,RP20,C,M,,,R,,,,,R,,,,C,R,,R,,,,R,F,,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,90efa1b9d6ea6bd2192d55009387f7aa
320-U1334C-26X-CC-PAL-RADS,320,U1334,C,26,26-CC,X,CC,PAL,RADS,0,0,240.51,240.51,RP20,C,M,,,R,,,,,R,,,,R,R,,,,,,,R,,,F,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,COMMON CENTRIC AND EYED DIATOMS,,,bf01bdcb4007d223c9c9f99748daf884
