Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Ebridian group abundance,Ebridian preservation dissolution,Ebridian preservation fragmentation,Ammodochium rectangulare,Ebridulina paradoxa,Micromarsupium anceps,Micromarsupium curticannum,Pseudammodochium dictyoides,Pseudammodochium lingii,Pseudammodochium sphericum,eodp_id
318-U1355A-4R-CC-PAL-DIAT1,318,U1355,A,4,4-CC,R,CC,PAL,DIAT1,0,2,24.85,24.87,X,,,,,,,,X,,185d7bbcea62d5738ee980b1721fae35
318-U1355A-4R-CC-PAL-DIAT2,318,U1355,A,4,4-CC,R,CC,PAL,DIAT2,0,2,24.85,24.87,X,,,,,,,,X,,1732856dc88ce2cef87f57dd2a6c65b7
