Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Zone name [short],PF Preservation,% Planktic Foraminifera within whole sample,Catapsydrax dissimilis,Catapsydrax cf. howei,Catapsydrax unicavus,Catapsydrax sp.,Dentoglobigerina galavasi,Dentoglobigerina pseudovenezuelana,Dentoglobigerina tripartita,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina euapertura,Globigerina officinalis,Globigerina ouachitensis,Globigerina prasepis,Globigerina venezulana,Globorotalia praehumerosa,Globorotalia semivera,Globorotaloides suteri,Globoquadrina tapurensis,Globorotaloides quadrocameratus,Globoquadrina sp.,Paragloborotalia griffinoides,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia opima-mayeri transition,Paragloborotalia pseudocontinuosa,Parasubbotina griffinae,Parasubbotina inaquespira,Paragloborotalia sp.,Subbotina corpulenta,Subbotina angiporoides,Subbotina patagonica,Subbotina utilsindex,Subbotina yeguaensis,Subbotina sp.,Turborotalia ampliapertura,Turborotalia frontosa,Turbotalia,Globorotalia sp.,eodp_id
320-U1332A-1H-2-W 38/40,320,U1332,A,1,1-2,H,2,W,38/40,0,2.0,1.88,1.9,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7b52bcf8c05cb162d64d9ab0f6f1948
320-U1332A-1H-CC-PAL-FORAMP,320,U1332,A,1,1-CC,H,CC,PAL,FORAMP,0,2.0,3.86,3.88,KME,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172b8b48ddc381012537a5993053088d
320-U1332A-2H-CC-PAL-FORAMP,320,U1332,A,2,2-CC,H,CC,PAL,FORAMP,0,2.0,13.62,13.64,KME,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467a1d0b3c6c563395e15defcecb46d5
320-U1332A-3H-5-W 47/49,320,U1332,A,3,3-5,H,5,W,47/49,0,2.0,19.87,19.89,LLR,B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f67a735b722f0cfd05605bf720ba0cd5
320-U1332A-3H-7-W 75/77,320,U1332,A,3,3-7,H,7,W,75/77,0,2.0,23.15,23.17,LLR,O6,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be34f8fe74a8b340a646d4bbc48b0d9b
320-U1332A-3H-CC,320,U1332,A,3,3-CC,H,CC,,,0,2.0,23.22,23.24,,O3-Plio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a8484e438581c56c3823824c24a22c6
320-U1332A-4H-3-W 40/42-FORAM,320,U1332,A,4,4-3,H,3,W,40/42-FORAM,0,2.0,26.3,26.32,KME,E13-O6,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c33573e31c6792aa07ae6cc7bcb49ff
320-U1332A-4H-7-W 38/40-FORAM,320,U1332,A,4,4-7,H,7,W,38/40-FORAM,0,2.0,32.28,32.3,LLR +KME,O6,M,,,,A,,,P,F,,,P,,,,F,,P,A,P,,,,P,,,,,,,,,,,,,,,,,27ca654ee26c41d446ee3bc1ae74f396
320-U1332A-5H-2-W 100/101-FORAM,320,U1332,A,5,5-2,H,2,W,100/101-FORAM,0,1.0,34.9,34.91,LLR,O2-O5,M,<5,,,A,,,,P,P,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,3687faa9856db36b9fa86f26a601522e
320-U1332A-5H-5-W 28/29-FORAM,320,U1332,A,5,5-5,H,5,W,28/29-FORAM,0,1.0,38.68,38.69,LLR,E13-L.Mio.,M,5,,,A,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,413c3f8d044f3ea9450ed907af019623
