Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,,eodp_id
320-U1331A-1H-CC,320,U1331,A,1,1-CC,H,CC,,0,0,4.99,4.99,,C,P,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,2fa5d77ef39860fae3b23f1bf8b2af43
320-U1331A-1H-CC-PAL,320,U1331,A,1,1-CC,H,CC,PAL,0,0,5.14,5.14,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4fc7d66e1926f71a78d5a6864e4949a
320-U1331A-2H-2,320,U1331,A,2,2-2,H,2,,104,106,7.74,7.76,RP20,C,P,,R,R,R,,R,R,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adc4e8581901de9c39508ca1f07f8bf2
320-U1331A-2H-4,320,U1331,A,2,2-4,H,4,,104,106,10.74,10.76,RP20,C,M,3,R,R,,,R,R,R,R,R,F,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,7d9587983acb279aa10927b36d782dc9
320-U1331A-2H-CC,320,U1331,A,2,2-CC,H,CC,,0,0,14.79,14.79,,C,P,3,,R,,,,R,R,R,,R,R,,R,R,R,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,7c32b14ff1c05a99e0f3b8b7f3d82b4f
320-U1331A-2H-CC-PAL,320,U1331,A,2,2-CC,H,CC,PAL,0,0,15.02,15.02,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01504837ae3331bf811b0d309dd51fd5
320-U1331A-3H-3,320,U1331,A,3,3-3,H,3,,126,129,18.96,18.99,RP20,A,M,2,R,R,,,,,R,,,,C,R,R,F,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,35f8679d5481ad51e49a1404a37ab153
320-U1331A-3H-5,320,U1331,A,3,3-5,H,5,,121,124,21.91,21.94,RP20,A,M,1,R,R,,,,,R,R,,,C,R,,R,,,,R,R,R,,R,R,R,R,R,R,,,R,,,,,,,R,,R,,,R,,,,,R,,,,,,,,,,,,,2816a3d8d0dbbe523c08ee335de6b7c6
320-U1331A-3H-CC,320,U1331,A,3,3-CC,H,CC,,0,0,24.1,24.1,,A,M,1,R,R,,,,,R,,,,F,,,R,,,,R,R,R,,F,R,R,,,VR,,,,,,,,,,R,,,,,R,,,,,VR,,,,,,,,,,,,,35f825a695bf97b90700a09de32cf478
320-U1331A-3H-CC-PAL,320,U1331,A,3,3-CC,H,CC,PAL,0,0,24.34,24.34,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7fd75c942ce28408ef7902eab6a38e1f
