Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,eodp_id
320-U1335B-1H-CC-PAL-NANNO,320,U1335,B,1,1-CC,H,CC,PAL,NANNO,0,0,3.43,3.43,PB - lacunosa,NN19,Pleistocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,R,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,d3cb9053953753a6d4bb00b7e0e1374d
320-U1335B-2H-CC-PAL-NANNO,320,U1335,B,2,2-CC,H,CC,PAL,NANNO,0,0,13.02,13.02,PB - brouweri,NN18,Pliocene,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49ec4d313bc9e5aa5c2b2d2aacaf5f1a
320-U1335B-3H-CC-PAL-NANNO,320,U1335,B,3,3-CC,H,CC,PAL,NANNO,0,0,22.66,22.66,"PB - pseudoumb., cristatus",NN13-15,Pliocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,C,,,F,F,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,C,,,4eaffa7933261da176f110487cb95e36
320-U1335B-4H-CC-PAL-NANNO,320,U1335,B,4,4-CC,H,CC,PAL,NANNO,0,0,31.93,31.93,TDJ - amplificus present,NN11,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,R,F,R,,,R,,C,,,,F,,C,,,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,782b2919f221f1eafda31ba19de5ac7c
320-U1335B-5H-CC-PAL-NANNO,320,U1335,B,5,5-CC,H,CC,PAL,NANNO,0,0,41.86,41.86,TDJ - no amaurolitus,NN11,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,R,,R,R,,R,,,,,C,,,R,,R,C,,,,,,,,,,,,,C,,F,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,,e01d599426a629a9b5546afd10fb00dc
320-U1335B-6H-CC-PAL-NANNO,320,U1335,B,6,6-CC,H,CC,PAL,NANNO,0,0,51.05,51.05,"TDJ - no bergrenni, one catinaster reworked? No hamatus",NN10,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,F,,,,,,,,C,,,,,,R,R,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,A,,,,,,,,R,,,,,,,,,,,,,,,F,,,0be6e0a6b03346637ae62fb78ffa52a9
320-U1335B-7H-CC-PAL-NANNO,320,U1335,B,7,7-CC,H,CC,PAL,NANNO,0,0,60.92,60.92,"TDJ - no bergrenni, no hamatus, no catinaster, poor preservation, etched",NN10,late Miocene,P [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4857e6bb918375e12da950dd4f76e888
320-U1335B-8H-CC-PAL-NANNO,320,U1335,B,8,8-CC,H,CC,PAL,NANNO,0,0,70.03,70.03,"TDJ - miopelagicus, no kugleri",NN7,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,a50d132afe32bf27307c412be5722fa9
320-U1335B-9H-CC-PAL-NANNO,320,U1335,B,9,9-CC,H,CC,PAL,NANNO,0,0,79.94,79.94,"TDJ - no coronocyclus, no kugleri",NN7,middle Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,9fd3e9c07dc64cdef41a4da2ed5844a5
320-U1335B-10H-CC-PAL-NANNO,320,U1335,B,10,10-CC,H,CC,PAL,NANNO,0,0,89.04,89.04,"TDJ - coronocyclus, no premacintyrei",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,F,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,11b6e74d76dae120c7c157f6a4a95d35
