Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1519C-2R-CC-PAL-FORAM,0,5,111.69,111.74,VG,,,,,,,,,P,,,,,,,,,,,,,,,375,U1519,C,2,R,CC,PAL,c691968aa0ce1ad5a6990f7e4bb0c8ae
375-U1519C-3R-CC-PAL-FORAM,0,5,116.08,116.13,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,3,R,CC,PAL,a70adcb756e7d2c88baa74c8fe57774f
375-U1519C-4R-CC-PAL-FORAM,0,10,131.1,131.2,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,4,R,CC,PAL,68ddb210326571c9542360c693dd339d
375-U1519C-5R-CC-PAL-FORAM,0,5,135.93,135.98,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,5,R,CC,PAL,1f4bcd22b5e5bd435f026f4a12e7d972
375-U1519C-6R-CC-PAL-FORAM,0,5,144.3,144.35,VG,,,,,,,,,R,,,,,C,,,,,,,,,,375,U1519,C,6,R,CC,PAL,f930e00ca633dd4e1f72e13a67542964
375-U1519C-9R-CC-PAL-FORAM,0,10,256.76,256.86,VG-G,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,9,R,CC,PAL,56dedc4a15bdfd4657bcad558a2a3b33
375-U1519C-10R-CC-PAL-FORAM,0,10,267.12,267.22,VG-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,10,R,CC,PAL,8b42f9c5717f6ef673b3d2ca0a29aa4d
375-U1519C-11R-CC-PAL-FORAM,0,10,272.46,272.56,VG-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,11,R,CC,PAL,2c89f15135f3024451688a7ead99f1b3
375-U1519C-12R-CC-PAL-FORAM,0,10,284.7,284.8,VG-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,12,R,CC,PAL,bcb745ebde2d346def7ce636ed939b40
375-U1519C-14R-CC-PAL-FORAM,0,15,522.39,522.54,G,,,,,,,,,,,,,,,,,R,,,,,,,375,U1519,C,14,R,CC,PAL,8fa06815da2ef6462a8a91501663f090
375-U1519C-15R-CC-PAL-FORAM,0,9,536.32,536.41,G-M,,,,,,,P,,,,,,,,P,P,P,,,,,,,375,U1519,C,15,R,CC,PAL,a70249d9beb3c52efcb5311e6edd4fc0
375-U1519C-16R-CC-PAL-FORAM,0,11,546.86,546.97,G,,,,,,,,,,,,R,,,R,,R,,,,,,,375,U1519,C,16,R,CC,PAL,39e26c9ebd6fa99a320cd6fa4fcedb0b
375-U1519C-17R-CC-PAL-FORAM,0,10,553.37,553.47,G,,,,,,,,,,,,,,,,F,,,,,,,,375,U1519,C,17,R,CC,PAL,fa46e9262973fba4ef3460811cb3edbc
375-U1519C-18R-CC-PAL-FORAM,0,10,565.93,566.03,G,,,,,,,,,,,,,,,P,,P,,,,,,,375,U1519,C,18,R,CC,PAL,9a46805f3f3eba019e42e7b9486b7992
375-U1519C-19R-CC-PAL-FORAM,0,10,574.93,575.03,G-M,,,,,,,P,,,,,,,,,P,,,,,,,,375,U1519,C,19,R,CC,PAL,dbd830503a60adbdc978fed0e67eb40d
375-U1519C-20R-CC-PAL-FORAM,0,10,580.38,580.48,G,,,,,,R,,,,,,,,,F,,,,,,,,,375,U1519,C,20,R,CC,PAL,b4f3419ea0874ba973167135922d8427
375-U1519C-21R-CC-PAL-FORAM,0,12,591.56,591.68,G,,,,,,,,,,,,,P,,,F,,,,,,,,375,U1519,C,21,R,CC,PAL,b73c0fce606cd97f24e380346d4a89b5
375-U1519C-22R-CC-PAL-FORAM,0,10,602.98,603.08,G-M,,,,,,R,,,,,,,,,,,R,,,,,,,375,U1519,C,22,R,CC,PAL,b258677491284e182092e6b8045d331e
375-U1519C-24R-CC-PAL-FORAM,0,5,618.8,618.85,G,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,24,R,CC,PAL,c59254c01c0f05961b91749a6e808134
375-U1519C-26R-CC-PAL-FORAM,0,5,635.6,635.65,G-P,,,,,,P,,,,,,,,,,,,,,,,,,375,U1519,C,26,R,CC,PAL,e6e84a560e92b6e0f7d292a311a937ad
