Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1518E-1H-1-W 23/23-NANNO,0,0,0.23,0.23,G/M,A,,,,C,,,F,R,F,,*,,,C,C,,,*,,,,*,,,,,*,,F,,,,,C,A,,C,,,,C,,,,,,,R,F,R,,,*,,*,*,,,,,F,*,,,,,,C,,,,,,,,,C,,,,,R,R,,,,375,U1518,E,1,H,1,W,f4fcb0c4fd4b4e24a1eca61e34ab2020
375-U1518E-1H-CC-PAL-NANNO,0,5,8.7,8.75,G,C,,,,F,,,,,,,,,,C,,,,,,,,*,,,,,,,,,,*,,A,A,,,F,,,,,,,,,,F,F,,,,C,F,,,,,,,,,,,,,,,,,,*,,,*,,,,,,,,,,,,375,U1518,E,1,H,CC,PAL,7ca3ba2c0df316410ae40610e927430e
375-U1518E-2H-CC-PAL-NANNO,0,5,18.86,18.91,G,C,,,,,,,,,,,*,,,C,,,,*,,,,,,,,,,,,,,*,R,R,A,,,R,,,,,,,,,,,,,,,F,,*,*,,,,,,,*,*,,,,,,,,,,,*,,,,,,,,,,,,375,U1518,E,2,H,CC,PAL,fb3caedff0cf89800c677f2d41f05ec3
375-U1518E-3H-CC-PAL-NANNO,0,5,28.27,28.32,M,C,,,,,,,R,,,*,,,*,C,,,,*,,,,,,,,,,,,,,,R,F,C,,,,,,,,,,,,,,,,,,F,,*,,F,C,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,E,3,H,CC,PAL,cf8065cf3484b5481d1781ab3f226183
375-U1518E-4H-CC-PAL-NANNO,0,5,34.71,34.76,M,C,,,,,*,,R,,,,,,,C,,,,*,,,,,,,,,,,,,,*,,,C,,R,,,,R,,,,,,,R,R,F,,,F,,,*,R,C,C,F,F,*,,,,*,,,,,,,,,*,,,,,,,F,,,,,375,U1518,E,4,H,CC,PAL,0a403a7cc5099e49eb9c2aa200502494
375-U1518E-5H-CC-PAL-NANNO,0,5,39.22,39.27,G,C,,,,F,*,,R,,,,,,,,,,,,,,,*,,,,,,,,,,*,,F,,,F,,,,,,,,,,,,F,,,,C,,,,,,,,,*,,,,,,,,,,,,,,,R,,,,,F,,,,,375,U1518,E,5,H,CC,PAL,ca61ec3c4c165f5695a656b841a17626
375-U1518E-7H-CC-PAL-NANNO,0,5,56.13,56.18,M,A,,,,F,,*,,,,,,,,,,,,,,,?,,,,,,,,,,,,R,,C,,F,R,,R,,,,,,,,,F,R,,,A,,*,*,F,,,,R,*,*,,,,*,F,,,,*,,,,,R,,,,,R,,,,,375,U1518,E,7,H,CC,PAL,a45b61cf6a2434030dd460d546e54017
375-U1518E-8H-CC-PAL-NANNO,0,5,56.3,56.35,M/P,C,,,,F,,,R,,,,,,,C,F,*,,*,,,,*,,,,,,,F,,,*,R,F,F,,,,,,,,,,,,,,,R,,,C,F,*,*,F,,F,,,*,*,,,*,*,,,,,,,,,,,,,,,R,,,,,375,U1518,E,8,H,CC,PAL,c278defbe3c3225ef3ce16759d3b31c3
375-U1518E-10H-CC-PAL-NANNO,0,5,63.21,63.26,M/P,C,,,,F,,,,,,,*,,,C,F,,*,*,,,,*,,,,,,,,,,*,,F,C,,C,,,,,,,,,,,,,,,,F,F,,*,,,F,R,R,*,*,,,,,F,,,,*,,,*,,,,*,,,,,,,,375,U1518,E,10,H,CC,PAL,d5e48e1076b17c16df630bc8fc2f8cd8
375-U1518E-12F-CC-PAL-NANNO,0,5,72.51,72.56,M,C,,,,R,,,,,,*,,,,C,F,,,*,,,,*,,*,,,,,F,,,*,,F,C,,R,,,,,,,,,,,,,,,,F,,,*,C,,,,,*,*,,,*,,,,,,,,,*,,,,,,,,,,,,375,U1518,E,12,F,CC,PAL,ac59d21b76e403434be584bef9bc1fb1
