Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,Mixing,Artophormis dominasinensis,Lychnocanoma turgidum,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Lophocyrtis jacchia,Podocyrtis papalis,Cryptocarpium azyx,Thyrsocyrtis lochites,Dorcadospyris copelata n. sp.,Spongatractus pachystylus,Anthocyrtoma spp.,Calocycloma ampulla,Thyrsocyrtis bromia,Thyrsocyrtis tetracantha,Zygocircus cimelium,Rhopalocanium ornatum,Theocyrtis careotuberosa n. sp.,Dorcadospyris ombros n. sp.,Tristylospyris triceros,Theocotyle ficus,Dorcadospyris anastasis n. sp.,Dictyophimus craticula,Calocyclas turris,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. gr.,Podocyrtis apeza,Thyrsocyrtis krooni,Dictyoprora pirum,Lithochytris vespertilio,Dictyoprora armadillo,Sethochytris triconiscus,Lithocyclia aristotelis gr.,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Artophormis barbadensis,Podocyrtis ampla,Zealithapium mitra,Zealithapium anoectum,Cryptocarpium ornatum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Spongatractus balbis,Eusyringium fistuligerum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Thyrsocyrtis triacantha,Comments,File data,eodp_id
320-U1331A-4H-2-W 104/106,320,U1331,A,4,4-2,H,2,W,104/106,0,0,26.74,26.74,A,M,2,,,R,,R,,R,R,R,,,,,,,,F,R,R,,,,,,,,,,,,R,,R,,,,R,,R,,F,,,,,,,,,R,,,,,,,,,,,,,,R,,,f8725fbd0c443ed33bf1ab77ccbc75cb
320-U1331A-4H-4-W 104/106,320,U1331,A,4,4-4,H,4,W,104/106,0,0,29.74,29.74,A,M,2,,,R,R,R,,R,R,R,,,,R,R,,,R,R,R,,,,,,,,,,,,R,,R,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,02abb6b8c2e5002286a4e31769b88fcb
320-U1331A-4H-CC,320,U1331,A,4,4-CC,H,CC,,,0,0,34.14,34.14,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,R,R,,,,,,R,,R,,R,,R,,,,,,,R,,R,,,R,,,R,,,,R,,,R,,,,,,,7e2db7a629ee71f614cc08129de9155d
320-U1331A-5H-2-W,320,U1331,A,5,5-2,H,2,W,,0,0,35.2,35.2,A,G,1,,R,R,R,R,R,R,C,R,,,,R,F,,,R,R,R,,,R,R,R,,,,R,,,R,,R,R,,,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,e202143aa408081202d5ee0703590089
320-U1331A-5H-4-W,320,U1331,A,5,5-4,H,4,W,,0,0,38.2,38.2,A,G,1,,R,R,R,R,R,R,F,R,,,,R,F,,,R,R,R,,,R,R,,,,,R,,,R,,R,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,eeeb885e1c74772e0beb522388d8ec1c
320-U1331A-5H-CC-PAL,320,U1331,A,5,5-CC,H,CC,PAL,,0,0,42.97,42.97,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,412b02ab50d3401e156d9cea7d43f5ba
320-U1331A-6H-2-W,320,U1331,A,6,6-2,H,2,W,,0,0,44.7,44.7,A,G,2,,R,R,R,,R,R,R,,,,,R,,,R,R,R,R,,R,R,,,,,,,,,R,,R,R,,,R,,R,,R,,,,R,,,,,R,,,,,,,,,,,,,,R,,,5c11bcd9125ee326e0a326ac013a0d1f
320-U1331A-6H-4-W,320,U1331,A,6,6-4,H,4,W,,0,0,47.7,47.7,A,G,2,,R,R,R,,R,,,,R,,,R,,,R,R,R,R,,R,R,,R,R,,R,,,R,R,,R,R,,R,R,R,,,R,,R,R,R,,,,,R,,R,,,,,,R,,,,,,R,,,2c58a93cb94924c957c5e47dc1417d05
320-U1331A-6H-CC-PAL,320,U1331,A,6,6-CC,H,CC,PAL,,0,0,52.6,52.6,,,,,R,,R,,R,,,,R,,,,,R,R,,R,,,R,R,,F,R,,R,,,R,,R,,,,,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,R,R,,,bd960317401736e3bd9e9ca57eae0148
320-U1331A-7H-2-W 95/97,320,U1331,A,7,7-2,H,2,W,95/97,0,0,55.15,55.15,A,G,1,,,R,R,,,,,,R,R,R,,,R,R,R,R,,,R,,,R,R,,R,,R,,R,,VR,R,,VR,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,e95e7803ec9529b1322b2688c30faafe
