Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1485A-1H-CC,0,24,7.34,7.58,E,,1,,,,,,,2,22,2,,,,,,,3,4,,,3,,,,,,3,,,,,,,,,,,,,,,7,2,,5,,,,,4,3,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,CC,,567ac3feccb49c81eeaeb7c17ec1f4cb
363-U1485A-2H-CC,0,20,17.16,17.36,E,,1,,,,,,,,7,8,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,,,,,,,,,,,6,,8,,,,,,,,,,,,,363,U1485,A,2,H,CC,,a0b368996afc3376db2f266e363d756e
363-U1485A-3H-CC,0,29,26.89,27.18,E,,1,,,,,,,,,9,,,,,,4,,,,,7,,,,,,,,,,,,,,,,,,,7,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,,,,,,,2,,,9,,4,,,,,,,,,,,,,363,U1485,A,3,H,CC,,88205ff878c743e544fcdff07823ceb7
363-U1485A-4H-CC,0,38,36.23,36.61,E,,1,,,,,,,,12,11,,,,,,,,6,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,10,,,5,,21,,,,,,,,,,,,,363,U1485,A,4,H,CC,,d5234fdf6a053873207b28f38ee79474
363-U1485A-5H-CC,0,42,45.62,46.04,E,,1,,,,,,,,22,12,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,,4,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,10,,,7,,22,,,,,,,,,,,,,363,U1485,A,5,H,CC,,c14ca6f2199b5af9f1b360a1338e0b3c
363-U1485A-6H-CC,0,40,55.37,55.77,E,,1,,,,,,,,31,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,7,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,14,,,9,,32,,,,,,,,,,,,,363,U1485,A,6,H,CC,,b69d267c96420299fe566334adf9fcff
363-U1485A-7H-CC,0,42,64.64,65.06,E,,1,,,,,,,,6,2,,,,,,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,4,,,3,,,,,,,,,,,,,,,,4,,,2,,7,,,,,,,,,,,,,363,U1485,A,7,H,CC,,f7041158d9f2f7d3d6577800aa3e658d
363-U1485A-8H-CC,0,29,74.78,75.07,E,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,8,H,CC,,f39f844cd1467e661cf7192a407e2072
363-U1485A-9H-CC,0,41,84.13,84.54,E,,1,,,,,,,4,12,7,,,,,,,,6,,,8,,,,,,1,,,,,,4,,,,,,1,4,,,1,,,,,,1,1,,,6,,,,,,,,,,,,,2,,,,,,,,,,,6,,,,3,,,,,,2,,,,,,,,,10,,,5,,21,,,,,,,,,,,,,363,U1485,A,9,H,CC,,f4d8ca1b6465fafdbb449457b0340459
363-U1485A-10H-CC,0,26,93.47,93.73,E,,1,,,,,,,,12,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,12,,,11,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,363,U1485,A,10,H,CC,,d78b3ce4385e6a862c1a5e270be2d5c6
