Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,,eodp_id
320-U1334A-16H-4-W 104/106,320,U1334,A,16,16-4,H,4,W,104/106,104,106,147.78,147.8,,,,1,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea4082c9e0aecf42a1658592b1b6662a
320-U1334A-16H-CC-PAL-RADS,320,U1334,A,16,16-CC,H,CC,PAL,RADS,0,0,149.57,149.57,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79ba4900e540cfcb8a6328be642abb79
320-U1334A-17H-2-W 105/107,320,U1334,A,17,17-2,H,2,W,105/107,105,107,154.3,154.32,RP21,F,M,,,,,R,R,,,,R,vR,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,R,,,,,,ed790fc151390be77c8355e310f66d5a
320-U1334A-17H-4-W 105/107,320,U1334,A,17,17-4,H,4,W,105/107,105,107,157.3,157.32,RP21,F,P,,,,,R,R,,,,R,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,R,,,,,,1b548aa494d03bf706eae934bf0f6449
320-U1334A-17H-CC-PAL-RADS,320,U1334,A,17,17-CC,H,CC,PAL,RADS,0,0,158.96,158.96,,C,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32ef90447c6e76bb7e5edd7ec3311e7c
320-U1334A-18H-2-W 105/107,320,U1334,A,18,18-2,H,2,W,105/107,105,107,163.8,163.82,RP21,C,M,2,,,R,R,R,vR,,,R,,vR,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,52abc60930e2680c556d46acf79fa303
320-U1334A-18H-4-W 105/107,320,U1334,A,18,18-4,H,4,W,105/107,105,107,166.8,166.82,RP21,F,P,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,916725bfd18283c1d3946ed11e667b87
320-U1334A-18H-CC-PAL-RADS,320,U1334,A,18,18-CC,H,CC,PAL,RADS,0,0,170.17,170.17,,,,,-,,,,,-,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,02aaa27a20940522b2d704c42aed82a6
320-U1334A-19H-2-W,320,U1334,A,19,19-2,H,2,W,,105,107,172.17,172.19,RP21?,C,P,2,R,R,-,R,-,,,,R,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,7429f95d4c432a363e617921e7e6bc22
320-U1334A-19H-4-W,320,U1334,A,19,19-4,H,4,W,,105,107,175.17,175.19,RP21?,F,P,2,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,f3ccb15698bf381a61bc0cd5a7d23511
320-U1334A-19H-CC-PAL-RADS,320,U1334,A,19,19-CC,H,CC,PAL,RADS,0,0,178.49,178.49,RP21,A,G,,R,,R,R,R,R,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,77b608d78d636aa1365c89e969e3fcb2
320-U1334A-20H-2-W,320,U1334,A,20,20-2,H,2,W,,105,107,181.75,181.77,RP21?,F,P,2,R,R,,,,R,,,R,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,06cd434243d67a70db79b7d71ef4ae68
320-U1334A-20H-4-W,320,U1334,A,20,20-4,H,4,W,,105,107,184.75,184.77,RP21?,F,P,2,R,R,,,,R,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,212444834f4fed2b8bcd5382b109db26
320-U1334A-20H-CC-PAL-RADS,320,U1334,A,20,20-CC,H,CC,PAL,RADS,0,0,188.63,188.63,RP21,F,M,1,R,R,R,R,R,R,R,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,d1f92d8e862e00ce0a8cb36f1f3ef611
320-U1334A-21H-2-W,320,U1334,A,21,21-2,H,2,W,,105,107,191.25,191.27,RP20,F,P,1,,R,,R,,R,,,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,c320807b9330af7c20361c03de4ab309
