Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina frontosa,Subbotina eocaena,Subbotina bolivariana,Pseudohastigerina micra,Morozovella spinulosa,Morozovella densa,Globigerinatheka subconglobata,Globigerinatheka senni,Globigerinatheka index,Chiloguembelina spp.,Acarinina topilensis,Acarinina matthewsae,Acarinina collactea,Acarinina bullbrooki,Orbulinoides beckmanni,Globorotaloides carcoselleensis,Acarinina spinuloinflata,Acarinina rohri,Acarinina primitiva,Hantkenina liebusi,Catapsydrax unicavus,Acarinina libyaensis,Subbotina inaequispira,Hantkenina dumblei,Globigerinatheka tropicalis,Turborotalia pomeroli,Turborotalia cerroazulensis,Hantkenina alabamensis,Clavigerinella eocanica,Dentoglobigerina galavisi,Globoquadrina tripartita,Globigerinatheka semiinvoluta,Subbotina angiporoides,Turborotalia increbescens,Globorotaloides suteri,Turborotalia cocoaensis,Turborotalia ampliapertura,Tenuitella munda,Subbotina praeturritilina,Cribrohantkenina lazarii,Cribrohantkenina inflata,Tenuitella gemma,Turborotalia cunialensis,Pseudohastigerina naguewichiensis,Globoquadrina pseudovenezuelana,Paragloborotalia nana,Cassigerinella chipolensis,Guembelitria spp.,Tenuitella clemenciae,Tenuitella angustiumbilicata,Catapsydrax dissimilis,Globoquadrina sellii,Globigerina ciperoensis,Globigerina praebulloides,Dentoglobigerina larmeui,Paragloborotalia opima,Globoquadrina praedehiscens,Dentoglobigerina globularis,Globigerina fariasi,Subbotina gortanii,Globigerina angulisuturalis,Globigerina anguliofficinalis,Protentella sp.,Paragloborotalia mayeri,Globoquadrina venezuelana,Dentoglobigerina baroemoenensis,Globorotaloides variabilis,Globigerinoides primordius,Zeaglobigerina woodi,Paragloborotalia pseudokugleri,Globigerinella obesa,Cassigerinella chilolensis (>15 microns),Zeaglobigerina connecta,Paragloborotalia kugleri,Globigerinita uvula,Globigerinita glutinata,Globigerinoides trilobus,Globigerinoides altiapertura,Globoquadrina dehiscens,Paragloborotalia continuosa,Globoquadrina binaiensis,Globigerinella praesiphonifera,Fohsella birnageae,Dentoglobigerina altispira,Globigerinoides obliquus,Globigerinatella sp.,Streptochilus spp.,Globigerinoides ruber,Catapsydrax stainforthi,Globorotalia praescitula,Globigerinatella insueta,Praeorbulina sicana,Praeorbulina curva,Globigerinoides bisphericus,Fohsella peripheroronda,Praeorbulina glomerosa,Globorotalia archeomenardii,Praeorbulina circularis,Orbulina universa,Globigerinoides mitra,Clavatorella bermudezi,Globigerinoides sacculifer,Sphaeroidinellopsis seminulina,Globorotalia praemenardii,Fohsella peripheroacuta,Fohsella praefohsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N11               ,              ,154, 925,A,  3,R, 2,  75.00,    305.9500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,R                  ,R                      ,C                       ,                            ,R                      ,                           ,                        ,R                             ,                  ,F                         ,F                       ,                    ,                  ,R                    ,                       ,                        ,                        ,                   ,                  ,                           ,                       ,                      ,                           ,                       ,R                ,R                    ,                      ,                          ,R                             ,                         ,F                      ,F                 ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N10               ,              ,154, 925,A,  3,R, 3,  80.00,    307.5000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,                         ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,F                       ,                            ,R                      ,                           ,                        ,R                             ,                  ,F                         ,R                       ,                    ,                  ,                     ,                       ,                        ,                        ,                   ,                  ,                           ,                       ,                      ,R                          ,                       ,R                ,R                    ,                      ,                          ,R                             ,R                        ,F                      ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N10               ,              ,154, 925,A,  4,R, 2,  75.00,    315.9500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,                     ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,C                       ,                            ,R                      ,                           ,                        ,R                             ,                  ,F                         ,R                       ,                    ,                  ,                     ,                       ,R                       ,                        ,                   ,                  ,                           ,F                      ,                      ,R                          ,                       ,R                ,R                    ,R                     ,                          ,F                             ,R                        ,R                      ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N9                ,              ,154, 925,A,  4,R, 3,  77.00,    317.4700,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,                    ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,F                       ,                            ,R                      ,R                          ,                        ,R                             ,                  ,R                         ,F                       ,                    ,                  ,                     ,                       ,                        ,                        ,                   ,                  ,                           ,F                      ,                      ,R                          ,                       ,R                ,                     ,R                     ,                          ,R                             ,R                        ,                       ,                  ,from Leg 154 Ch 2 Table 3
