Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica,Coccolithus pelagicus,Reticulofenestra small-sized,Sphenolithus abies,Pontosphaera sp.,Calcidiscus leptoporus,Cyclicargolithus floridanus,Placolith (small),Helicosphaera carteri,Helicosphaera sellii,Dictyococcites bisectus,Pseudoemiliania lacunosa,Dictyococcites sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C,  2,H,CC,  12.00,     12.8400,Olafsson ,Nannofossils                                 ,R              ,M                 ,                               ,R                    ,                            ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C,  4,H,CC,  15.00,     30.6800,Olafsson ,Nannofossils                                 ,R              ,M                 ,                               ,R                    ,                            ,                  ,                ,                      ,                           ,R                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C,  6,H,CC,  19.00,     50.5200,Olafsson ,Nannofossils                                 ,R              ,M                 ,                               ,                     ,                            ,                  ,                ,                      ,                           ,R                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C,  9,H,CC,  20.00,     79.3400,Olafsson ,Nannofossils                                 ,F              ,M                 ,                               ,F                    ,                            ,                  ,                ,                      ,                           ,R                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 11,H,CC,  20.00,     98.5600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                               ,C                    ,                            ,                  ,                ,                      ,                           ,C                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 12,H,CC,   6.00,    107.6200,Olafsson ,Nannofossils                                 ,C              ,G                 ,                               ,F                    ,F                           ,                  ,                ,                      ,                           ,C                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 13,H,CC,   8.00,    117.5500,Olafsson ,Nannofossils                                 ,A              ,G                 ,                               ,C                    ,A                           ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,F                 ,from Leg 145 SR; Ch 39; Table 10; p. 624
