Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globigerina bulloides,Turborotalita quinqueloba,Globigerinita uvula uvula,Globigerinita uvula minuta,Globigerinita glutinata,Globorotalia scitula,Orbulina universa bilobata,Orbulina universa,Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1036,B,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,R                    ,R                        ,                         ,                          ,                       ,                    ,                          ,                 ,R                                    ,"Anhydrite dominates with radiolarians, diatoms, and very rare foraminifers."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1036,B,  1,H, 1,  42.00,      0.4200,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                                      ,C                    ,F                        ,R                        ,R                         ,                       ,                    ,R                         ,R                ,F                                    ,Foraminifers dominate with diatoms and radiolarians.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1036,B,  1,H, 2,   0.00,      1.5000,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                                      ,A                    ,F                        ,F                        ,C                         ,F                      ,R                   ,                          ,                 ,                                     ,Planktonic foraminifers dominate.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1036,B,  1,H,CC,  18.00,      8.6700,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                                      ,C                    ,C                        ,F                        ,F                         ,F                      ,                    ,                          ,                 ,                                     ,"Dominated by planktonic foraminifers with few deep water benthonic foraminifers and a few shallow types;  with tubes of pyrite crystals, some green tubes."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1036,B,  2,H,CC,  24.00,     18.6100,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,C                                      ,F                    ,                         ,                         ,                          ,                       ,                    ,                          ,                 ,                                     ,"Pyrite dominates with agglutinated foraminifers, calcite benthonic foraminifers, and few planktonic foraminifers which have overgrowths. Anhydrite or gypsum crystals."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
