Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira spp.,Thalassionema spp.,Rossiella symmetrica,Rocella vigilans,Rhaphoneis sp.,Melosira architecturalis,Hemiaulus sp.,Hemiaulus longicornis,Diatom resting spores,Coscinodiscus spp.,Coscinodiscus rhombicus,Cestodiscus spp.,Cestodiscus sp. 4,Cestodiscus japonicus,Azpeitia tabularis,Thalassiosira sp.,Thalassiosira media/convexa,Synedra jouseana,Sceptroneis sp.,Rouxia quadrangula,Rhizosolenia sp. aff. alata,Hemiaulus subacutus,Grammatophora sp.,Ethmodiscus sp.,Coscinodiscus marginatus,Coscinodiscus lewisianus var. rhomboides,Baxteriopsis brunii,Azpeitia spp.,Azpeitia oligocenica,Asteromphalus oligocenicus,Actinocyclus senarius,Rocella princeps,Cestodiscus sp. 3,Bogorovia veniamini / Rossiella symmetrica,Bogorovia veniamini,Azpeitia aff. Thalassiosira bukryi,Asterolampra sp.,Asterolampra aff. acutiloba,Stephanopyxis sp.,Asteromphalus sp.,Asterolampra marylandica,Melosira granulata s.l. (freshwater),Hemiaulus sp. 1,Stellarima sp.,Dimerogramma sp. aff. D. fulvum,Craspedodiscus barronii,Lisitzinia ornata,Coscinodiscus lewisianus,Azpeitia salisburyana,Azpeitia praenodulifera,Rhizosolenia sp. aff. Rhizosolenia hebetata,Cestodiscus kugleri,Thalassiosira primalabiata,Thalassiosira aff. irregulata,Rossiella paleacea,Raphidodiscus marylandicus,Cestodiscus ovalis,Rossiella magna,Actinocyclus octonarius,Azpeitia nodulifer var.,Asterolampra insignis group,Thalassiosira spinosa,Thalassiosira leptopus,Craspedodiscus elegans,Thalassiosira spumellaroides,Thalassiosira sp. aff. T. fraga (fine),Paralia sulcata,Bogorovia sp. 1 (small forms),Rhizosolenia firma,Craspedodiscus elegans var. assymmetricus,Bacteriastrum sp.,Actinocyclus aff. ellipticus,Cestodiscus sp. 1,Nitzschia pusilla,Thalassiosira fraga,Coscinodiscus sawamurae,Nitzschia aff. maleinterpretaria,Thalassiothrix longissima,Thalassionema nitzschioides,Rhizosolenia bergonii,Nitzschia fossilis,Freshwater diatoms,Ethmodiscus rex,Thalassiosira oestrupii,Thalassiosira lineata (group),Thalassiosira eccentrica,Thalassiosira convexa var. aspinosa,Thalassionema nitzschioides  var. parva,Thalassionema bacillaris,Rhizosolenia praebergonii var. robusta,Rhizosolenia praebergonii var. praebergonii,Nitzschia reinholdii,Nitzschia marina,Nitzschia interrupta,Hemidiscus cuneiformis,Azpeitia nodulifer,Azpeitia africana,Actinocyclus ellipticus,Dictyocha spp.,Benthic diatoms,Triceratium cinnamomeum,Cyclotella sp.,Coscinodiscus spp.,Asteromphalus arachne,Asteromphalus aff. hepactis,Rhizosolenia styliformis,Pseudoeunotia doliolus,Phytholiths (unspecified taxon),Nitzschia sicula,Roperia tesselata,Thalassiosira lacustris (group),Actinocyclus curvatulus,Rhizosolenia alata,Azpeitia endoi,Actinocyclus ellipticus var. elongatus,Actinocyclus spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  1,H, 1,  63.00,      0.6300,Fourtanier,Diatoms                                      ,A              ,G                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,R                ,               ,                        ,                                        ,                   ,             ,                    ,                          ,R                    ,                ,                 ,                                          ,                   ,                                  ,F               ,                           ,                 ,R                ,F                       ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,F                      ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,F                ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,C                          ,F                    ,                  ,                  ,C              ,C                      ,F                            ,F                       ,                                   ,C                                      ,                        ,                                      ,                                           ,                    ,F               ,C                   ,R                     ,C                 ,C                ,                       ,F             ,               ,                       ,F             ,                  ,                     ,                           ,R                       ,F                     ,R                              ,F               ,C                ,                               ,R                      ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  1,H, 2,  67.00,      2.1700,Fourtanier,Diatoms                                      ,A              ,G                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,F                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,R                ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,R                       ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,R                      ,                       ,                           ,                     ,R                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,F                ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,                  ,                  ,F              ,C                      ,R                            ,F                       ,                                   ,C                                      ,F                       ,                                      ,                                           ,                    ,C               ,C                   ,R                     ,F                 ,F                ,                       ,F             ,               ,R                      ,C             ,R                 ,                     ,R                          ,R                       ,F                     ,R                              ,R               ,R                ,F                              ,R                      ,                  ,              ,R                                     ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  1,H, 3,  63.00,      3.6300,Fourtanier,Diatoms                                      ,C              ,G                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,R                ,               ,                        ,                                        ,                   ,             ,                    ,                          ,F                    ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,R                ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,R                      ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,R              ,                             ,                  ,                                         ,F                ,                            ,                 ,                 ,                   ,                       ,                                ,                         ,C                          ,F                    ,                  ,R                 ,F              ,C                      ,                             ,F                       ,                                   ,C                                      ,                        ,                                      ,                                           ,                    ,C               ,C                   ,F                     ,C                 ,F                ,                       ,              ,               ,R                      ,F             ,R                 ,                     ,                           ,R                       ,F                     ,R                              ,R               ,F                ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  1,H, 4,  67.00,      5.1700,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,F                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,R                       ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,R                      ,                       ,                           ,                     ,                      ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,R                ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,                  ,                  ,F              ,C                      ,F                            ,F                       ,                                   ,C                                      ,                        ,                                      ,                                           ,                    ,C               ,C                   ,F                     ,C                 ,F                ,                       ,R             ,               ,                       ,F             ,F                 ,R                    ,R                          ,F                       ,F                     ,                               ,R               ,F                ,F                              ,                       ,                  ,              ,                                      ,R                ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
