Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Dictyococcites scrippsae	Dictyococcites bisectus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus pelagicus	Clausicoccus fenestratus	Chiasmolithus oamaruensis	Chiasmolithus altus	Sphenolithus moriformis	Cyclicargolithus abisectus	Braarudosphaera bigelowii	Sphenolithus heteromorphus	Umbilicosphaera sibogae	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Helicosphaera carteri	Calcidiscus premacintyrei	Scyphosphaera spp.	Pontosphaera pachymorpha	Reticulofenestra minuta	Discoaster variabilis	Coronocyclus nitescens	Calcidiscus macintyrei	Rhabdosphaera stylifera	Coccolithus miopelagicus	Small Gephyrocapsa spp.	Dictyococcites productus	Pseudoemiliania lacunosa	Pontosphaera japonica	Comment



  IR	                 	                 	NN19              	NN19          	182	1132	C	  1	R	CC	  16.00	    165.1700	Shafik   	Nannofossils                                 	C              	M                 	                       	                        	                       	                          	                           	                     	                        	                         	                   	                       	                          	R                        	                          	                       	C                     	                                	F                    	                         	                  	                        	A                      	                     	                      	                      	                       	                        	F                      	                        	C                       	R                    	       

  IR	                 	                 	NN19              	NN19          	182	1132	C	  2	R	CC	  17.00	    174.1700	Shafik   	Nannofossils                                 	C              	M                 	                       	                        	                       	                          	                           	                     	                        	                         	                   	                       	                          	R                        	                          	                       	C                     	                                	F                    	                         	                  	                        	                       	                     	                      	                      	                       	                        	D                      	C                       	                        	                     	       

  IR	                 	Middle Miocene   	                  	              	182	1132	C	  3	R	CC	   7.00	    255.8700	Shafik   	Nannofossils                                 	C              	P                 	                       	                        	                       	C                         	R                          	                     	                        	                         	                   	C                      	C                         	                         	                          	                       	F                     	R                               	F                    	R                        	F                 	                        	                       	                     	                      	                      	                       	                        	                       	                        	                        	                     	Discoasters are very rare & heavily calcified

  IR	                 	                 	                  	              	182	1132	C	  5	R	CC	   6.00	    274.6600	Shafik   	Nannofossils                                 	C              	P                 	                       	                        	                       	C                         	R                          	                     	                        	                         	                   	                       	C                         	                         	                          	                       	F                     	R                               	F                    	                         	F                 	R                       	                       	                     	                      	F                     	                       	F                       	                       	                        	                        	                     	Discoasters are very rare & heavily calcified

  IR	                 	                 	                  	              	182	1132	C	  7	R	CC	  10.00	    293.2000	Shafik   	Nannofossils                                 	C              	P                 	                       	                        	                       	C                         	C                          	                     	                        	                         	                   	                       	C                         	                         	                          	                       	F                     	                                	                     	                         	                  	                        	                       	                     	                      	                      	                       	F                       	                       	                        	                        	                     	       

  IR	                 	                 	                  	              	182	1132	C	  9	R	CC	   0.00	    312.0000	Shafik   	Nannofossils                                 	F              	P                 	                       	                        	                       	F                         	F                          	                     	                        	                         	                   	F                      	F                         	                         	                          	                       	                      	                                	                     	                         	                  	                        	                       	                     	                      	                      	                       	                        	                       	                        	                        	                     	       

