Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
108, 664,D,Post Moratorium          ,      15.650,    0.460000,LO Pseudoemiliania lacunosa
,,,,,,
108, 664,D,Post Moratorium          ,      54.550,    1.300000,LO Globigerinoides obliquus extremus
,,,,,,
108, 664,D,Post Moratorium          ,      64.050,    1.450000,LO Calcidiscus macintyrei
,,,,,,
108, 664,D,Post Moratorium          ,      73.550,    1.890000,LO Discoaster brouweri
,,,,,,
108, 664,D,Post Moratorium          ,      83.050,    1.875000,FO Globorotalia truncatulinoides
,,,,,,
108, 664,D,Post Moratorium          ,      91.100,    2.070000,FO acme Discoaster triradiatus
,,,,,,
108, 664,D,Post Moratorium          ,      92.550,    2.080000,LO Globorotalia exilis
,,,,,,
108, 664,D,Post Moratorium          ,     100.900,    2.350000,LO Discoaster pentaradiatus
,,,,,,
108, 664,D,Post Moratorium          ,     102.050,    2.450000,LO Discoaster surculus
,,,,,,
108, 664,D,Post Moratorium          ,     116.300,    2.600000,LO Globorotalia puncticulata
,,,,,,
108, 664,D,Post Moratorium          ,     121.050,    2.650000,LO Discoaster tamalis
,,,,,,
108, 664,D,Post Moratorium          ,     130.550,    2.900000,LO Dentogloboquadrina altispira
,,,,,,
108, 664,D,Post Moratorium          ,     158.500,    3.450000,LO Sphenolithus spp.
,,,,,,
108, 664,D,Post Moratorium          ,     163.400,    3.560000,LO Reticulofenestra pseudoumbilica
,,,,,,
108, 664,D,Post Moratorium          ,     178.050,    3.880000,LO Globorotalia margaritae
,,,,,,
108, 664,D,Post Moratorium          ,     205.650,    4.600000,FO Ceratolithus rugosus
,,,,,,
108, 664,D,Post Moratorium          ,     216.050,    4.700000,FO Globorotalia miocenica
,,,,,,
108, 664,D,Post Moratorium          ,     224.850,    5.000000,FO Ceratolithus acutus
,,,,,,
108, 664,D,Post Moratorium          ,     229.500,    5.600000,LO Discoaster quinqueramus
,,,,,,
108, 664,D,Post Moratorium          ,     234.050,    5.650000,LO Amaurolithus amplificus
,,,,,,
108, 664,D,Post Moratorium          ,     253.250,    5.900000,FO Amaurolithus amplificus
,,,,,,
108, 664,D,Post Moratorium          ,     261.900,    6.500000,FO Amaurolithus primus
,,,,,,
108, 664,D,Post Moratorium          ,     284.000,    8.200000,FO Discoaster quinqueramus
,,,,,,
108, 664,D,Post Moratorium          ,     295.150,    8.900000,LO Discoaster hamatus
,,,,,,
108, 664,D,Post Moratorium          ,     295.200,   10.000000,FO Discoaster hamatus
,,,,,,
