Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xanthiopyxis sp.	Thalassiothrix longissima	Thalassiosira oestrupii var. oestrupii	Stephanodiscus sp.	Rouxia californica	Neodenticula seminae	Neodenticula kamtschatica	Aulacoseira sp.	Thalassiosira jouseae	Thalassionema nitzschioides	Thalassiosira lineata	Thalassionema nitzschioides  var. parva	Nitzschia bicapitata	Navicula sp.	Fragilariopsis doliolus	Ethmodiscus sp. (fragments)	Fragilaria sp.	Thalassiosira sp.	Stephanopyxis turris	Resting spores (excluding Chaetoceros)	Rhizosolenia hebetata	Pyxilla reticulata	Thalassiosira oestrupii var. plana	Thalassiosira leptopus	Eunotia sp.	Odontella aurita	Azpeitia nodulifera	Asteromphalus elegans	Rhizosolenia styliformis	Rhaphoneis surirelloides	Paralia sulcata	Epithemia sp.	Diploneis sp.	Cyclotella radiosa	Cyclotella (unspecified taxon)	Thalassiosira eccentrica	Thalassiosira anguste-lineata	Nitzschia sicula	Nitzschia marina	Nitzschia interruptestriata	Nitzschia braarudii	Cyclotella litoralis	Coscinodiscus radiatus	Chaetoceros messanensis	Azpeitia neocrenulata	Azpeitia africana	Actinocyclus octonarius	Coscinodiscus sp.	Azpeitia tabularis	Thalassionema bacillaris	Chaetoceros sp.	Actinoptychus senarius	Actinocyclus tenellus	Coscinodiscus pacificus	Stellarima microtrias	Roperia tesselata	Actinocyclus sp. 1	Rhizosolenia bergonii	Planktoniella  sol	Nitzschia kolackzeckii	Cocconeis sp.	Asterolampra marylandica	Actinoptychus splendens	Navicula directa	Hemidiscus sp.	Hemidiscus cuneiformis var.	Bacteriastrum sp.	Coscinodiscus gigas	Diploneis bombus	Thalassionema nitzschioides var. obtusa	Coscinodiscus marginatus	Asteromphalus hookeri	Thalassiosira decipiens	Rhizosolenia setigera	Actinocyclus curvatulus	Thalassiosira sp. 1	Hemidiscus cuneiformis	Denticulopsis lauta	Actinocyclus ingens	Actinocyclus ellipticus	Pseudotriceratium cinnamomeum	Thalassiosira gravida	Simonseniella barboi	Coscinodiscus argus	Cymbella sp.	Thalassiosira ferelineata	Rossiella tatsunokuchiensis	Achnanthes sp.	Pinn* spp.	Thalassiosira latimarginata	Comment



  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	   0.00	      0.0000	Fenner   	Diatoms                                      	               	                  	                	R                        	                                      	                  	                  	S                   	                         	R              	                     	F                          	S                    	C                                      	R                   	S           	S                      	                           	              	F                	                    	                                      	R                    	                  	R                                 	                      	           	S               	                   	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	R               	S                          	                   	S                   	S                     	F                      	R                    	S                	R                      	                 	                  	R                       	C              	S                     	                     	                       	                     	F                	                  	S                    	R                 	                      	             	                        	                       	                	              	                           	S                	                   	                	S                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	S         	S                          	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	   2.00	      0.0200	Fenner   	Diatoms                                      	               	                  	C               	S                        	S                                     	                  	                  	                    	                         	S              	                     	F                          	S                    	C                                      	S                   	R           	S                      	                           	              	S                	                    	S                                     	S                    	                  	S                                 	S                     	           	S               	F                  	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	R               	                           	S                  	                    	                      	C                      	S                    	S                	R                      	                 	                  	S                       	C              	R                     	                     	                       	                     	S                	                  	                     	S                 	                      	             	                        	                       	                	              	                           	                 	                   	                	F                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	R         	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	   4.00	      0.0400	Fenner   	Diatoms                                      	               	                  	D               	                         	                                      	                  	                  	                    	                         	               	                     	S                          	                     	S                                      	                    	            	                       	                           	              	S                	                    	F                                     	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	S                     	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	S             	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	   6.00	      0.0600	Fenner   	Diatoms                                      	               	                  	R               	R                        	                                      	                  	                  	                    	S                        	               	                     	R                          	                     	                                       	                    	            	                       	                           	S             	                 	                    	                                      	                     	                  	                                  	                      	           	                	F                  	                     	                        	S                       	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;
