Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus heteromorphus,Rhabdosphaera procera,Micrantholithus australiensis,Helicosphaera euphratis,Discoaster variabilis,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus macintyrei,Braarudosphaera bigelowii,Sphenolithus moriformis,Pontosphaera multipunctata,Helicosphaera kamptneri,Discoaster deflandrei,Hayaster perplexus,Sphenolithus grandis,Reticulofenestra pseudoumbilicus,Discoaster calcaris,Discoaster braarudii,Helicosphaera minuta,Helicosphaera granulata,Rhabdosphaera clavigera,Discoaster loeblichii,Calcidiscus leptoporus,Sphenolithus abies,Scyphosphaera lagena,Pontosphaera plana,Geminilithella rotula,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra haqii,Pontosphaera pachymorpha,Helicosphaera carteri,Dictyococcites antarcticus,Triquetrorhabdulus rugosus,Sphenolithus neoabies,Scyphosphaera pulcherrima,Scyphosphaera apsteinii,Rhabdolithus gladius,Coccolithus radiatus,Scyphosphaera globulosa,Minylitha convallis,Discoaster brouweri,Pontosphaera japonica,Discoaster toralis,Discoaster surculus,Discoaster pentaradiatus,Discoaster decorus,Discoaster challengeri,Amaurolithus primus,Helicosphaera sellii,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Small Gephyrocapsa spp.,Scyphosphaera recurvata,Reticulofenestra asanoi,Umbilicosphaera sibogae,Scapholithus fossilis,Helicosphaera hyalina,Gephyrocapsa sinuosa,Gephyrocapsa protohuxleyi,Gephyrocapsa parallela,Gephyrocapsa caribbeanica,Gephyrocapsa aperta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,Quaternary       ,NN21              ,NN20          ,182,1126,C,  1,H,CC,   9.00,      8.4600,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,                       ,                     ,                           ,                     ,                      ,                         ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,R                      ,                     ,F                     ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,C                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,F                    ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,F                    ,                       ,                       ,                       ,R                      ,R                    ,F                    ,F                   ,F                        ,F                     ,C                        ,C                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN19              ,NN19          ,182,1126,C,  2,H,CC,   8.00,     17.9900,Shafik   ,Nannofossils                                 ,C              ,G                 ,                          ,                     ,                             ,                       ,                     ,                           ,F                    ,                      ,R                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,C                     ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,F                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,C                       ,                     ,D                      ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,Within the Small Gephyrocapsa spp. interval of Gartner (1977)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN19              ,NN19          ,182,1126,C,  3,H,CC,  13.00,     27.2800,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,                       ,                     ,                           ,F                    ,                      ,F                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,C                     ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,C                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,R                       ,                     ,A                      ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,Within the Small Gephyrocapsa interval of Gartner (1977)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN19              ,NN19          ,182,1126,C,  4,H,CC,  13.00,     37.2300,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,                       ,                     ,                           ,F                    ,                      ,F                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,F                      ,                     ,C                     ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,C                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,C                    ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,C                      ,F                      ,F                      ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,"With ascidian splicules, and reworked Coccolithus formosus from Paleogene"
