Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica,Sphenolithus abies,Discoaster variabilis,Discoaster brouweri,Discoaster bellus,Calcidiscus leptoporus,Reticulofenestra minutula,Discoaster quinqueramus,Discoaster surculus,Helicosphaera carteri,Discoaster pentaradiatus,Coccolithus pelagicus,Reticulofenestra minuta,Discoaster sp. (6-rayed),Triquetrorhabdulus rugosus,Scyphosphaera amphora,Helicosphaera sellii,Discolithina japonica,Discoaster neohamatus,Discoaster berggrenii,Cyclolithella protoannula,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus amplificus,Discoaster neorectus,Helicosphaera granulata,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus sp.,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Ceratolithus cristatus,Calcidiscus tropicus,Umbilicosphaera sibogae,Pontosphaera discopora,Helicosphaera neogranulata,Rhabdosphaera clavigera,Thoracosphaera sp.,Ceratolithus rugosus,Syracosphaera pulchra,Discoaster brouweri (3 ray),Gephyrocapsa oceanica s.l.,Helicosphaera wallichii,Discolithina sp.,Gephyrocapsa caribbeanica,Florisphaera sp.,Emiliania huxleyi,Cyclolithella annula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN15              ,CN14b         ,116, 719,A,  1,H, 1,  70.00,      0.7000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,F                     ,                         ,                       ,                   ,C                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,F                        ,F                     ,                    ,F                      ,                      ,                          ,                       ,                  ,                    ,R                    ,                           ,A                         ,                       ,                ,                         ,A               ,R                ,R                   ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN15              ,CN14b         ,116, 719,A,  1,H, 1, 100.00,      1.0000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,T                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,T                      ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,T                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN15              ,CN14b         ,116, 719,A,  2,X,CC,  26.00,      5.6900,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,T                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN15              ,CN14b         ,116, 719,A,  3,X,CC,   6.00,     13.7600,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
