Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides suteri,Globorotalia opima nana,Globorotalia mayeri/siakensis,Globoquadrina venezuelana,Globoquadrina tripartita,Globoquadrina sellii,Globoquadrina binaiensis,Globigerina euapertura,Globigerina ciperoensis,Globigerina angulisuturalis,Dentoglobigerina globularis,Dentoglobigerina galavisi,Catapsydrax dissimilis,Globorotalia pseudokugleri,Globorotalia kugleri,Globigerinoides ruber s.l.,Clavatorella bermudezi,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globigerinoides primordius,Globigerinita glutinata,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira globosa,Globigerinoides altiaperturus,Globigerinatella insueta,Catapsydrax stainforthi,Globigerinoides bisphericus,Globorotalia praescitula,Sphaeroidinellopsis disjuncta,Globigerinoides diminutus,Globorotalia peripheroronda,Globorotaloides variabilis,Praeorbulina sicana,Praeorbulina glomerosa curva,Globorotalia peripheroacuta,Orbulina suturalis,Globorotalia scitula,Globorotalia praefohsi,Globorotalia fohsi fohsi,Globorotalia miozea,Orbulina universa,Globorotalia fohsi robusta,Globorotalia fohsi lobata,Globorotalia menardii s.l.,Sphaeroidinellopsis seminulina,Globoturborotalita nepenthes,Globigerinoides obliquus obliquus,Globorotaloides hexagona,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Neogloboquadrina humerosa,Candeina nitida,Globigerinoides conglobatus,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia juanai,Globorotalia tumida tumida,Sphaeroidinella dehiscens,Globorotalia margaritae,Globorotalia tumida flexuosa,Beella digitata,Globorotalia crassaformis,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globoquadrina conglomerata,Globigerinoides elongatus,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 709,C,  1,H,CC,  10.00,      6.1000,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                      ,                       ,                             ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+?                        ,                      ,                         ,                           ,                       ,                                    ,                          ,+                      ,                            ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,                              ,                            ,                                 ,+?                      ,                            ,                    ,+                         ,                         ,                         ,                                 ,                         ,               ,+                          ,                     ,+                           ,                   ,+                         ,+                        ,                       ,                            ,+              ,+                        ,+                         ,                          ,+?                        ,+                        ,+                            ,                     ,benthic foraminifers rare. sponge spicules rare. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 709,C,  2,H,CC,  15.00,     15.3900,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                      ,                       ,                             ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+                         ,                      ,                         ,                           ,                       ,                                    ,                          ,                       ,                            ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,                              ,                            ,                                 ,+?                      ,                            ,                    ,+                         ,                         ,                         ,                                 ,+                        ,               ,+                          ,                     ,+                           ,                   ,+                         ,+                        ,                       ,                            ,               ,                         ,                          ,+?                        ,                          ,                         ,+?                           ,+                    ,benthic foraminifers few. ostracodes rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 709,C,  3,H,CC,  10.00,     25.0600,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+                         ,                      ,                         ,                           ,                       ,                                    ,                          ,+                      ,                            ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,                              ,                            ,                                 ,+?                      ,                            ,+                   ,+                         ,                         ,                         ,                                 ,+                        ,               ,+                          ,                     ,+                           ,                   ,+                         ,+                        ,                       ,                            ,               ,+                        ,+                         ,+                         ,+?                        ,+                        ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 709,C,  4,H, 1,  60.00,     25.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+                         ,                      ,                         ,                           ,                       ,                                    ,                          ,                       ,                            ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,                              ,                            ,                                 ,+?                      ,                            ,+                   ,+                         ,                         ,                         ,                                 ,+                        ,+              ,+                          ,                     ,+                           ,                   ,+                         ,+                        ,                       ,                            ,               ,+                        ,                          ,+                         ,+?                        ,+                        ,                             ,                     ,benthic foraminifers few. radiolarians common. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
