Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Theocotylissa ficus,Theocotyle venezuelensis,Theocotyle conica,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis sinuosa,Podocyrtis dorus,Phormocyrtis striata striata,Lophocyrtis biaurita,Lithocyclia ocellus,Lithochytris vespertilio,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Sethochytris bablylonis,Podocyrtis fasciolata,Lychnocanoma bellum,Podocyrtis mitra,Podocyrtis chalara,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Tristylospyris triceros,Podocyrtis goetheana,Lophocyrtis jacchia,Lithocyclia crux,Lithocyclia aristotelis,Dictyoprora pirum,Cryptoprora ornata,Carpocanistrum azyx,Calocyclas turris,Calocyclas bandyca,Lithocyclia angusta,Artophormis gracilis,Theocyrtis tuberosa,Artophormis barbadensis,Theocorys spongoconus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RP20              ,              ,115, 709,C, 29,X, 4,  70.00,    271.6000,Johnson  ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,                        ,-                      ,                  ,-                      ,                     ,-                  ,                ,                  ,                         ,-                  ,R                      ,                    ,-                  ,                ,-                      ,R                ,-                 ,                   ,                 ,                  ,R                  ,R                   ,F                  ,-                      ,-                    ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RP20              ,              ,115, 709,C, 29,X, 6,  70.00,    274.6000,Johnson  ,Radiolarians                                 ,F              ,M                 ,                       ,-                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,                        ,-                      ,                  ,-                      ,                     ,-                  ,                ,                  ,                         ,-                  ,F                      ,                    ,-                  ,R               ,-                      ,R                ,-                 ,                   ,                 ,                  ,R                  ,F                   ,F                  ,-                      ,-                    ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RP20              ,              ,115, 709,C, 29,X,CC,  12.00,    275.8300,Johnson  ,Radiolarians                                 ,F              ,P                 ,                       ,-                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,                        ,-                      ,                  ,-                      ,                     ,-                  ,                ,                  ,                         ,-                  ,F                      ,                    ,-                  ,R               ,-                      ,R                ,-                 ,                   ,                 ,                  ,R                  ,F                   ,F                  ,-                      ,-                    ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 30,X, 2,  70.00,    278.3000,Johnson  ,Radiolarians                                 ,F              ,M                 ,                       ,-                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,                        ,C                      ,                  ,C                      ,                     ,R                  ,                ,                  ,-                        ,-                  ,F                      ,                    ,R                  ,F               ,R                      ,R                ,R                 ,-                  ,-                ,-                 ,VR                 ,-                   ,R                  ,R                      ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 30,X,CC,  46.00,    284.7500,Johnson  ,Radiolarians                                 ,C              ,G                 ,                       ,-                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,-                       ,C                      ,-                 ,C                      ,                     ,F                  ,                ,                  ,-                        ,-                  ,F                      ,                    ,R                  ,                ,C                      ,R                ,R                 ,-                  ,-                ,-                 ,R                  ,-                   ,F                  ,R                      ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
