Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tsuga taxa,Sphagnum taxa,Quercus taxa,Polypodiaceae taxa,Pinus taxa,Picea taxa,Myrica taxa,Lycopodiaceae taxa,Gramineae taxa,Ericaceae taxa,Cyperaceae taxa,Compositae taxa,Betula taxa,Alnus taxa,Abies taxa,Chenopodiaceae taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C,  1,H, 1, 110.00,      1.1000,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,16           ,0           ,14                ,13        ,2         ,0          ,5                 ,6             ,1             ,10             ,20             ,10         ,11        ,0         ,1                  ,Total pollen = 74; Total spores = 35; from Leg 145 SR; Ch 10; Table 1; p 172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 27,X, 2,  20.00,    240.0000,Morley   ,Pollen/Spores                                ,               ,                  ,1         ,6            ,3           ,12                ,23        ,9         ,2          ,1                 ,9             ,0             ,7              ,7              ,11         ,17        ,1         ,                   ,Total pollen = 91; Total spores = 19; from Leg 145 SR; Ch 10; Table 1; p 172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
