Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera rotula,Sphenolithus abies,Reticulofenestra pseudoumbilica (>7microns),Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra (pseudobar),Discoaster variabilis,Discoaster surculus,Discoaster spp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster pansus,Discoaster kugleri,Discoaster exilis,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Umbilicosphaera jafari,Syracosphaera spp.,Reticulofenestra pseudoumbilica(5-7microns),Helicosphaera orientalis,Helicosphaera carteri,Florisphaera profunda,Discoaster bergenii,Coccolithus pelagicus (with bar),Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus primus,Amaurolithus delicatus,Sphenolithus grandis,Sphenolithus belemnos,Sphenolithus moriformis,Discoaster braarudii,Sphenolithus spp.,Discoaster challengeri,Braarudosphaera bigelowii,Triquetrorhabdulus rioi,Rhabdosphaera clavigera,Pontosphaera multipora,Helicosphaera intermedia,Amaurolithus spp.,Umbilicosphaera hulburtiana,Helicosphaera stalis,Calcidiscus tropicus,Triquetrorhabdulus rugosus,Pontosphaera discopora,Pontosphaera japonica,Discoaster triradiatus,Scyphosphaera spp.,Scapholithus fossilis,Gephyrocapsa spp. (small),Discoaster loeblichii,Amaurolithus tricorniculatus,Minylitha convallis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  2,R,CC,  14.00,    399.0000,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                      ,                  ,                                           ,D                      ,C                     ,C                           ,F                    ,                   ,               ,                       ,                        ,F                ,                  ,                 ,C                  ,                     ,F                    ,                      ,C                 ,C                                          ,                        ,                     ,                     ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,C                ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  3,R,CC,  25.00,    405.4200,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,C                 ,                                           ,D                      ,A                     ,                            ,                     ,                   ,               ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,                     ,                      ,                  ,C                                          ,                        ,                     ,                     ,                   ,                                ,                      ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  4,R, 3,  75.00,    413.3500,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,A                 ,                                           ,D                      ,                      ,                            ,                     ,                   ,               ,                       ,F                       ,                 ,                  ,                 ,                   ,R                    ,                     ,F                     ,                  ,C                                          ,                        ,                     ,C                    ,                   ,                                ,                      ,F                     ,                   ,                      ,                    ,                     ,                       ,                    ,C                ,R                     ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  4,R,CC,  25.00,    416.1900,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,C                 ,                                           ,D                      ,C                     ,C                           ,F                    ,                   ,R              ,R                      ,                        ,                 ,                  ,                 ,                   ,                     ,F                    ,                      ,                  ,R                                          ,                        ,R                    ,A                    ,                   ,                                ,R                     ,F                     ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,F                  ,       
