Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Axoprunum angelinum	Didymocyrtis antepenultima	Cycladophora cornutoides	Stichocorys delmontensis	Phormostichoartus fistula	Lithopera neotera	Lithopera bacca	Lamprocyclas hannai	Eucyrtidium calvertense	Eucyrtidium acuminatum	Didymocyrtis penultima	Phormostichoartus corbula	Eucyrtidium teuscheri teuscheri	Didymocyrtis avita	Pterocanium trilobum	Lamprocyrtis heteroporos	Cycladophora sakaii	Saturnalis circularis	Didymocyrtis tetrathalamus tetrathalamus	Spongurus pylomaticus	Pterocanium praetextum eucolpum	Lamprocyrtis neoheteroporos	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Cycladophora pliocenica	Cycladophora davisiana	Lamprocyrtis nigriniae	Spongaster tetras tetras	Comment



  IR	Pleistocene      	Holocene         	                  	              	175	1081	A	  1	H	CC	  23.00	      0.8900	Motoyama 	Radiolarians                                 	A              	G                 	                     	                   	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	                               	                  	+                   	                        	                   	                     	+                                       	+                    	+                              	                           	                     	+                                  	                       	+                     	+                     	                        	       

  IR	Pleistocene      	Holocene         	                  	              	175	1081	A	  2	H	CC	  20.00	      8.2200	Motoyama 	Radiolarians                                 	C              	G                 	                     	                   	                          	                        	                        	                         	                 	               	+                  	                       	                      	                      	                         	                               	                  	+                   	                        	                   	                     	                                        	1                    	                               	                           	                     	+                                  	                       	+                     	+                     	                        	       

  IR	                 	                 	                  	              	175	1081	A	  3	H	CC	  21.00	     20.0500	Motoyama 	Radiolarians                                 	R              	M                 	                     	                   	                          	                        	                        	                         	                 	               	1                  	                       	                      	                      	                         	                               	                  	                    	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	Pleistocene      	                  	              	175	1081	A	  5	H	CC	  34.00	     39.1200	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	                               	                  	1                   	                        	                   	                     	+                                       	                     	+                              	                           	                     	                                   	                       	+                     	1                     	                        	       

  IR	                 	                 	                  	              	175	1081	A	  6	H	CC	  23.00	     48.5200	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	+                     	                      	                         	1                              	                  	+                   	                        	                   	                     	+                                       	+                    	+                              	                           	                     	                                   	                       	+                     	+                     	+                       	       

  IR	                 	                 	                  	              	175	1081	A	  7	H	CC	   0.00	     58.0300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	                               	                  	+                   	                        	                   	                     	+                                       	1                    	+                              	+                          	                     	+                                  	                       	+                     	+                     	                        	       

