Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus oddgurneri,Trisolenia megalactis megalactis,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Gondwanaria japonica kiaeri,Eucyrtidium saccoi,Eucyrtidium biconicum,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella eldholmi,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris jubata,Corythospyris jjubata sverdrupi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris vogti,Clathrospyris sandellae,Ceratocyrtis manumi,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Actinomma plasticum,Actinomma mirabile,Actinomma livae,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 643,A,  8,H, 1, 103.00,     63.3300,Goll     ,Radiolarians                                 ,R              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,C                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 643,A,  8,H, 4,  21.00,     67.0100,Goll     ,Radiolarians                                 ,F              ,P                 ,-                      ,-                               ,R                   ,-                       ,T                ,-                      ,-                ,T                  ,-                    ,-                         ,-                           ,-                ,T                    ,-                                ,-                 ,SP                ,-                     ,-                          ,SP                ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,SP                         ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 643,A,  8,H, 5, 103.00,     69.3300,Goll     ,Radiolarians                                 ,F              ,M                 ,-                      ,-                               ,-                   ,T                       ,-                ,-                      ,-                ,A                  ,-                    ,-                         ,-                           ,-                ,T                    ,SP                               ,C                 ,R                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,C                          ,-                     ,-                  ,-                 ,-              ,A                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  8,H, 6, 103.00,     70.8300,Goll     ,Radiolarians                                 ,F              ,P                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,C                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
