Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Krithe sp.,Pterygocythereis sp. (juvenile),Krithe glacialis,Neocytherideis sp. (juvenile),Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  2,H, 3,  98.00,      9.2800,Osterman ,Ostracodes                                   ,               ,                  ,+         ,                               ,                ,+                            ,Total specimens = 2; from ODP 104 SR  Chapter 38  Table 4  p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  3,H, 3,  98.00,     18.7800,Osterman ,Ostracodes                                   ,               ,                  ,+         ,                               ,                ,                             ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 4  p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  7,H, 3,  60.00,     56.4000,Osterman ,Ostracodes                                   ,               ,                  ,          ,                               ,+               ,                             ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 4  p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  7,H, 4,  19.00,     57.4900,Osterman ,Ostracodes                                   ,               ,                  ,          ,+                              ,                ,                             ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 4  p 771
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 11,H, 7,  14.00,     99.9400,Osterman ,Ostracodes                                   ,               ,                  ,+         ,                               ,                ,                             ,Total specimens = 1; from ODP 104 SR  Chapter 38  Table 4  p 771
,,,,,,,,,,,,,,,,,,,,,
