Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma subfragori,Bolboforma spinosa,Bolboforma fragori,Bolboforma clodiusi,Bolboforma pseudohystrix,Bolboforma compressispinosa,Bolboforma laevis,Bolboforma metzmacheri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A,  9,H, 1,  73.00,     72.5300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,R                ,C                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A,  9,H, 4,  73.00,     77.0300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,R                ,R                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A,  9,H, 6,  73.00,     80.0300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,C                ,A                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A,  9,H,CC,  15.00,     81.4900,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,R                ,R                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A, 10,H, 1,  73.00,     82.0300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,C                ,A                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A, 10,H, 2,  73.00,     83.5300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,R                ,R                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A, 10,H, 3,  73.00,     85.0300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,R                ,A                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 643,A, 10,H, 4,  73.00,     86.5300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,R                ,                      ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. laevis         ,              ,104, 643,A, 10,H,CC,   1.00,     90.7300,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                  ,                   ,                        ,                           ,A                ,R                     ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. laevis         ,              ,104, 643,A, 11,H, 1,  75.00,     91.5500,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,R                 ,                   ,                        ,                           ,A                ,                      ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 643,A, 11,H, 2,  78.00,     93.0800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,R                 ,                   ,                        ,R                          ,A                ,                      ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 643,A, 11,H, 5,  75.00,     97.5500,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,R                 ,A                 ,R                  ,R                       ,R                          ,R                ,                      ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 643,A, 11,H, 6,  75.00,     99.0500,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,A                 ,                   ,C                       ,A                          ,                 ,                      ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 643,A, 11,H, 7,  31.00,    100.1100,Qvale    ,Bolboforms                                   ,               ,                  ,R                    ,R                 ,R                 ,R                  ,                        ,                           ,                 ,                      ,table reconstructed from diagram; ODP 104 SR Chapter 27 Table 4 p 491
,,,,,,,,,,,,,,,,,,,,,,,,,
