Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina spp.,Globigerina linaperta,Subbotina angiporoides,Globigerina officinalis,Globigerina anguliofficinalis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (dextral),Globigerina quinqueloba,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina atlantica (sinistral),Tenuitella clemenciae,Globigerina praebulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  1,H, 1,  74.00,      0.7400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  1,H, 3,  38.00,      3.3800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  1,H, 3,  74.00,      3.7400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,R                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  2,H, 1,  76.00,      6.0600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,R                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  2,H, 1,  98.00,      6.2800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
