Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Reticulofenestra sp.,Pontosphaera enormis,Helicosphaera intermedia,Helicosphaera euphratis,Discolithina sp.,Dictyococcites sp.,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coccolithus pelagicus,Reticulofenestra pseudoumbilica,Helicosphaera carteri,Discoaster variabilis,Discoaster intercalaris,Calcidiscus leptoporus,Helicosphaera paleocarteri,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa sp.,Thoracosphaera sp.,Syracosphaera sp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,104, 643,A,  1,H, 1,  50.00,      0.5000,Donnally ,Nannofossils                                 ,A              ,G                 ,                       ,C                   ,                    ,                        ,                       ,F               ,F                 ,                           ,                          ,C                    ,                               ,R                    ,                     ,                       ,F                     ,                          ,                        ,                    ,C               ,F                 ,R                ,C                ,Reworked taxa =  50%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,104, 643,A,  1,H, 2,  50.00,      2.0000,Donnally ,Nannofossils                                 ,C              ,G                 ,                       ,C                   ,                    ,                        ,                       ,F               ,F                 ,                           ,                          ,C                    ,                               ,                     ,                     ,                       ,R                     ,                          ,                        ,                    ,C               ,                  ,                 ,C                ,Reworked taxa =  40%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN20              ,              ,104, 643,A,  1,H, 3,  50.00,      3.5000,Donnally ,Nannofossils                                 ,F              ,M                 ,                       ,F                   ,                    ,                        ,                       ,R               ,                  ,                           ,                          ,F                    ,                               ,                     ,                     ,                       ,                      ,                          ,                        ,                    ,F               ,R                 ,                 ,                 ,Reworked taxa =  90%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN20              ,              ,104, 643,A,  2,H, 2, 125.00,      8.0500,Donnally ,Nannofossils                                 ,F              ,P                 ,                       ,F                   ,                    ,                        ,                       ,                ,F                 ,                           ,                          ,F                    ,                               ,                     ,                     ,                       ,R                     ,                          ,                        ,                    ,                ,                  ,                 ,                 ,Reworked taxa =  80%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
