Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Cyclicargolithus floridanus,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus leptoporus,Amaurolithus delicatus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra bisecta,Pontosphaera spp.,Helicosphaera reticulata,Discoaster saipanensis,Discoaster barbadiensis,Cribrocentrum reticulatum,Coccolithus formosus,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus grandis,Braarudosphaera spp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Helicosphaera compacta,Chiasmolithus solitus,Zygrhablithus bijugatus,Discoaster tanii,Campylosphaera dela,Discoaster deflandrei,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Crenalithus doronicoides,Ceratolithus rugosus,Ceratolithus cristatus,Calcidiscus macintyrei,Pseudoemiliania lacunosa,Rhabdosphaera clavigera,Helicosphaera carteri,Pontosphaera japonica,Helicosphaera sellii,Umbilicosphaera sibogae,Scyphosphaera spp.,Scapholithus fossilis,Cyclicargolithus abisectus,Gephyrocapsids (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  1,H, 1,  68.00,      0.6800,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                           ,                          ,rR                ,                               ,                     ,                   ,                       ,rR                      ,                   ,F                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,F                       ,                    ,F                     ,                      ,R                       ,A                      ,F                    ,                     ,                    ,F                      ,C                 ,                     ,                          ,C                     ,V                    ,F                        ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  1,H, 2,  68.00,      2.1800,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,                           ,                          ,                  ,                               ,rR                   ,                   ,                       ,                        ,                   ,F                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,                      ,C                       ,A                      ,F                    ,                     ,                    ,F                      ,C                 ,R                    ,                          ,A                     ,A                    ,F                        ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  1,H, 3,  68.00,      3.6800,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,                           ,                          ,rR                ,                               ,                     ,                   ,                       ,                        ,                   ,F                    ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,                      ,C                       ,A                      ,C                    ,                     ,                    ,C                      ,C                 ,                     ,                          ,A                     ,A                    ,F                        ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  1,H, 4,  68.00,      5.1800,Clark    ,Nannofossils                                 ,F              ,P                 ,                   ,                           ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,                     ,R                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,C                     ,C                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
