Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Dictyococcites hesslandii	Reticulofenestra sp.	Reticulofenestra umbilicus (>14um)	Ericsonia formosa	Discoaster spp.	Discoaster saipanensis	Discoaster deflandrei	Discoaster barbadiensis	Dictyococcites bisectus	Coccolithus pelagicus	Bicolumnus ovatus	Sphenolithus radians	Sphenolithus predistentus	Discoaster tanii ornatus	Coronocyclus nitescens	Sphenolithus spp.	Sphenolithus moriformis	Cyclicargolithus abisectus	Zygrhablithus bijugatus	Sphenolithus pseudoradians	Reticulofenestra samodurovii	Reticulofenestra daviesii	Helicosphaera spp.	Clausicoccus fenestratus	Chiasmolithus spp.	Bramletteius serraculoides	Cyclicargolithus cf. abisectus	Sphenolithus distentus	Reticulofenestra circus	Cyclicargolithus floridanus	Sphenolithus intercalaris	Coccoliths spp.	Helicosphaera euphratis	Helicosphaera compacta	Comment



  IR	                 	                 	                  	              	195	1201	D	  1	R	 1	  43.00	     80.8300	cur      	Nannofossils                                 	T              	P                 	                         	                    	                                  	                 	               	                      	R                    	                       	                       	                     	                 	                    	                         	                        	                      	                 	                       	                          	                       	                          	                            	                         	                  	                        	                  	                          	R                             	                      	                       	                           	                         	               	                       	                      	       

  IR	                 	                 	                  	              	195	1201	D	  1	R	 4	  95.00	     85.6500	cur      	Nannofossils                                 	T              	M                 	                         	                    	                                  	                 	               	                      	                     	                       	                       	                     	                 	                    	                         	                        	                      	                 	                       	                          	                       	                          	                            	                         	                  	                        	                  	                          	R                             	                      	                       	                           	                         	               	                       	                      	       

  IR	                 	                 	                  	              	195	1201	D	  1	R	CC	  28.00	     86.9600	cur      	Nannofossils                                 	T              	P                 	                         	                    	                                  	                 	               	                      	                     	                       	                       	                     	                 	                    	                         	                        	                      	                 	                       	                          	                       	                          	F                           	                         	                  	                        	                  	                          	                              	                      	                       	                           	                         	               	                       	                      	       

  IR	                 	                 	                  	              	195	1201	D	  2	R	 5	   5.00	     95.8100	cur      	Nannofossils                                 	F              	P                 	                         	                    	                                  	                 	               	                      	                     	                       	                       	F                    	                 	                    	F                        	                        	                      	                 	F                      	C                         	                       	                          	                            	                         	                  	                        	                  	                          	                              	                      	                       	                           	                         	C              	                       	                      	       

  IR	                 	                 	                  	              	195	1201	D	  2	R	 5	  10.00	     95.8600	cur      	Nannofossils                                 	F              	P                 	                         	                    	                                  	                 	               	                      	                     	                       	                       	F                    	                 	                    	R                        	                        	                      	                 	R                      	D                         	                       	                          	                            	                         	                  	                        	                  	                          	                              	                      	                       	                           	                         	C              	                       	                      	       

  IR	                 	                 	                  	              	195	1201	D	  2	R	 5	  57.00	     96.3300	cur      	Nannofossils                                 	R              	P                 	                         	                    	                                  	                 	               	                      	                     	                       	C                      	                     	                 	                    	                         	                        	                      	                 	                       	                          	                       	                          	                            	                         	                  	                        	                  	                          	C                             	                      	                       	                           	                         	               	                       	                      	       

